# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 41  67389  149.23 3418.16   0.01  -0.22  20.874  0.027  21.440  20.835  21.396   8.701   0.512  29.258  10.382   0.493  27.865  25.825   0.498  26.580   0.945 0 0 0 1061892009232489 0 1 
1236 41  84281  441.19 1111.46  -0.05  -0.22  22.716  0.031  22.831  22.632  22.778   3.062   0.882 -13.254   2.675   0.752 -14.839   3.515   0.697 -15.169   0.585 0 0 0 0 0 1 
1236 41  49773 1564.00  679.70   0.18   0.18  21.972  0.029  22.209  21.914  22.067   3.299   0.907 -38.947   3.109   0.829 -41.013   4.800   0.803 -44.580   0.818 0 0 0 1061892009230798 0 1 
1236 41  72948  180.57 2553.62  -0.05  -0.04  20.934  0.027  21.188  20.935  21.006   3.063   0.862  -9.409   2.853   0.730  -9.708   4.050   0.692  -9.752   1.000 0 0 0 0 0 1 
1236 41   1337 1123.24  746.79   0.17  -0.24  22.154  0.029  22.526  22.154  22.319   3.592   0.795  46.524   3.814   0.661  45.548   6.640   0.652  44.502   1.000 0 0 0 0 0 1 
1236 41  42790 1225.05 1495.46  -0.04  -0.06  20.183  0.028  20.466  20.183  20.264   3.260   0.840 -86.100   3.341   0.692 -85.066   5.015   0.650 -83.991   1.000 0 0 0 1061892009231343 0 1 
1236 41  77865 1426.21 2190.78   0.05  -0.07  21.505  0.028  21.826  21.495  21.646   3.759   0.765  86.025   4.049   0.622  87.027   6.703   0.591  88.876   0.973 0 0 0 1061892009231792 0 1 
1236 41    575 1089.14 1261.51   0.00   0.03  21.586  0.028  21.748  21.584  21.614   2.851   0.833  24.019   2.366   0.648  21.326   2.819   0.600  17.300   0.987 0 0 0 0 0 1 
1236 41 135495  850.52 3484.92   0.09   0.01  20.642  0.027  21.210  20.544  20.982   5.940   0.840  27.904   7.751   0.802  31.227  21.007   0.790  31.191   0.880 0 0 0 1061892009232541 0 1 
1236 41  80428  868.07 2666.97  -0.07   0.16  22.717  0.031  22.916  22.644  22.817   3.142   0.878  62.500   2.946   0.751  65.735   4.565   0.661  66.497   0.743 0 0 0 1061892009232078 0 1 
1236 41 168694 1455.56 3562.94   0.48  -0.34  20.763  0.027  21.384  20.753  21.124   5.488   0.741 -19.389   7.130   0.679 -20.525  18.888   0.620 -21.325   0.986 0 0 0 0 2 1 
1236 41  36958 1468.78  499.80  -0.03  -0.02  21.583  0.028  21.924  21.583  21.630   3.475   0.744  78.146   3.519   0.547  80.990   5.809   0.537  85.756   1.000 0 0 0 0 2 1 
1236 41 172604  158.41 3424.84  -0.41   0.27  24.049  0.063  24.049  24.048  24.028   1.992   0.917 -61.148   0.897   0.136 -57.013   0.578   0.140 -56.778   0.000 0 0 0 1061892009232489 0 1 
1236 41 170636  802.19  655.90   0.10  -0.06  22.147  0.029  22.418  22.143  22.263   3.152   0.909  50.376   2.902   0.837  46.027   4.261   0.824  36.171   0.988 0 0 0 0 0 1 
1236 41 120179 1792.33   76.45  -0.09  -0.24  22.180  0.029  22.537  22.180  22.235   2.610   0.957   8.937   1.960   0.890 -11.366   3.621   0.776 -10.550   1.000 0 0 0 1061892009230388 0 1 
1236 41 125342  990.64 3606.44   0.03   0.01  22.005  0.029  22.195  22.005  22.019   2.862   0.867  52.522   2.423   0.720  52.327   3.051   0.672  50.116   1.000 0 0 0 0 0 1 
1236 41 134640  368.04 3677.97   0.18  -0.24  21.833  0.028  22.159  21.771  21.940   4.097   0.723  72.730   4.527   0.577  72.918   8.444   0.527  72.011   0.856 0 0 0 1061892009232618 0 1 
1236 41  39529 1653.72 2208.02   0.13   0.02  22.297  0.029  22.585  22.295  22.412   3.056   0.967 -23.320   2.791   0.946 -12.808   4.241   0.920   0.458   0.994 0 0 0 0 0 1 
1236 41  34333 1728.58 4116.63   0.01  -0.02  21.014  0.027  21.180  21.014  21.041   2.595   0.982 -38.444   1.991   0.922 -45.607   2.338   0.884 -44.210   1.000 0 0 0 0 0 1 
1236 41 181838  841.00 1773.96   0.07  -0.06  23.750  0.051  23.749  23.752  23.785   1.926   0.942  39.521   0.573   0.592  42.625   0.334   0.642  43.117   0.000 0 0 0 1061892009231591 0 0 
1236 41  32211  924.68 3351.98  -0.22   0.04  22.445  0.030  22.642  22.369  22.502   3.507   0.748  71.016   3.395   0.571  72.080   5.134   0.533  70.306   0.739 0 0 0 0 0 1 
1236 41 145456  988.52 1981.45  -0.02   0.04  22.130  0.029  22.494  22.130  22.140   2.971   0.925  89.062   2.797   0.851 -80.911   4.698   0.864 -65.355   1.000 0 0 0 0 3 1 
1236 41  46542 1514.65 2413.38  -0.02  -0.06  20.260  0.027  20.490  20.261  20.320   3.127   0.828 -41.522   3.023   0.651 -41.859   4.129   0.599 -41.689   1.000 0 0 0 1061892009231929 0 1 
1236 41  14607  323.28 1436.99  -0.07   0.01     nan    nan     nan     nan  21.916   2.866   0.920  86.195     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061892009231248 0 1 
1236 41 140428 2015.06 1550.77  -0.06   0.23  21.693  0.028  22.058  21.693  21.804   3.234   0.884  18.494   3.165   0.818  20.876   5.350   0.827  25.524   1.000 0 0 0 0 2 1 
1236 41 134835 1987.51  702.59   0.03   0.01  21.107  0.028  21.345  21.108  21.133   2.851   0.938  36.270   2.416   0.894  27.548   3.323   0.844  18.108   1.000 0 0 0 1061892009230807 0 1 
1236 41  30563 1513.69  828.80   0.09  -0.02  19.705  0.028  20.099  19.704  19.882   3.988   0.794 -73.238   4.813   0.654 -72.657   8.816   0.612 -71.671   1.000 0 0 0 1061892009230884 0 1 
1236 41   4206 1182.22 2757.13  -0.13  -0.02  22.789  0.032  23.233  22.789  22.690   4.242   0.563   6.830   4.721   0.368   9.535   9.218   0.365  12.978   1.000 0 0 0 0 0 1 
1236 41  81608 1903.08 1234.99  -0.01  -0.01  19.903  0.027  20.098  19.903  19.927   2.792   0.889  13.624   2.379   0.764  10.049   2.974   0.723   9.524   1.000 0 0 0 0 0 1 
1236 41  34298  401.00 2275.62   0.00  -0.12  21.619  0.028  21.868  21.532  21.771   3.782   0.785  55.948   3.977   0.662  55.412   6.753   0.621  54.189   0.758 0 0 0 1061892009231861 0 1 
