# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24  12242 1055.16 3083.81  -0.05  -0.06  22.770  0.027  22.887  22.771  22.788   2.770   0.921  11.686   2.097   0.836   7.260   2.169   0.816 -10.296   1.000 0 0 0 0 0 1 
1236 24  49524  161.31 1308.79  -0.11   0.11  22.713  0.026  22.879  22.705  22.726   3.061   0.806  45.347   2.680   0.586  44.891   3.297   0.538  42.583   0.955 0 0 0 0 0 1 
1236 24 134419 1987.26 2519.65   0.09   0.01  22.850  0.028  23.262  22.836  22.964   2.688   0.851  85.424   2.091   0.597  85.512   4.292   0.591  48.477   0.969 0 0 0 0 2 1 
1236 24  87590 1568.10  628.44   0.08  -0.01  21.209  0.020  21.437  21.209  21.238   2.914   0.894  10.661   2.441   0.767   8.800   3.267   0.741   9.818   1.000 0 0 0 1061818994786672 0 1 
1236 24 146649  719.52 3853.41   0.08  -0.07  21.954  0.021  22.268  21.953  22.112   3.337   0.904  74.787   3.322   0.807  72.626   5.429   0.738  75.908   0.997 0 0 0 0 0 1 
1236 24  99330 1847.70 4122.69   0.02  -0.03  20.378  0.019  20.953  20.379  20.659   4.813   0.781  42.526   6.120   0.702  43.396  14.714   0.659  44.647   1.000 0 0 0 0 0 1 
1236 24 136407 1728.78 3036.33   0.09  -0.16  22.043  0.022  22.489  22.040  22.204   2.788   0.901  76.933   2.308   0.730  80.143   5.234   0.573  70.406   0.992 0 0 0 1061818994788105 0 1 
1236 24 136233  474.36  943.64   0.08   0.02  21.923  0.021  22.306  21.913  22.055   3.389   0.972 -27.349   3.279   0.959  12.147   5.999   0.916  22.239   0.977 0 0 0 1061818994786868 0 1 
1236 24 180559 1107.58  783.79  -0.03  -0.08  19.954  0.019  20.281  19.954  20.095   3.355   0.926  32.267   3.440   0.861  29.193   5.488   0.844  25.641   1.000 0 0 0 1061818994786763 0 1 
1236 24 160689  670.38  682.88   0.08   0.03  22.404  0.023  22.765  22.404  22.516   3.689   0.687   7.529   3.819   0.474   8.423   6.616   0.458   7.093   1.000 0 0 0 1061818994786695 0 1 
1236 24  67285 1847.54 3991.25  -0.14   0.09  23.009  0.029  23.223  22.928  23.074   3.480   0.832  26.058   3.335   0.703  26.724   5.404   0.617  24.534   0.741 0 0 0 0 0 1 
1236 24 196586 1037.66 1608.94  -0.26  -0.22  23.350  0.037  23.378  23.306  23.430   2.778   0.900  54.472   2.043   0.756  54.010   1.832   0.796  65.516   0.378 0 0 0 0 0 1 
1236 24 173444  104.53 1029.84   0.08  -0.18  22.802  0.027  22.926  22.723  22.842   3.247   0.839  36.233   2.978   0.686  34.533   4.073   0.590  31.290   0.617 0 0 0 0 0 1 
1236 24 135486  562.83 3175.44   0.22  -0.83     nan    nan     nan     nan  20.274   8.071   0.727  56.155     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994788085 0 1 
1236 24 173777  414.22 2203.52   0.17   0.07  23.055  0.029  23.419  23.056  23.150   3.674   0.798  57.426   3.852   0.621  62.807   6.903   0.555  64.088   1.000 0 0 0 0 0 1 
1236 24 183892 1815.10  738.43  -0.10  -0.09  21.371  0.020  21.798  21.362  21.586   3.756   0.957 -79.129   4.070   0.913 -87.604   7.941   0.883 -83.424   0.983 0 0 0 0 0 1 
1236 24  35121 1027.56 1137.91   0.12  -0.03  22.842  0.028  22.900  22.780  22.852   2.800   0.939  -3.513   2.091   0.869  -5.043   2.256   0.814  14.677   0.479 0 0 0 0 0 1 
1236 24  49981 1175.39 2882.89   0.10  -0.14  22.195  0.022  22.621  22.195  22.239   3.940   0.700 -14.991   4.270   0.537 -13.214   8.091   0.535 -10.526   1.000 0 0 0 1061818994787969 0 1 
1236 24  91156  575.22 3264.01   0.68  -0.58  21.752  0.020  22.213  21.714  22.040   5.924   0.534 -31.609   6.952   0.425 -29.812  15.790   0.365 -28.403   0.932 0 0 0 0 0 1 
1236 24 169038  576.00 3649.48   0.08  -0.07  20.862  0.019  21.542  20.862  21.050   3.830   0.790  17.844   5.012   0.590  15.931  15.119   0.419  12.807   1.000 0 0 0 0 3 1 
1236 24 179416  105.79 3162.93  -0.02   0.02  20.267  0.020  20.507  20.267  20.320   2.845   0.892  29.122   2.420   0.786  30.389   3.364   0.734  34.137   1.000 0 0 0 0 4 1 
1236 24  19821  747.46  889.59   0.02  -0.07  22.099  0.021  22.375  22.077  22.200   3.335   0.864 -82.553   3.198   0.744 -82.861   4.994   0.706 -81.248   0.934 0 0 0 0 0 1 
1236 24 125342 1831.51 2531.94  -0.04  -0.11  22.106  0.022  22.245  22.091  22.111   2.857   0.841  48.362   2.288   0.650  52.887   2.640   0.619  54.029   0.898 0 0 0 0 0 1 
1236 24 102792  399.07  951.03   0.01  -0.05     nan    nan     nan     nan  22.130   5.985   0.591  70.223     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994786875 0 1 
1236 24 179938   85.95  175.71   0.01   0.06  22.570  0.025  22.741  22.570  22.566   2.700   0.926 -87.525   2.005   0.832 -84.798   2.338   0.828 -74.380   1.000 0 0 0 1061818994786424 0 1 
1236 24 156935  177.01 3492.63  -0.03  -0.05  21.829  0.021  22.021  21.829  21.836   2.840   0.874  82.367   2.372   0.705  84.421   2.901   0.714  82.008   1.000 0 0 0 0 0 1 
1236 24 159739  854.83 2342.26   0.04  -0.06  21.227  0.020  21.531  21.228  21.324   3.428   0.812  -3.081   3.432   0.659  -1.937   5.440   0.609   0.150   1.000 0 0 0 0 0 1 
1236 24 149457 1030.24  270.76   0.05  -0.06  19.931  0.019  20.217  19.932  20.051   3.357   0.872  -5.356   3.388   0.753  -4.815   5.119   0.709  -6.282   1.000 0 0 0 1061818994786469 0 1 
1236 24 145975  546.45  778.50   0.03  -0.05  19.953  0.019  20.179  19.954  20.009   2.997   0.877  50.680   2.710   0.746  50.985   3.601   0.710  51.812   1.000 0 0 0 1061818994786761 0 1 
1236 24  13605  555.15 1023.49  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 24  95832  483.32 1551.63   0.13   0.11  22.874  0.028  22.989  22.777  22.907   3.094   0.895 -78.465   2.684   0.765 -75.081   3.557   0.737 -73.561   0.554 0 0 0 0 0 1 
1236 24  18147 1567.24 1574.26  -0.09  -0.35  23.176  0.032  23.297  22.959  23.143   3.836   0.768  73.052   3.714   0.634  75.297   6.189   0.636  79.815   0.382 0 0 0 0 0 1 
1236 24 140379  391.90 2903.56  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 24  35002 1936.67 1813.37   0.11   0.11  19.946  0.019  20.440  19.944  20.212   4.840   0.753  74.828   5.909   0.672  75.845  12.575   0.651  76.137   0.995 0 0 0 1061818994787400 0 1 
1236 24  37051  369.68 1661.06   0.02  -0.02  20.733  0.020  20.908  20.734  20.757   2.719   0.946  18.267   2.105   0.894  15.191   2.491   0.879  11.215   1.000 0 0 0 0 0 1 
1236 24  66707  229.60  722.61  -0.19  -0.51  20.463  0.019  20.911  20.442  20.694   4.996   0.651  83.344   6.258   0.521  82.526  13.148   0.480  83.197   0.961 0 0 0 1061818994786725 0 1 
1236 24  49691  602.96 3335.45   0.19  -0.26  21.708  0.020  22.133  21.695  21.945   4.091   0.818 -84.194   4.479   0.733 -86.925   8.717   0.724 -89.087   0.973 0 0 0 1061818994788219 0 1 
1236 24 142386   62.19 4099.62   0.59  -0.46     nan    nan     nan     nan  20.839   9.182   0.818 -51.175     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994788594 0 1 
1236 24 141320  117.33 2237.98   0.22   0.04  21.931  0.021  22.116  21.931  21.978   3.261   0.745  24.574   3.133   0.512  24.339   4.101   0.421  22.835   1.000 0 0 0 0 0 1 
1236 24  26771  641.53 1530.94  -0.00  -0.06  19.494  0.019  19.867  19.494  19.656   3.684   0.855 -82.886   4.228   0.745 -83.236   7.306   0.720 -81.355   1.000 0 0 0 0 0 1 
1236 24  77440   69.55 3253.27  -0.07   0.18  21.909  0.021  22.246  21.909  22.059   3.624   0.826  78.050   3.864   0.684  79.575   6.460   0.648  83.003   1.000 0 0 0 0 0 1 
1236 24   4105  802.06  922.10   0.02  -0.05  20.347  0.019  20.618  20.348  20.429   3.097   0.932  56.246   2.902   0.864  56.989   4.162   0.853  58.880   1.000 0 0 0 0 0 1 
1236 24  12591 1170.86 2467.44  -0.05  -0.12  21.927  0.021  22.083  21.913  21.949   2.729   0.942   0.813   2.058   0.893  -6.100   2.405   0.895  -6.707   0.914 0 0 0 0 0 1 
1236 24 200839  683.10 2982.43   0.02  -0.02  22.013  0.021  22.366  21.985  22.186   3.029   0.833  27.081   2.637   0.682  27.703   4.112   0.917  25.080   0.932 0 0 0 0 3 1 
1236 24  10066 1862.93 1536.17   0.17  -0.22  22.698  0.026  22.871  22.601  22.799   3.652   0.827  73.831   3.466   0.712  77.744   5.192   0.681  85.586   0.654 0 0 0 0 0 1 
1236 24   2190   24.01  421.26  -0.05  -0.09     nan    nan     nan     nan  22.445   3.200   0.859 -54.352     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994786556 0 1 
1236 24 194365 1797.21  154.91   0.01  -0.07  20.077  0.019  20.278  20.077  20.132   2.908   0.941 -48.238   2.454   0.858 -43.220   3.064   0.844 -41.940   1.000 0 0 0 1061818994786404 0 1 
1236 24 138830  703.83 3217.10  -0.07   0.05  21.374  0.020  21.630  21.347  21.480   3.445   0.834  61.510   3.387   0.705  60.821   5.133   0.676  58.723   0.909 0 0 0 1061818994788150 0 1 
1236 24  48899  488.09  264.28  -0.02   0.19  22.405  0.023  22.771  22.405  22.705   3.682   0.851 -89.610   3.777   0.799  88.433   6.361   0.819 -87.066   1.000 0 0 0 0 0 1 
1236 24   7028  352.84 3200.67  -0.11  -0.06  22.189  0.022  22.416  22.182  22.294   3.363   0.813   9.046   3.208   0.662   8.478   4.535   0.601   8.763   0.969 0 0 0 0 0 1 
# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 25  12242 1055.16 3083.81  -0.18  -0.09  22.594  0.024  22.766  22.546  22.563   2.993   0.921 -38.433   2.510   0.831 -49.722   3.353   0.803 -44.239   0.777 0 0 0 0 0 1 
1236 25  49524  161.31 1308.79  -0.10  -0.19  22.565  0.023  22.803  22.564  22.660   3.262   0.749  30.842   3.129   0.540  33.333   4.341   0.515  35.893   1.000 0 0 0 0 0 1 
1236 25 134419 1987.26 2519.65  -0.14  -0.01  22.738  0.025  23.093  22.735  22.599   3.436   0.756  89.227   3.366   0.526  88.600   5.711   0.535  87.731   0.992 0 0 0 1061823289755042 0 1 
1236 25  87590 1568.10  628.44  -0.05   0.00  21.280  0.019  21.496  21.280  21.300   2.838   0.888   1.475   2.290   0.780   1.265   3.022   0.741   1.639   1.000 0 0 0 0 2 1 
1236 25 146649  719.52 3853.41  -0.06   0.04  21.933  0.020  22.256  21.935  22.039   3.460   0.849 -89.854   3.461   0.723 -88.564   5.547   0.703 -88.307   1.000 0 0 0 0 0 1 
1236 25  99330 1847.70 4122.69  -0.12  -0.11  20.007  0.018  20.750  20.013  20.332   5.285   0.822  34.376   7.299   0.773  36.610  20.806   0.766  32.979   1.000 0 0 0 0 5 1 
1236 25 136407 1728.78 3036.33  -0.49  -0.35     nan    nan     nan     nan  21.641   3.530   0.847  68.074     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061823289755342 0 1 
1236 25 136233  474.36  943.64   0.18  -0.08  22.118  0.020  22.372  22.052  22.223   3.396   0.889 -13.705   3.247   0.822 -16.232   5.336   0.773 -18.875   0.809 0 0 0 0 0 1 
1236 25 180559 1107.58  783.79  -0.02  -0.08  19.962  0.018  20.302  19.963  20.068   3.306   0.921  23.593   3.355   0.868  24.816   5.516   0.836  18.250   1.000 0 0 0 1061823289754010 0 1 
1236 25 160689  670.38  682.88  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 25  67285 1847.54 3991.25  -0.03  -0.31  23.422  0.039  23.505  23.419  23.479   3.513   0.587  -0.015   3.146   0.268  -0.275   3.394   0.158  -0.804   0.901 0 0 0 0 0 1 
1236 25 196586 1037.66 1608.94   0.40  -0.09  23.119  0.032  23.285  23.120  23.132   2.640   0.935  55.655   2.025   0.784  71.492   2.451   0.700  80.843   1.000 0 0 0 0 0 1 
1236 25 173444  104.53 1029.84  -0.07  -0.27  22.533  0.023  22.819  22.532  22.652   3.447   0.797  16.035   3.416   0.653  19.548   5.283   0.603  20.068   1.000 0 0 0 0 0 1 
1236 25 135486  562.83 3175.44  -0.02  -0.10  20.763  0.018  21.381  20.764  21.107   5.153   0.787  59.215   6.841   0.712  58.288  17.111   0.697  58.513   1.000 0 0 0 0 2 1 
1236 25 173777  414.22 2203.52   0.27   0.14  22.650  0.023  23.178  22.565  23.053   4.447   0.878  18.296   5.026   0.801  22.849  12.815   0.748  23.872   0.889 0 0 0 0 0 1 
1236 25 183892 1815.10  738.43   0.00  -0.14  21.356  0.019  21.753  21.293  21.522   3.912   0.952  14.177   4.253   0.938  11.470   8.613   0.919  -0.280   0.882 0 0 0 1061823289753975 0 1 
1236 25  35121 1027.56 1137.91  -0.28  -0.18  22.564  0.024  22.808  22.565  22.586   3.101   0.770  -5.853   2.837   0.564  -7.341   4.088   0.497 -11.261   1.000 0 0 0 0 0 1 
1236 25  49981 1175.39 2882.89  -0.16  -0.32  22.001  0.020  22.428  22.003  22.192   4.366   0.719   3.745   5.120   0.582   2.563   9.971   0.536   0.204   1.000 0 0 0 0 0 1 
1236 25  91156  575.22 3264.01  -0.22   0.05  22.224  0.021  22.526  22.181  22.397   4.381   0.694 -21.613   4.690   0.553 -22.409   8.220   0.495 -22.575   0.881 0 0 0 0 0 1 
1236 25 169038  576.00 3649.48   0.01  -0.15  21.458  0.019  21.734  21.427  21.604   3.662   0.821  16.914   3.660   0.728  16.531   5.749   0.708  15.282   0.901 0 0 0 1061823289755676 0 1 
1236 25 179416  105.79 3162.93  -0.05  -0.02  20.314  0.018  20.518  20.313  20.340   2.836   0.895  25.525   2.371   0.807  28.128   2.994   0.786  29.251   1.000 0 0 0 0 0 1 
1236 25  19821  747.46  889.59  -0.14  -0.33  22.107  0.021  22.426  22.108  22.134   3.113   0.881  71.002   2.982   0.746  73.916   4.706   0.726  73.619   1.000 0 0 0 0 0 1 
1236 25 125342 1831.51 2531.94   0.02  -0.01  21.863  0.020  22.105  21.865  21.887   2.980   0.842  52.069   2.634   0.655  55.687   3.637   0.627  52.848   1.000 0 0 0 1061823289755044 0 1 
1236 25 102792  399.07  951.03  -0.61  -1.09  21.751  0.019  22.256  21.510  21.714   6.186   0.759  73.872   7.749   0.714  75.879  23.509   0.683  77.683   0.740 0 0 0 1061823289754110 0 1 
1236 25 179938   85.95  175.71   0.00  -0.02  22.608  0.024  22.764  22.602  22.612   2.593   0.909 -48.604   1.961   0.697 -49.851   2.364   0.634 -36.730   0.969 0 0 0 0 0 1 
1236 25 156935  177.01 3492.63  -0.09  -0.03  21.896  0.020  22.041  21.885  21.883   2.749   0.904  66.102   2.189   0.756  73.457   2.524   0.726  73.227   0.932 0 0 0 0 0 1 
1236 25 159739  854.83 2342.26  -0.01   0.04  21.259  0.018  21.552  21.261  21.352   3.362   0.787   7.283   3.301   0.635   6.813   5.096   0.588   4.258   1.000 0 0 0 0 0 1 
1236 25 149457 1030.24  270.76  -0.03  -0.06  19.895  0.018  20.234  19.895  20.021   3.364   0.844  -2.885   3.425   0.737  -2.548   5.767   0.664  -5.440   1.000 0 0 0 0 2 1 
1236 25 145975  546.45  778.50  -0.05  -0.08  19.953  0.018  20.181  19.953  20.018   2.967   0.889  44.598   2.672   0.777  49.603   3.538   0.758  50.030   1.000 0 0 0 0 0 1 
1236 25  13605  555.15 1023.49  -0.05  -0.02  21.189  0.018  21.609  21.189  21.398   4.142   0.750 -25.894   4.572   0.643 -26.780   8.695   0.621 -26.671   1.000 0 0 0 1061823289754166 0 1 
1236 25  95832  483.32 1551.63   0.08   0.04  22.838  0.026  22.976  22.766  22.901   3.155   0.938 -84.226   2.746   0.845 -84.597   3.680   0.789 -89.166   0.664 0 0 0 0 0 1 
1236 25  18147 1567.24 1574.26   0.24   0.18  22.179  0.020  22.528  22.180  22.270   4.168   0.837  83.240  10.261   0.409 -75.470  17.326   0.447 -78.232   1.000 0 0 0 0 2 1 
1236 25 140379  391.90 2903.56  -0.02  -0.06  20.672  0.018  20.988  20.672  20.763   3.345   0.862 -77.294   3.428   0.720 -77.596   5.444   0.690 -76.957   1.000 0 0 0 0 0 1 
1236 25  35002 1936.67 1813.37  -0.08  -0.06  20.052  0.018  20.570  20.052  20.309   4.209   0.829  83.708   5.162   0.723  82.705  10.949   0.739  81.673   1.000 0 0 0 0 3 1 
1236 25  37051  369.68 1661.06  -0.02  -0.00  20.702  0.018  20.891  20.702  20.741   2.734   0.940  12.427   2.139   0.909  13.303   2.590   0.911  11.734   1.000 0 0 0 0 0 1 
1236 25  66707  229.60  722.61  -0.06  -0.11  20.274  0.018  20.825  20.274  20.552   4.807   0.738  82.720   6.228   0.629  83.529  14.328   0.601  87.269   1.000 0 0 0 0 3 1 
1236 25  49691  602.96 3335.45  -0.02  -0.06  21.812  0.019  22.200  21.800  21.990   4.072   0.764 -85.409   4.722   0.581 -85.002   9.069   0.512 -84.453   0.969 0 0 0 0 0 1 
1236 25 142386   62.19 4099.62  -0.91  -0.78  21.710  0.019  22.027  21.465  21.861   5.211   0.636  31.128   6.093   0.549  32.967  14.670   0.520  34.277   0.616 0 0 0 1061823289755935 0 1 
1236 25 141320  117.33 2237.98   0.01  -0.05  22.122  0.021  22.220  22.078  22.111   2.856   0.828  15.043   2.261   0.680  15.629   2.517   0.665  19.500   0.702 0 0 0 1061823289754888 0 1 
1236 25  26771  641.53 1530.94  -0.03  -0.08  19.496  0.018  19.866  19.497  19.666   3.670   0.870 -83.621   4.174   0.766 -84.685   7.247   0.730 -83.328   1.000 0 0 0 1061823289754429 0 1 
1236 25  77440   69.55 3253.27   0.09   0.10  21.640  0.019  22.071  21.639  21.767   3.787   0.860  79.305   4.568   0.730  82.154   8.850   0.685  85.557   1.000 0 0 0 0 0 1 
1236 25   4105  802.06  922.10  -0.05  -0.07  20.346  0.018  20.621  20.347  20.426   3.062   0.933  56.419   2.862   0.855  62.669   4.119   0.854  63.303   1.000 0 0 0 0 0 1 
1236 25  12591 1170.86 2467.44  -0.04  -0.07  21.869  0.020  22.127  21.867  21.986   2.801   0.861 -13.914   2.204   0.688 -20.311   3.114   0.714 -34.597   0.981 0 0 0 0 2 1 
1236 25 200839  683.10 2982.43   0.03  -0.24  22.124  0.021  22.364  22.126  22.150   2.996   0.896  50.592   2.583   0.796  54.711   3.547   0.768  56.553   1.000 0 0 0 0 0 1 
1236 25  10066 1862.93 1536.17  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 25   2190   24.01  421.26  -0.01  -0.26  21.663  0.019  22.050  21.662  21.809   3.807   0.761 -44.625   4.059   0.628 -46.947   7.213   0.629 -49.575   1.000 0 0 0 0 3 1 
1236 25 194365 1797.21  154.91  -0.03  -0.01  20.161  0.019  20.360  20.160  20.173   2.831   0.921 -17.795   2.351   0.856 -20.176   2.941   0.829 -20.450   1.000 0 0 0 0 0 1 
1236 25 138830  703.83 3217.10   0.04  -0.04  21.222  0.019  21.560  21.224  21.313   3.404   0.854  55.732   3.585   0.695  60.474   6.010   0.637  61.702   1.000 0 0 0 0 0 1 
