# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 42 176125  230.78 3028.96   0.15   0.00  22.725  0.027  22.799  22.360  23.390   4.276   0.829  -1.266   4.623   0.709  -2.676   9.897   0.604  -2.377   0.193 0 0 0 1061896304199427 0 1 
1236 42 175164 1478.63 2694.85  -0.12  -0.11  21.393  0.023  21.393  21.003  21.407   4.093   0.930 -50.619   4.259   0.884 -47.615   8.147   0.839 -48.433   0.000 0 0 0 0 0 1 
1236 42  21918 1769.45 1811.09  -0.11  -0.41     nan    nan     nan     nan  21.192   5.952   0.621 -70.961     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061896304198681 0 1 
1236 42  74151 1567.70 1390.13   0.25  -0.07  22.413  0.025  22.494  21.989  22.435   4.669   0.763 -27.474   5.137   0.688 -28.844  11.573   0.645 -31.134   0.187 0 0 0 0 0 1 
1236 42 150097 1688.89 2471.11  -0.01  -0.16  22.611  0.026  22.611  22.331  23.745   3.733   0.752  48.429   3.684   0.600  47.511   6.087   0.498  47.838   0.000 0 0 0 0 0 1 
1236 42 111706 1409.64 3935.74  -0.32  -0.09  22.907  0.028  22.907  22.533  22.918   3.716   0.979 -53.040   3.605   0.946 -49.127   6.704   0.902 -57.525   0.000 0 0 0 0 0 1 
1236 42 128623 1697.11 3440.98   0.57   0.24  23.364  0.034  23.383  22.785  23.105   4.775   0.746   8.364   5.469   0.616  11.646  14.412   0.541  14.083   0.040 0 0 0 1061896304199715 0 1 
1236 42 122528  441.83  412.71  -0.38   0.07  22.597  0.026  22.597  22.250  24.151   4.188   0.784  66.910   4.270   0.681  67.139   7.886   0.599  66.553   0.000 0 0 0 0 0 1 
1236 42 136050  969.31 2471.46   0.00  -0.04  21.104  0.022  21.198  20.834  21.149   4.093   0.810 -62.838   4.379   0.698 -61.218   8.072   0.635 -59.653   0.277 0 0 0 0 2 1 
1236 42 142883  338.65 2719.87   0.13   0.04  22.124  0.024  22.123  21.694  22.122   5.167   0.599  67.217   5.736   0.466  67.763  12.224   0.393  68.255   0.000 0 0 0 1061896304199245 0 1 
1236 42 103725  169.38 3872.51   0.22   0.46  22.022  0.023  22.365  21.787  22.286   5.076   0.757 -22.336   5.824   0.670 -20.718  14.671   0.603 -19.926   0.647 0 0 0 1061896304199993 0 1 
1236 42 190002  671.21 3364.16   0.02  -0.12  20.460  0.022  20.505  19.813  20.477   7.923   0.545 -78.201  10.169   0.466 -78.030  30.823   0.408 -77.615   0.084 0 0 0 1061896304199656 0 1 
1236 42  75236 1968.33 1775.25   0.11   0.01  21.729  0.023  21.860  21.302  21.783   4.871   0.748  47.660   5.641   0.663  48.845  13.741   0.618  49.670   0.274 0 0 0 0 0 1 
1236 42  42141  828.45 2218.18   0.38  -0.09  22.748  0.027  22.747  22.391  22.774   4.048   0.787  65.805   4.106   0.684  65.814   7.535   0.625  65.401   0.000 0 0 0 0 0 1 
1236 42  17589 1641.79 1105.53  -0.13   0.02  21.848  0.023  21.848  21.445  21.814   3.936   0.940 -36.883   4.099   0.889 -39.442   7.959   0.850 -43.999   0.000 0 0 0 0 0 1 
1236 42 143125 1993.43 2432.36  -0.10   0.14  22.536  0.025  22.569  21.975  22.366   5.354   0.712   1.496   6.235   0.633   3.052  16.216   0.574   4.977   0.070 0 0 0 1061896304199061 0 1 
1236 42 112438 1428.51 2249.80   0.18   0.69     nan    nan     nan     nan  22.662   3.623   0.869  23.095     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061896304198953 0 1 
1236 42 191627  312.21 2484.46  -0.28  -0.69  21.971  0.023  22.135  21.666  22.062   4.125   0.912  -1.409   4.492   0.826  -4.008   9.719   0.752  -3.834   0.391 0 0 0 1061896304199075 0 1 
1236 42  13445  301.45 1425.70  -0.15  -0.05  22.414  0.025  22.419  22.015  22.440   5.032   0.613 -19.553   5.620   0.462 -19.847  11.492   0.383 -20.282   0.014 0 0 0 0 0 1 
