# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 49  69973  184.60 3625.20   0.10   0.58  22.013  0.027  22.385  21.911  22.106   5.303   0.588  19.795   6.100   0.462  18.784  13.067   0.425  18.342   0.811 0 0 0 1061926368970906 0 1 
1236 49 165541   22.22 2530.40  -0.22   0.60  22.878  0.032  22.899  22.730     nan   3.021   0.966 -28.122   2.543   0.918 -26.117   3.127   0.888 -22.125   0.126 0 0 0 0 0 1 
1236 49 163993  942.77 3660.62   0.01  -0.77  22.990  0.033  23.396  22.990  22.927   2.848   0.959  -1.065   2.584   0.859   0.302   4.948   0.773   5.890   1.000 0 0 0 1061926368970934 0 1 
1236 49 141758 1292.34  416.78  -0.05  -0.25  20.859  0.025  20.932  20.604  20.893   3.604   0.941 -79.213   3.556   0.901 -78.679   5.978   0.873 -80.294   0.237 0 0 0 1061926368968950 0 1 
1236 49  57845   45.05 3845.42   0.22   0.40  22.377  0.027  22.376  21.671     nan   5.407   0.828 -24.344   6.417   0.754 -28.811  18.963   0.704 -32.266   0.000 0 0 0 0 2 1 
1236 49  15875  204.83 3150.43  -0.12   0.01  21.360  0.026  21.714  21.106  21.688   6.619   0.649  36.444   8.319   0.555  35.018  21.502   0.530  34.535   0.635 0 0 0 0 2 1 
1236 49 137426  307.42 3535.39  -0.16  -0.25  22.166  0.027  22.340  21.599  22.189   5.905   0.817  20.090   7.145   0.770  22.452  21.794   0.737  22.951   0.294 0 0 0 1061926368970856 0 1 
1236 49  95792 1430.25 3821.12  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 49  62487 1753.55  593.19  -0.47   0.55     nan    nan     nan     nan     nan   3.127   0.996 -88.320     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061926368969057 0 1 
1236 49 186623 1174.97 2602.38   0.21  -0.18  21.765  0.026  22.255  21.719  22.198   9.083   0.418  66.174   8.745   0.474  66.217  19.622   0.487  66.182   0.925 0 0 0 0 2 1 
1236 49  14245 1211.01 1020.54   0.05  -0.13  20.181  0.026  20.181  19.333  20.183   7.160   0.951  34.454   9.142   0.946  32.599  31.459   0.963  26.350   0.000 0 0 0 1061926368969305 0 1 
1236 49  34264 1707.13 1727.80   0.26  -0.28  21.574  0.026  21.837  21.058  21.621   5.607   0.943  37.658   6.754   0.959  38.248  20.793   0.980  26.921   0.413 0 0 0 1061926368969747 0 1 
1236 49 111732 1764.11 4110.15  -0.16   0.10  22.270  0.027  22.269  21.973     nan   3.650   0.955  87.171   3.403   0.965 -80.374   5.506   0.951 -45.829   0.000 0 0 0 0 0 1 
1236 49  69022  962.88  303.76   0.02  -0.04  22.189  0.027  22.189  21.740  22.213   4.088   0.952  -8.051   4.189   0.951 -14.454   8.514   0.956 -13.020   0.000 0 0 0 0 0 1 
1236 49 152801 1362.71 3767.27  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 49  46588 1918.84  244.89   0.30  -0.20  22.927  0.031  23.043  22.791  23.640   3.433   0.888  70.932   3.151   0.815  69.222   4.617   0.771  69.074   0.475 0 0 0 0 0 1 
1236 49 177774 1396.49 1992.62  -0.38  -0.11  22.316  0.028  22.455  22.150  22.366   3.604   0.839  11.446   3.590   0.739  10.419   5.885   0.683   8.724   0.476 0 0 0 1061926368969863 0 1 
1236 49 103784 1336.99 2561.68  -0.00  -0.09  19.619  0.026  20.228  19.424  19.993   5.753   0.938  51.892   7.830   0.877  40.170  26.159   0.798  25.725   0.809 0 0 0 0 6 1 
