# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 49  91901  358.00 1927.93   0.14   0.16  22.852  0.031  23.057  22.755  22.995   3.985   0.726   4.582   4.199   0.565   4.235   7.064   0.471   4.446   0.696 0 0 0 1061926368969832 0 1 
1236 49 191114  761.90 1254.11   0.22  -0.25  22.443  0.028  22.445  21.946  22.321   4.943   0.679 -65.123   5.600   0.567 -64.898  12.774   0.517 -65.661   0.006 0 0 0 1061926368969447 0 1 
1236 49  38878  180.47  944.51   0.05   0.00  21.598  0.026  21.917  21.501  21.783   3.891   0.903 -79.347   4.526   0.769 -72.265   8.999   0.686 -69.483   0.789 0 0 0 0 2 1 
1236 49  33967 1540.10 3113.59   0.16  -0.01  22.184  0.027  22.431  21.972  22.386   3.832   0.967  68.090   4.041   0.929  84.276   8.492   0.861 -84.671   0.576 0 0 0 0 2 1 
1236 49 200348 1000.38 3725.72   0.02  -0.00     nan    nan     nan     nan  20.103   5.595   0.610 -62.010     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061926368970946 0 1 
1236 49 173671  204.25 2742.26   0.04  -0.21  21.852  0.027  22.410  21.807  22.148   4.885   0.641 -51.078   5.943   0.537 -42.487  15.171   0.489 -38.363   0.939 0 0 0 0 2 1 
1236 49  24717 1852.99 3892.96   0.02  -0.08  21.393  0.026  21.614  21.349  21.487   3.293   0.869 -20.277   3.206   0.746 -22.113   4.816   0.679 -23.205   0.839 0 0 0 0 0 1 
1236 49  63178 1526.54 1495.88   0.12   0.06  22.372  0.027  22.372  21.910     nan   5.386   0.580 -28.670   6.180   0.430 -28.547  14.030   0.343 -28.701   0.000 0 0 0 0 0 1 
1236 49  57875 2018.45  382.73   0.55   0.27  21.950  0.026  22.475  21.950  22.160   4.739   0.687  24.981   5.723   0.566  24.290  12.864   0.531  23.410   1.000 0 0 0 1061926368968937 0 1 
1236 49 189852 1574.35 2129.72  -0.45   0.72  23.086  0.033  23.398  23.010  23.252   4.674   0.593  13.983   5.006   0.442  11.413   9.684   0.367   7.824   0.824 0 0 0 1061926368969940 0 1 
1236 49 144597 1925.55 2320.12  -0.15  -0.14  21.976  0.027  22.223  21.924  22.083   3.647   0.730  -8.275   3.794   0.547  -8.359   6.092   0.494  -7.555   0.838 0 0 0 1061926368970055 0 1 
1236 49 140704  543.92 2054.82   0.01  -0.26  21.690  0.026  21.715  21.148  21.703   5.394   0.731  82.392   6.347   0.650  83.605  16.104   0.582  83.556   0.055 0 0 0 1061926368969900 0 1 
1236 49 104577 1255.51 1274.96  -0.86  -0.51  23.131  0.031  23.130  22.491     nan   5.857   0.682  13.652   6.758   0.609  11.127  18.528   0.569  10.875   0.000 0 0 0 0 0 1 
1236 49 138052  446.77 3987.53  -0.03  -0.30  22.263  0.027  22.262  21.696  22.271   5.095   0.709  29.259   5.874   0.606  29.134  14.881   0.537  29.670   0.000 0 0 0 1061926368971150 0 1 
1236 49 191360 2011.96 3598.38   0.04  -0.38  20.938  0.025  21.150  20.598  21.098   4.828   0.858  -1.665   5.592   0.812  -3.647  13.338   0.785  -6.738   0.433 0 0 0 1061926368970888 0 1 
1236 49 111109 2008.91 3970.28   0.09   0.72  22.122  0.026  22.497  21.998  22.306   4.550   0.805  53.096   5.008   0.741  52.541  10.902   0.709  51.512   0.786 0 0 0 0 0 1 
1236 49  92136 1718.22 4005.91  -0.06   0.08  21.575  0.026  21.574  20.825     nan   7.325   0.634  89.458   9.065   0.570  89.567  28.779   0.527  89.633   0.000 0 0 0 0 0 1 
1236 49 155178 1701.35 1354.54  -0.03  -0.28  21.710  0.026  21.820  21.512  21.789   3.738   0.852  58.765   3.685   0.795  57.529   5.917   0.787  54.934   0.375 0 0 0 0 0 1 
1236 49 166142  753.47 1710.70   0.18   0.40  22.065  0.027  22.694  22.032  22.018   5.876   0.680  19.829   7.121   0.598  19.141  19.313   0.568  18.589   0.959 0 0 0 0 0 1 
1236 49  89463 1947.96 2165.22  -0.04   0.06  20.612  0.025  20.775  20.243  20.747   5.229   0.805  28.175   6.215   0.749  28.149  14.704   0.708  27.430   0.348 0 0 0 0 0 1 
1236 49 147205  639.52 1940.01  -0.01  -0.02  22.397  0.028  22.416  22.073  22.383   3.894   0.869  17.868   3.923   0.785  16.612   6.982   0.722  17.192   0.061 0 0 0 0 0 1 
