# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24  62786 1055.16 3083.81  -0.00  -0.10  20.813  0.019  20.813  20.167  20.817   5.928   0.832 -79.606   7.178   0.778 -80.410  19.885   0.738 -80.505   0.000 0 0 0 0 0 1 
1236 24  82106  161.31 1308.79  -0.04  -0.02  23.032  0.029  23.032  22.793  22.926   3.415   0.896  60.730   3.124   0.797  57.366   4.530   0.743  55.619   0.000 0 0 0 0 0 1 
1236 24  99337  352.84 3200.67  -0.20  -0.08  22.217  0.022  22.471  22.125  22.377   4.071   0.771  25.020   4.238   0.654  25.331   7.422   0.598  26.506   0.752 0 0 0 0 0 1 
1236 24  48292 1568.10  628.44   0.15  -0.04  22.353  0.022  22.487  21.966  22.553   5.348   0.641  53.913   6.311   0.512  54.206  15.166   0.431  54.428   0.296 0 0 0 0 0 1 
1236 24  90791 1847.70 4122.69   0.01  -0.05  19.811  0.019  20.093  19.634  19.967   5.602   0.622  51.823   7.082   0.498  52.342  15.197   0.446  52.587   0.645 0 0 0 0 0 1 
1236 24 175076  683.10 2982.43   0.10  -0.10  22.800  0.026  23.208  22.775  23.039   4.235   0.698 -14.502   4.561   0.570 -18.408   8.975   0.538 -23.217   0.949 0 0 0 1061818994788034 0 1 
1236 24 166582  474.36  943.64   0.04   0.02  21.584  0.020  21.608  21.111  21.549   5.316   0.631 -84.179   6.155   0.512 -85.004  14.202   0.448 -84.236   0.057 0 0 0 1061818994786866 0 1 
1236 24 182162 1107.58  783.79  -0.17  -0.19  22.871  0.027  22.991  22.567  22.966   4.200   0.854  -7.186   4.545   0.725  -5.590   9.436   0.617  -5.265   0.315 0 0 0 1061818994786771 0 1 
1236 24 180641  703.83 3217.10  -0.12   0.05  20.404  0.019  20.964  20.358  20.756   6.278   0.606   6.054   8.343   0.521   6.648  21.448   0.478   6.644   0.936 0 0 0 0 5 1 
1236 24  68172  369.68 1661.06  -0.02  -0.24  22.572  0.024  22.744  22.356  22.738   4.938   0.555  44.369   5.565   0.364  44.619  11.063   0.286  44.394   0.478 0 0 0 0 0 1 
1236 24 188854  104.53 1029.84   0.00  -0.09  20.693  0.020  20.915  20.678  20.768   3.346   0.792 -39.984   3.271   0.603 -39.720   4.632   0.540 -39.301   0.940 0 0 0 0 0 1 
1236 24 156909  562.83 3175.44   0.08  -0.36     nan    nan     nan     nan  19.746   5.771   0.835  51.185     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994788086 0 1 
