# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
  3706  728.48  392.40  -0.07  -0.19  20.061  0.031  20.340  20.042  20.175   3.563   0.808  30.828   3.708   0.667  29.593   5.758   0.632  28.105   0.940 0 1
  1442   82.19  520.57   0.00  -0.11  20.141  0.031  20.541  20.142  20.329   3.653   0.943  17.992   4.012   0.894  12.806   7.392   0.856   9.667   1.000 1061853354524998 1
  1356 1833.86 1859.99   0.13  -0.70  24.617  0.102  24.719  24.626  24.550   2.786   0.902 -29.931   2.835   0.137 -17.168   2.873   0.136 -17.035   1.000 0 1
  2972 1604.04 3595.60   0.05  -0.04  20.856  0.031  21.318  20.856  21.064   4.674   0.667  39.489   5.863   0.508  40.885  12.234   0.459  40.607   1.000 1061853354526914 1
  2983 1085.95 1531.70  -0.08  -0.03  20.300  0.031  20.571  20.300  20.385   3.552   0.712  18.740   3.717   0.500  17.999   5.565   0.455  17.942   1.000 0 1
   349  488.24 3622.54  -0.02  -0.05  20.863  0.031  21.299  20.861  21.087   4.395   0.743  18.841   5.203   0.626  19.291  10.376   0.584  18.690   0.994 0 1
  1217 1635.13 3273.74   0.06  -0.12  21.301  0.031  21.541  21.284  21.389   3.069   0.934  12.113   2.791   0.873   9.808   4.028   0.830   7.486   0.934 1061853354526719 1
  3290 1094.41 3113.77   0.05  -0.03  20.876  0.031  21.346  20.877  21.131   4.324   0.803   6.622   5.186   0.719   6.475  10.741   0.684   5.907   1.000 0 1
  1214  596.32  122.51  -0.02  -0.07  23.109  0.039  23.656  23.111  23.330   5.091   0.531 -35.522   5.468   0.448 -32.246  11.747   0.495 -28.820   1.000 0 1
  3186  277.20 1058.59   0.01  -0.02  23.351  0.044  23.379  23.344     nan   2.728   0.867  39.252   1.951   0.709  36.353   1.682   0.611  30.383   0.773 0 1
  2776 1327.55  731.47   0.04  -0.04  20.131  0.031  20.620  20.131  20.373   4.962   0.664  36.069   6.167   0.537  36.088  13.362   0.486  36.335   1.000 0 1
  4704 1822.09 1607.55   0.71  -0.16  23.249  0.041  24.172  23.123  23.533   2.370   0.911  47.953   1.388   0.855   2.369  13.070   0.257 -37.984   0.899 0 1
  4839  576.41 1020.70  -0.08  -0.00  23.390  0.042  23.390  23.082     nan   4.034   0.715  20.234   4.227   0.515  16.962   7.885   0.345  15.552   0.000 0 1
  3671 1985.71 2423.96   0.65   0.34  23.393  0.043  23.691  23.350  23.497   3.397   0.817  19.741   3.265   0.697  22.583   5.524   0.658  25.775   0.888 0 1
  2417 1346.13 2462.32   0.00  -0.07  20.620  0.031  20.902  20.613  20.720   3.145   0.937  27.498   2.959   0.895  29.061   4.397   0.901  31.501   0.978 1061853354526215 1
   760 1084.63 2571.32  -0.04  -0.02  21.184  0.031  21.546  21.176  21.335   3.716   0.817  32.606   3.955   0.715  33.111   6.894   0.699  32.879   0.980 0 1
  1866  555.88 1241.46  -0.07  -0.09  20.598  0.031  21.023  20.591  20.792   4.092   0.790  34.990   4.684   0.691  33.145   9.093   0.664  30.368   0.986 0 1
  2722 1346.90 3331.30   0.18  -0.31  23.227  0.040  23.586  23.227  23.332   3.718   0.767  40.769   3.610   0.627  39.687   5.921   0.673  42.507   1.000 0 1
  4081   70.94 2750.93   0.01  -0.04  21.664  0.032  22.038  21.664  21.786   3.406   0.911  45.746   3.345   0.891  45.652   5.625   0.944  30.368   1.000 1061853354526399 1
  1725 1875.81  658.85   0.39  -0.28  23.033  0.038  23.297  23.034  23.069   3.384   0.734  50.304   3.284   0.483  49.846   4.977   0.412  47.817   1.000 0 1
  1853  869.52 3631.34  -0.32  -0.12  22.413  0.033  22.883  22.414  22.453   3.556   0.953   4.874   3.904   0.903 -47.243   8.198   0.803 -57.751   1.000 0 1
   793  710.37 2158.94   0.23   0.15  23.872  0.054  23.871  23.651     nan   4.334   0.548  24.404   4.227   0.322  23.287   6.536   0.218  21.605   0.000 0 1
   933 1467.05 1517.76  -0.64  -0.03     nan    nan     nan     nan     nan   2.992   0.913  12.220     nan     nan     nan     nan     nan     nan     nan 0 1
  1180 1398.62 2091.37   0.08  -0.53  23.214  0.039  23.421  23.065  23.118   5.002   0.508  21.024   5.752   0.296  22.409  11.183   0.205  24.057   0.609 0 1
  3923 1942.89 1641.23  -0.59   0.91  23.238  0.041  23.467  23.233  23.272   2.684   0.951 -66.260   2.110   0.877 -64.681   2.780   0.924 -72.756   0.976 0 1
  2736  395.10 2609.39   0.05  -0.01  21.957  0.032  22.379  21.832  22.309   5.684   0.632  19.295   6.567   0.560  21.131  15.520   0.522  21.800   0.805 0 1
  4768 1433.66 3376.39   0.06   0.09  22.020  0.032  22.350  21.928  22.194   3.827   0.856 -19.325   4.015   0.791 -21.089   7.685   0.773 -23.900   0.806 0 1
  1661  696.75 2289.30   0.01  -0.11     nan    nan     nan     nan     nan   9.975   0.441  66.783     nan     nan     nan     nan     nan     nan     nan 0 1
  3348 1517.05  160.53   0.11  -0.09  22.947  0.037  23.074  22.783  22.911   3.501   0.847  16.195   3.360   0.730  17.065   5.231   0.707  19.720   0.457 1061853354524778 1
  1514 1157.07 1199.63  -0.02  -0.08  20.257  0.031  20.745  20.251  20.514   4.382   0.845   5.705   5.342   0.780   5.719  11.391   0.752   3.424   0.989 0 1
  1133 1752.69 3797.75  -0.32   0.48  22.268  0.032  22.791  22.270  22.360   3.984   0.804  35.553   4.978   0.687  38.643  10.680   0.693  40.727   1.000 1061853354527036 1
  4378  602.57  736.64   0.00  -0.04  21.485  0.031  21.699  21.440  21.541   3.240   0.849  34.269   3.055   0.715  35.757   4.465   0.674  37.764   0.832 1061853354525160 1
  1186 1984.54 1797.25   0.71  -0.17  23.246  0.040  23.806  23.247  23.555   5.345   0.531  13.052   5.879   0.373  14.511  13.820   0.350  15.061   1.000 0 1
  2702  401.39  786.05  -0.02  -0.21  22.767  0.035  23.031  22.749  22.964   3.949   0.772  17.731   3.922   0.633  19.769   6.131   0.571  23.144   0.938 0 1
  2765  664.14 2063.05   0.09  -0.24  22.317  0.033  22.694  22.239  22.545   3.929   0.910  -3.331   4.225   0.838  -8.936   8.696   0.780 -11.772   0.850 0 1
  3815 1324.50 3145.06   0.06  -0.01  21.952  0.031  22.582  21.953  22.365   5.689   0.622  14.043   6.932   0.545  14.102  17.829   0.519  12.729   1.000 0 1
  1547  291.62 2974.07  -0.05  -0.34  23.522  0.045  23.833  23.465  23.549   3.525   0.717  15.071   3.501   0.528  10.567   6.333   0.476   4.985   0.861 0 1
  4495 1027.47 3634.98   0.02  -0.04  21.562  0.031  21.710  21.532  21.571   2.838   0.911  32.806   2.337   0.815  32.838   2.875   0.767  34.329   0.832 0 1
  1095  703.90 3231.22   0.10  -0.25     nan    nan     nan     nan  20.326   3.860   0.859  29.388     nan     nan     nan     nan     nan     nan     nan 1061853354526714 1
   805  647.00 1265.50  -0.07  -0.04  20.096  0.031  20.577  20.097  20.332   4.085   0.886   1.220   4.934   0.824  -0.012  10.256   0.791  -2.614   1.000 0 1
   805  647.00 1265.50  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  3989  106.60  262.61   0.25  -1.78  22.465  0.033  22.845  22.389  22.679   4.740   0.664  42.127   5.500   0.519  38.796  11.779   0.440  37.553   0.854 0 1
  3824  354.54  771.87   0.41  -0.59  23.407  0.044  23.412  23.174  23.332   3.055   0.901 -48.965   2.711   0.749 -44.435   3.949   0.667 -41.413   0.026 1061853354525202 1
  2182  503.54   53.95   0.01  -0.05  20.374  0.031  20.768  20.374  20.540   3.648   0.896  23.339   3.925   0.827  22.751   7.086   0.810  20.408   1.000 0 1
  2917 1334.46 1662.10  -0.03  -0.00  20.793  0.031  21.122  20.786  20.934   3.491   0.860  39.459   3.608   0.754  39.444   5.969   0.726  37.157   0.980 1061853354525732 1
   764 1386.82 2443.81  -0.05  -0.06  20.629  0.031  20.849  20.628  20.679   3.136   0.791  41.238   2.903   0.608  41.576   3.867   0.579  41.856   0.995 0 1
  3091 1856.96 3706.76  -0.04  -0.01  21.201  0.031  21.382  21.197  21.232   3.039   0.780   6.296   2.684   0.565   5.267   3.368   0.519   4.277   0.975 1061853354526987 1
  3904  912.41 3825.32  -0.01  -0.03  20.125  0.031  20.358  20.126  20.195   3.147   0.833  40.688   2.990   0.685  41.202   4.079   0.645  40.787   1.000 0 1
  3500  360.71 1034.59  -0.01  -0.02  20.933  0.031  21.134  20.934  20.966   2.722   0.950   9.740   2.145   0.875  -0.013   2.763   0.817  -1.211   1.000 0 1
  2331  632.40 2597.03   0.00  -0.06  20.250  0.031  20.694  20.251  20.479   4.305   0.721   4.437   5.238   0.574   4.487  10.680   0.505   3.636   1.000 0 1
