# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40    0.00  -0.04  20.10   0.017 20.395  20.099  20.211   3.472   0.790  27.397   3.639   0.643  25.014   5.606   0.609  23.341   1.000 1062029448184046 1
  1442  520.57   -0.03  -0.04  20.06   0.017 20.481  20.056  20.261   3.687   0.940   8.808   4.186   0.898  -2.537   7.996   0.859  -7.946   1.000 1062029448184107 1
  1356 1859.99    0.49   0.28  23.43   0.033 23.839  23.378  23.166   5.728   0.571  -5.603   5.470   0.464   3.212  11.613   0.402   2.033   0.899 0 1
  2972 3595.60   -0.07   0.09  20.61   0.017 21.115  20.614  20.916   5.298   0.664  43.815   6.787   0.583  44.036  14.861   0.545  42.859   1.000 0 1
  2983 1531.70    0.01  -0.01  20.28   0.017 20.548  20.277  20.368   3.623   0.687  19.761   3.909   0.467  18.570   5.925   0.410  18.175   1.000 1062029448184687 1
   349 3622.54    0.15  -0.03  20.88   0.018 21.320  20.880  21.094   4.195   0.753  21.957   5.019   0.634  20.921  10.020   0.591  19.390   1.000 0 1
  1217 3273.74    0.04   0.03    nan     nan    nan     nan  21.259   3.189   0.900   7.137     nan     nan     nan     nan     nan     nan     nan 1062029448185734 1
  3290 3113.77    0.04  -0.14  21.02   0.018 21.424  20.990  21.234   4.250   0.771  13.645   5.028   0.662  13.681   9.947   0.624  12.592   0.944 0 1
  1214  122.51    0.70  -0.21  23.81   0.046 23.814  23.518  23.749   4.102   0.639  25.624   4.100   0.455  24.765   7.020   0.365  28.443   0.000 0 1
  3186 1058.59    0.09  -0.27  23.05   0.028 23.121  22.909  23.044   3.484   0.731  39.520   3.258   0.553  36.948   4.421   0.516  35.906   0.324 0 1
  2776  731.47    0.09  -0.01  19.99   0.017 20.468  19.990  20.248   4.619   0.726  33.674   5.851   0.615  33.448  12.365   0.572  33.608   0.999 0 1
  4704 1607.55    0.24  -0.36  23.23   0.030 23.588  23.186  23.293   3.316   0.840 -61.960   3.420   0.697 -61.775   6.601   0.611 -60.672   0.895 0 1
  4839 1020.70   -0.38  -0.12  23.28   0.032 23.525  23.276  23.397   4.147   0.517  13.809   4.590   0.203  12.081   7.246   0.134  12.109   0.972 0 1
  3671 2423.96    0.54   0.17  25.67   0.263 25.672  25.671  25.707   1.804   0.856  66.591   0.020   0.527  73.499   0.010   0.601  36.044   0.000 1062029448185206 0
  2417 2462.32    0.05  -0.09  20.48   0.017 20.863  20.481  20.647   3.280   0.906  47.341   3.246   0.856  45.329   5.694   0.840  52.056   1.000 0 1
   760 2571.32   -0.19  -0.10  21.27   0.018 21.598  21.271  21.411   3.505   0.807  26.931   3.707   0.665  25.884   6.088   0.629  26.482   1.000 1062029448185304 1
  1866 1241.46    0.06  -0.04  20.51   0.017 20.967  20.512  20.722   4.065   0.815  36.450   4.807   0.727  35.833   9.624   0.699  32.980   1.000 0 1
  2722 3331.30    0.04   0.32  22.78   0.024 23.420  22.783  22.906   4.455   0.595 -77.104   4.980   0.498 -80.449  11.674   0.592 -84.389   1.000 1062029448185785 1
