# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
    34 1040.12    0.12  -0.05  21.86   0.025 22.181  21.685  22.144   4.772   0.756  21.145   5.442   0.649  19.920  12.103   0.593  19.150   0.688 0 1
  2371 3033.01   -1.00  -0.89    nan     nan    nan     nan     nan   3.594   0.787  37.966     nan     nan     nan     nan     nan     nan     nan 0 1
    24 2941.96    0.03  -0.16  20.95   0.024 21.317  20.805  21.203   4.790   0.803  42.572   5.593   0.741  40.200  12.419   0.717  38.222   0.756 0 1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2505 1147.16    0.50  -2.26    nan     nan    nan     nan  21.590   4.994   0.764  20.541     nan     nan     nan     nan     nan     nan     nan 0 1
   472 2872.57    0.29   0.68  20.12   0.024 20.213  19.514  20.215   7.626   0.704  26.210   9.575   0.658  25.602  28.607   0.618  22.857   0.166 1061990793479839 1
  2327 1005.52    0.00  -0.13  20.94   0.025 21.074  20.752  20.986   3.857   0.840   9.956   3.953   0.738   9.035   6.609   0.701   9.921   0.433 0 1
  2327 1005.52   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 3640.45    0.34   0.29  22.09   0.026 22.622  22.088  22.297   4.777   0.668   9.793   6.104   0.522   9.204  14.046   0.468   7.810   1.000 1061990793480356 1
  4621 2275.62    0.27  -0.02  23.03   0.032 23.300  22.811     nan   4.384   0.969 -50.213   4.435   0.933 -39.201   9.582   0.886 -22.779   0.588 0 1
  2836 1436.99   -0.49  -0.14  23.63   0.041 23.633  23.105     nan   4.982   0.721  30.539   5.223   0.647  29.548  12.081   0.644  29.525   0.000 0 1
   895 2553.62    1.47  -0.32  22.77   0.028 22.774  22.188     nan   5.759   0.647   0.818   6.653   0.533   2.376  17.575   0.466   4.022   0.000 0 1
  2912  746.79    0.50   0.18  22.17   0.026 22.482  21.806  22.329   5.565   0.762  39.719   6.531   0.714  33.332  18.075   0.694  29.202   0.529 1061990793478622 1
  2878 1495.46   -0.65   1.01  22.91   0.030 23.337  22.602  23.275   4.459   0.990 -75.886   5.104   0.931  14.775  15.006   0.896   2.379   0.656 0 1
  1523 1261.51   -0.02  -0.23  20.78   0.024 21.085  20.315  21.031   6.093   0.884  46.931   7.572   0.861  45.043  23.559   0.843  44.680   0.475 0 1
  1457 1482.20   -0.00   0.03  20.03   0.024 20.736  20.025  20.456   6.629   0.725   5.612   8.914   0.682   4.103  25.814   0.641   2.703   0.991 0 1
  2965 2803.75   -0.20   0.01    nan     nan    nan     nan  20.595   5.681   0.871  12.160     nan     nan     nan     nan     nan     nan     nan 1061990793479803 1
  2121 3562.94    0.31  -0.10  22.76   0.029 22.764  22.245     nan   4.800   0.740  49.261   5.257   0.652  48.652  12.402   0.585  48.188   0.000 0 1
  1932  499.80   -0.05   0.01  21.03   0.024 21.257  20.442  21.172   7.121   0.711  -4.530   9.136   0.655  -3.807  30.744   0.611  -3.073   0.347 0 1
  1932  499.80   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2339  695.21    0.22  -0.62  21.79   0.025 21.989  21.184  21.916   6.473   0.886   6.345   8.039   0.844   2.372  26.199   0.822  -1.453   0.315 0 1
  4813 3677.97    0.33   0.41  22.91   0.030 22.908  22.642     nan   4.011   0.838  23.603   3.881   0.754  20.260   6.291   0.679  17.232   0.000 0 1
