# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
    34  662.11 1040.12   0.14  -0.12  21.726  0.024  22.173  21.619  21.949   4.564   0.779  13.123   5.388   0.697  14.560  12.811   0.650  14.081   0.837 0 1
  2371 1780.00 3033.01   0.19   0.65  23.175  0.031  23.174  22.648  23.298   4.179   0.925  70.481   4.515   0.922  70.258  10.534   0.908  44.896   0.000 1061999383414776 1
    24  135.15 2941.96  -0.09  -0.06  20.562  0.023  21.109  20.476  20.893   5.479   0.802  32.441   7.016   0.751  30.649  18.300   0.727  29.695   0.890 0 1
    24  135.15 2941.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2505   91.53 1147.16  -1.13  -0.88     nan    nan     nan     nan     nan   3.192   0.777  54.965     nan     nan     nan     nan     nan     nan     nan 0 1
   472  530.63 2872.57  -0.74  -0.52  20.205  0.023  20.485  19.820  20.431   6.395   0.840  31.105   7.990   0.812  30.364  22.252   0.793  28.378   0.481 1061999383414657 1
  2327  208.04 1005.52   0.01  -0.08  21.147  0.023  21.147  20.869  21.146   3.734   0.853  11.598   3.702   0.770  10.096   5.825   0.728   8.108   0.000 0 1
  3648  149.23 3418.16  -0.43  -0.03  22.715  0.027  22.944  22.291     nan   5.095   0.821   0.851   6.249   0.713   1.539  17.807   0.617  -0.504   0.412 1061999383415003 1
  4419 1768.29 3640.45   0.06  -0.10  21.468  0.023  21.939  21.392  21.785   4.487   0.827   2.261   5.223   0.777   4.372  11.957   0.771   6.400   0.883 1061999383415119 1
  4621  401.00 2275.62   0.29  -0.47     nan    nan     nan     nan     nan   2.990   0.979 -78.439     nan     nan     nan     nan     nan     nan     nan 0 1
  2836  323.28 1436.99  -0.33  -0.12     nan    nan     nan     nan     nan   3.066   0.832  14.463     nan     nan     nan     nan     nan     nan     nan 0 1
   895  180.57 2553.62   0.48  -0.84  22.282  0.025  22.425  21.766  22.311   5.510   0.672   1.730   6.504   0.612  -0.295  17.997   0.574  -2.267   0.265 0 1
  2912 1123.24  746.79   0.24   0.20  22.440  0.025  22.440  21.698  22.491   6.358   0.745  10.080   7.639   0.706  11.796  23.434   0.685  14.226   0.000 0 1
  2878 1225.05 1495.46  -0.02  -1.05  23.681  0.043  23.754  23.391  23.602   3.962   0.705  55.936   4.171   0.504  54.636   7.933   0.405  54.732   0.223 1061999383413710 1
  1523 1089.14 1261.51   0.08  -0.28  20.821  0.023  21.060  20.250  20.994   6.460   0.845  49.080   8.219   0.812  47.522  27.154   0.783  46.970   0.368 0 1
  1457 1508.61 1482.20  -0.03  -0.00  20.174  0.023  20.778  20.110  20.550   6.269   0.716   1.444   8.428   0.648   2.475  23.273   0.609   1.930   0.922 0 1
  2965  454.56 2803.75   0.04   0.11  20.274  0.023  20.722  20.025  20.612   5.740   0.952  36.509   7.220   0.946  22.945  20.448   0.940  21.583   0.702 0 1
  2121 1455.56 3562.94  -0.05  -1.20     nan    nan     nan     nan     nan   3.216   0.749  39.319     nan     nan     nan     nan     nan     nan     nan 1061999383415080 1
  1932 1468.78  499.80  -0.00  -0.01  21.409  0.023  21.408  20.637  21.379   6.854   0.676  -2.402   8.687   0.604  -2.574  28.219   0.554  -2.710   0.000 0 1
  4436  158.41 3424.84   0.49  -0.62  22.378  0.025  22.377  21.702  22.424   5.180   0.872 -65.648   5.960   0.855 -60.924  16.931   0.820 -57.564   0.000 1061999383415003 1
  2339  424.07  695.21   0.18   0.59  21.296  0.023  21.793  20.888  21.510   6.568   0.940  68.530   8.496   0.926  61.043  30.425   0.923  65.741   0.641 0 1
  2339  424.07  695.21  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2321 1653.72 2208.02  -0.31  -0.10  21.737  0.023  22.172  21.625  22.116   4.746   0.815  20.723  13.433   0.322  78.917  28.702   0.402  78.780   0.818 0 1
  1570  990.64 3606.44  -0.19   0.08  22.237  0.024  22.571  21.835  22.582   5.474   0.874 -35.171   6.687   0.834 -29.666  20.276   0.787 -30.313   0.530 1061999383415109 1
  4669 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   5.811   0.692  37.397     nan     nan     nan     nan     nan     nan     nan 0 1
  4595 1728.58 4116.63   0.09   0.19  22.458  0.025  22.732  22.145     nan   5.146   0.785  42.233   5.953   0.688  39.125  15.265   0.611  36.921   0.525 0 1
  2318   29.50 1538.71   0.50   0.29  21.644  0.023  22.098  21.387     nan   5.699   0.862  36.813   7.203   0.803  34.532  21.145   0.758  34.412   0.701 1061999383413730 1
  2318   29.50 1538.71  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4075  924.68 3351.98   0.01  -0.06     nan    nan     nan     nan  20.066   3.477   0.897  21.384     nan     nan     nan     nan     nan     nan     nan 1061999383414948 1
   520  988.52 1981.45   0.13   0.28  22.466  0.025  23.152  22.468  22.978   5.846   0.635  40.076   6.928   0.543  36.636  19.749   0.478  35.630   1.000 0 1
   242  770.72  160.40   0.55   0.06  21.253  0.023  21.653  20.922  21.475   6.418   0.791  11.498   7.943   0.757  12.406  23.857   0.723  11.974   0.618 1061999383412834 1
