# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 48 129890  358.00 1927.93   0.08  -0.65  23.191  0.028  23.341  22.766     nan   6.091   0.567  -8.663   6.824   0.519  -7.276  17.018   0.484  -3.751   0.308 1061922074002641 0 1 
1236 48 185141 1569.26  268.76   0.28   0.27  23.288  0.034  23.287  23.124  23.280   3.153   0.836 -17.659   2.812   0.647 -20.093   3.662   0.518 -21.700   0.000 1061922074001602 0 1 
1236 48  51798   56.53 3472.48   0.00  -0.27  20.748  0.018  21.274  20.748  21.038   4.628   0.793 -78.724   5.788   0.713 -76.988  12.884   0.688 -76.178   1.000 0 0 1 
1236 48 193665 1574.35 2129.72   0.12  -0.03  22.309  0.022  22.581  22.310  22.376   3.049   0.916 -79.545   2.720   0.857 -73.646   3.979   0.832 -69.314   1.000 0 0 1 
1236 48  47994 1006.56 1245.15   0.38   0.01  22.447  0.022  22.909  22.417  22.459   4.731   0.955  30.266   5.201   0.930  39.831  11.217   0.888  78.807   0.947 1061922074002221 0 1 
1236 48  16563  180.47  944.51  -0.17   0.05  21.848  0.020  22.130  21.721  21.941   4.408   0.721  13.188   4.856   0.586  13.692   9.454   0.530  12.719   0.718 1061922074002021 0 1 
1236 48 147129 1540.10 3113.59   0.14   0.05  22.792  0.025  23.181  22.792  22.879   4.022   0.761  -7.516   4.555   0.566  -8.882   8.874   0.453  -8.536   1.000 0 0 1 
1236 48 176866 1000.38 3725.72  -0.01  -0.05  20.708  0.018  21.091  20.707  20.821   3.319   0.904  -7.342   3.513   0.794 -10.971   6.353   0.725 -14.217   1.000 0 5 1 
1236 48 179302  727.64 1089.22  -0.11   0.13  21.720  0.019  22.044  21.551  21.896   4.533   0.911 -41.396   5.067   0.885 -46.548  10.990   0.864 -48.004   0.692 1061922074002129 0 1 
1236 48 145261 1526.54 1495.88   0.03  -0.03  21.822  0.019  22.378  21.823  22.058   4.696   0.700  85.625   5.707   0.602  85.161  13.060   0.588  85.312   1.000 0 0 1 
1236 48 150121 1805.64 2184.88  -0.03  -0.04  21.918  0.020  22.350  21.918  22.051   3.492   0.956 -53.476   3.653   0.869 -51.594   7.462   0.735 -31.654   1.000 0 2 1 
1236 48 151813 2018.45  382.73  -0.45  -0.73  22.832  0.026  23.245  22.839  23.008   3.097   0.814  37.952   2.892   0.573  33.398   8.120   0.137  29.014   0.974 0 2 1 
1236 48  40549 1925.55 2320.12   0.04   0.13  21.487  0.019  21.852  21.360  21.700   4.618   0.903  24.638   5.240   0.882  24.652  11.233   0.878  27.272   0.768 1061922074002842 0 1 
1236 48  70480 1254.20 3602.62   0.03   0.03  22.120  0.020  22.553  21.989  22.400   4.613   0.847 -88.126   5.109   0.830  89.882  11.827   0.844 -89.863   0.804 0 0 1 
1236 48  32664  336.52 3371.75   0.06  -0.09  21.998  0.020  22.367  21.951  22.199   4.398   0.688  11.583   5.117   0.530  10.217  10.325   0.443   8.242   0.901 0 0 1 
1236 48 121495  543.92 2054.82  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 48  28494 1787.28 3849.05   0.43  -1.08  22.246  0.020  22.406  21.684  22.180   7.075   0.656 -63.124   8.588   0.592 -62.885  25.789   0.558 -62.353   0.277 0 0 1 
1236 48  55734 2011.96 3598.38   0.04  -0.38  21.574  0.019  21.971  21.572  21.770   3.674   0.849  61.506   3.836   0.778  59.425   6.922   0.780  57.042   0.997 0 0 1 
1236 48 130294 1376.95 3972.26   0.98  -0.79  23.123  0.029  23.605  23.124  23.224   4.026   0.677 -38.367   4.510   0.543 -31.873   9.604   0.497 -29.869   1.000 0 0 1 
1236 48 144753 1551.23 3568.24  -0.91  -0.36  23.724  0.043  23.724  23.298  23.771   4.152   0.820  79.648   4.219   0.705  79.209   8.664   0.621  78.470   0.000 0 0 1 
1236 48   9996  446.77 3987.53   0.06  -0.01  21.824  0.019  22.275  21.816  21.975   3.762   0.785  84.182   3.990   0.679  83.323   7.530   0.760  85.561   0.985 1061922074003944 0 1 
1236 48 110842 1547.48  925.75   0.04  -0.06  20.242  0.018  20.636  20.229  20.439   4.123   0.793 -29.672   4.830   0.677 -29.863   9.156   0.628 -29.304   0.971 0 2 1 
1236 48  77031 1421.48 2713.54   0.01  -0.04  21.505  0.019  21.915  21.505  21.627   4.206   0.663 -61.196   4.841   0.484 -61.038   9.305   0.438 -60.643   1.000 0 0 1 
1236 48 130782 1792.56   50.76  -0.86  -0.11  22.988  0.026  23.470  22.912     nan   6.405   0.555 -85.401   7.521   0.431 -84.416  18.556   0.367 -84.421   0.887 0 0 1 
1236 48 111382  685.97 3697.27   0.08  -0.23  21.464  0.019  21.957  21.465  21.727   4.698   0.736 -70.820   5.759   0.637 -70.228  12.283   0.601 -70.144   1.000 1061922074003711 0 1 
1236 48  92103 2017.32  262.78  -0.32   0.22  21.645  0.019  22.158  21.634  21.962   4.129   0.963  85.744   4.789   0.912 -88.208  10.604   0.894 -81.585   0.981 0 0 1 
1236 48  39755 1516.67 2928.56  -0.34   0.21  23.289  0.033  23.528  23.208  23.352   3.182   0.799   4.832   2.874   0.644   0.295   4.577   0.652 -10.388   0.766 0 0 1 
1236 48 175940   47.41 1617.75   0.12   0.02  21.150  0.019  21.498  20.987  21.271   5.780   0.644   9.729   6.985   0.531   9.796  16.133   0.474  10.359   0.718 1061922074002462 0 1 
1236 48 168642 1947.96 2165.22   0.31  -0.28  22.698  0.024  23.056  22.658  22.719   3.881   0.770 -72.498   4.088   0.652 -70.417   7.679   0.606 -69.974   0.909 1061922074002781 0 1 
1236 48 181740 1556.97 3707.13  -0.03  -0.19  21.364  0.018  21.641  21.365  21.428   3.125   0.875 -27.817   3.016   0.721 -29.431   4.573   0.657 -29.555   1.000 0 0 1 
1236 48  43304  450.86 1300.27   0.01  -0.08  20.081  0.018  20.404  20.081  20.214   3.385   0.908   7.397   3.473   0.826   4.686   5.587   0.792   0.829   1.000 0 0 1 
1236 48 190300 1579.20 1968.46   0.02  -0.11  20.615  0.018  21.030  20.571  20.843   4.550   0.778 -69.130   5.394   0.685 -68.782  11.058   0.652 -67.516   0.914 0 0 1 
1236 48 189644 1832.85 2862.85   0.06  -0.12  22.645  0.024  22.903  22.646  22.761   3.370   0.794 -31.697   3.224   0.634 -30.533   4.650   0.604 -27.683   1.000 0 0 1 
1236 48 108226 1929.27 1796.96   0.35   0.65  21.699  0.019  21.933  21.267  21.866   6.951   0.560  59.548   8.712   0.472  59.749  24.924   0.425  59.865   0.412 1061922074002577 0 1 
1236 48 116990 1917.96 1977.86   0.03  -0.21  22.330  0.021  22.696  22.298  22.472   3.840   0.846 -27.254   4.008   0.755 -30.216   7.428   0.723 -29.018   0.926 0 0 1 
1236 48  23676  753.47 1710.70  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 48  75484 1702.07 2081.21  -0.19   0.41     nan    nan     nan     nan     nan   2.999   0.558 -56.238     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 48 137969  639.52 1940.01  -0.35   0.39  21.835  0.019  22.245  21.745  22.068   5.143   0.672 -48.259   5.982   0.558 -50.710  13.530   0.489 -51.486   0.845 0 0 1 
1236 48 178218 1954.46 3434.00   0.01  -0.05  22.950  0.026  23.332  22.862  23.265   5.120   0.655 -88.009   5.786   0.509 -84.080  12.767   0.423 -81.720   0.835 1061922074003556 0 1 
1236 48  87951 1255.51 1274.96  -0.14  -0.30  21.357  0.019  21.680  21.260  21.545   4.910   0.633  53.346   5.601   0.506  52.769  10.963   0.473  52.740   0.791 1061922074002238 0 1 
