id fakeid visit ccd cmodelMag expMag devMag expReff devReff expBA devBA expPosAng devPosAng cmodelMagErr expMagErr fracDev devMagErr nchild parent
1061818994788271 47894 1236 24 21.5980060668 22.2585101335 21.5994505504 9.39553981761 24.8244540456 0.458558879738 0.453118891992 -16.9303880775 -17.392795446 0.105904462554 0.207784204463 1.0 0.205125273642 2 0
1061818994789556 47894 1236 24 22.0939916113 22.6834708032 22.0952348002 5.21711029268 12.8454512277 0.668074634554 0.622244057101 -22.7218529856 -24.7265553457 0.112118328293 0.221328909667 1.0 0.218976305088 0 1061818994788271
1061818994786557 90630 1236 24 21.5337069321 21.7868679082 21.4941783391 3.50582049829 5.46950022471 0.724792164913 0.676645920455 -76.0071258546 -76.1046875509 0.105625816556 0.124951833774 0.873799786287 0.124205959673 0 0
1061818994788918 84489 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994786810
1061818994787727 152718 1236 24 23.5193871441 24.0258092461 23.5204047677 3.10290228333 6.01555344222 0.431200978179 0.607483364218 -66.2643049119 -71.8488525471 0.212188943594 0.464276662461 1.0 0.454980374109 0 0
1061818994786898 182159 1236 24 22.3701198324 22.9577805976 22.2412669202 7.18784779048 21.2801963122 0.580303161447 0.524890667229 37.3372117398 37.7592397319 0.115587519281 0.320096269849 0.860225006245 0.318797258346 0 0
1061818994788268 115091 1236 24 22.3811049895 22.6622595409 22.0241759376 5.71959229406 14.5691743655 0.756863553156 0.786495082678 32.4719357489 29.6893231445 0.115901950096 0.233166411284 0.505827991665 0.233490236575 2 0
1061818994789554 115091 1236 24 22.5079448994 22.863422912 22.3110046493 4.68219110573 10.8380193534 0.792972921514 0.782868460036 6.90817421524 -2.23448414374 0.1208348704 0.244826293597 0.691932405161 0.244359289278 0 1061818994788268
1061818994788359 20502 1236 24 21.691811854 22.2284547597 21.5511008801 7.349004394 20.6151363263 0.750378865699 0.700220068289 -13.276608693 -12.0200569191 0.106302583354 0.200777911783 0.833597689072 0.199672292537 0 0
1061818994787915 194071 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
1061818994788808 45080 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994786559
1061818994787321 95027 1236 24 22.2218456726 23.09406443 22.2234216939 7.73382345226 25.7491566787 0.873825403176 0.875117513113 -69.7124596284 -81.5454163495 0.112866190477 0.442508373193 1.0 0.436835282628 0 0
1061818994787378 75802 1236 24 20.1669532591 20.5691818301 20.1670710074 4.0563030118 7.39597726818 0.926881072217 0.913246054759 19.7695280512 11.7054681281 0.102294926003 0.106018495716 0.999102396143 0.105370341523 0 0
1061818994788475 98991 1236 24 22.3512699504 22.5699456589 22.2129124475 3.55908481601 5.9972361843 0.866526462054 0.899844920167 -85.6425359408 -86.2275357989 0.118475555798 0.180747006956 0.638130642831 0.180323181053 0 0
1061818994787798 97690 1236 24 20.6691981985 21.4005430188 20.6710346432 9.41898067422 26.3379296455 0.743173662569 0.773414467439 -47.8036976453 -42.6771155253 0.102916064788 0.142794692478 1.0 0.140607900546 3 0
1061818994789312 97690 1236 24 22.055375281 22.3644013699 22.0212032723 3.57795021244 5.76683372295 0.735726422747 0.780955659168 25.0297288554 25.915815807 0.113122903201 0.158202940462 0.908132477403 0.157175425251 0 1061818994787798
1061818994788523 149409 1236 24 20.3306644845 20.6576474664 20.3311573752 3.41873837927 5.46649885006 0.771102168897 0.762376922463 -86.5449950946 -87.743984209 0.101772025148 0.104778390147 1.0 0.1041976791 2 0
1061818994789661 149409 1236 24 20.3440461153 20.6578313769 20.3425428705 3.41934693714 5.42581828739 0.770259379808 0.741828326692 -86.5170836028 -86.2030216403 0.101786884544 0.104778457956 0.994847378825 0.104200355999 0 1061818994788523
1061818994789021 125858 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994787018
1061818994789234 60707 1236 24 21.4926147285 21.7770258251 21.4901187814 3.39967767761 5.243024737 0.638486081128 0.591658432865 57.964695988 57.6582278832 0.106464900443 0.122736494988 0.990340503305 0.121991329256 0 1061818994787577
1061818994787012 186411 1236 24 20.880942321 21.5860400785 20.8822456193 7.82631910556 21.4680462601 0.792736538407 0.790439022086 -82.9071573484 -79.5814520823 0.102464765858 0.146607184114 1.0 0.144186273006 4 0
1061818994789014 186411 1236 24 21.2232588726 21.8436132956 21.2237993849 5.70260387092 14.2693192529 0.867740677807 0.859636531261 -73.6639747865 -69.8881201373 0.103514772631 0.148589206957 1.0 0.147286270225 0 1061818994787012
1061818994788665 103983 1236 24 20.146120487 20.4499183906 20.1342891796 3.61162560622 5.74058298329 0.728295114859 0.694750833606 88.9344833719 89.6414756162 0.101343596664 0.103563668038 0.969890927364 0.102994721953 0 0
1061818994788528 44593 1236 24 19.8869098729 20.2294704752 19.8871838132 3.16434938138 5.16877048118 0.980627426014 0.967498673138 -4.43372618232 -16.570952642 0.101909720184 0.103501298563 1.0 0.102919594662 2 0
1061818994789663 44593 1236 24 19.8931034063 20.2294819891 19.8932578471 3.1642194513 5.1337268759 0.980640884825 0.96019594515 -4.61361541266 -25.338493068 0.10191300507 0.103501270468 1.0 0.102920452285 0 1061818994788528
1061818994788179 32819 1236 24 22.9912637272 23.2434234173 22.9673538065 3.48101739001 5.50667509606 0.700821139507 0.593740463402 85.5812826926 -89.1080472439 0.152546828296 0.277620383286 0.916636964525 0.276151761163 0 0
