# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 25  72869  230.78 3028.96  -0.21   0.05  20.929  0.018  21.723  20.929  21.065   4.901   0.733 -65.432   6.248   0.608 -64.467  22.039   0.435 -62.405   1.000 0 2 1 
1236 25  21547 1567.70 1390.13  -0.03  -0.09  21.566  0.019  21.698  21.274  21.659   4.279   0.808 -17.284   4.623   0.733 -15.386   9.240   0.690 -15.372   0.342 1061823289754368 0 1 
1236 25 188152 1688.89 2471.11  -0.35  -0.13  21.277  0.018  21.550  20.844  21.519   7.472   0.592  16.511   9.300   0.536  15.999  27.691   0.494  14.304   0.452 1061823289755015 0 1 
1236 25 183653 1630.49  331.75  -0.32   0.54     nan    nan     nan     nan     nan   3.269   0.781  -6.141     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 25  16291  441.83  412.71  -0.01  -0.07  20.771  0.018  20.792  20.208  20.774   5.064   0.931 -45.312   5.902   0.907 -49.335  14.873   0.883 -52.156   0.047 0 0 1 
1236 25 157768  969.31 2471.46   0.05  -0.34  22.660  0.023  22.662  22.268     nan   4.679   0.742 -76.446   5.011   0.605 -76.804  10.483   0.479 -77.914   0.000 0 0 1 
1236 25  70480  338.65 2719.87   0.08  -0.02  21.815  0.019  21.815  21.450  21.790   3.811   0.930 -77.018   3.891   0.857 -79.509   7.247   0.777 -83.616   0.000 0 0 1 
1236 25 170815 1409.64 3935.74  -0.05  -0.10  19.398  0.018  19.602  19.026  19.508   6.092   0.746  43.972   7.557   0.694  46.459  18.893   0.669  47.987   0.392 0 2 1 
1236 25 119078  671.21 3364.16   0.55   0.80  22.113  0.020  22.223  21.673  22.213   5.484   0.652  38.333   6.528   0.538  38.328  16.252   0.469  37.383   0.231 1061823289755525 0 1 
1236 25 187977  546.49 1904.91  -0.08   0.06  21.376  0.018  21.977  21.295  21.909   6.166   0.552 -48.306   8.047   0.415 -54.819  24.934   0.296 -62.898   0.904 0 4 1 
1236 25  52199 1968.33 1775.25   0.10  -0.01  22.491  0.023  22.659  22.306  22.561   4.131   0.711  35.645   4.408   0.544  36.982   8.171   0.446  38.383   0.506 1061823289754600 0 1 
1236 25 192657  828.45 2218.18   0.17   0.11  22.580  0.022  22.580  22.159     nan   4.958   0.662  36.806   5.362   0.544  37.214  11.415   0.461  36.600   0.000 0 0 1 
1236 25 136633 1428.51 2249.80  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 25 160769  562.39   65.86  -0.04  -0.43  22.531  0.022  22.630  22.165  22.564   4.871   0.694 -45.061   5.319   0.586 -45.593  11.542   0.522 -45.847   0.243 0 0 1 
1236 25 186365  597.37 1351.16   0.02   0.03  21.689  0.019  21.713  21.299  21.732   4.171   0.946  25.934   4.314   0.937  20.040   8.468   0.913  19.425   0.067 1061823289754345 0 1 
1236 25  25270 1590.73 4081.04   0.24  -0.47  22.564  0.022  22.568  22.159     nan   6.151   0.523 -59.146   6.990   0.379 -59.176  15.274   0.272 -59.123   0.000 0 0 1 
1236 25  50504 1333.63 3432.64  -0.01   0.03  21.760  0.019  21.907  21.471  21.840   4.015   0.908  12.062   4.189   0.869  14.449   8.446   0.830  14.438   0.364 1061823289755579 0 1 
1236 25   2543  946.41  718.75   0.02  -0.29  22.082  0.020  22.336  21.845  22.334   4.349   0.873  70.116   4.640   0.842  70.484   9.968   0.823  70.880   0.563 0 0 1 
1236 25 111986 1415.70 4057.09  -0.20   0.06  22.451  0.022  22.455  22.075     nan   4.793   0.710 -22.194   5.117   0.584 -22.957  10.430   0.473 -23.918   0.000 0 0 1 
1236 25  28130  203.15 3489.35   0.16  -0.28  22.120  0.020  22.120  21.663  22.110   4.299   0.894  86.809   4.563   0.840  88.731   9.594   0.806  87.885   0.000 0 0 1 
1236 25 140877 1398.88 3262.66   0.60  -0.73  21.890  0.019  22.478  21.681  22.439   5.088   0.786 -42.691   6.051   0.742 -32.938  19.719   0.683 -14.632   0.792 0 2 1 
1236 25  60605  708.50 3703.48  -0.03  -0.20  22.081  0.020  22.092  21.637  22.124   4.564   0.786 -18.242   5.073   0.670 -21.069  11.085   0.580 -22.244   0.024 0 0 1 
1236 25  88240  938.58  413.56  -0.20  -0.61  21.997  0.019  21.997  21.176  21.891   9.384   0.504  82.812  11.843   0.448  82.333  40.885   0.417  81.711   0.000 0 0 1 
1236 25 102516  744.85 3980.96  -0.04  -0.07  22.260  0.021  22.271  21.966  22.211   4.373   0.642 -15.713   4.483   0.479 -16.982   7.474   0.434 -17.944   0.031 0 0 1 
1236 25     58  792.79 2833.67  -0.18  -0.23  21.972  0.020  21.978  21.522  21.941   4.121   0.908  19.260   4.290   0.889  24.711   8.878   0.871  28.889   0.013 0 0 1 
1236 25 125991 1218.36 3128.75   0.04  -0.17  20.179  0.018  20.237  19.688  20.205   6.360   0.634 -43.414   7.816   0.545 -43.612  19.708   0.478 -43.849   0.120 1061823289755399 0 1 
1236 25  23913 1708.60 3846.12  -0.02  -0.09  20.881  0.018  20.885  20.368  20.864   5.726   0.672 -21.859   6.789   0.576 -22.130  16.253   0.511 -22.562   0.000 0 0 1 
1236 25 119440  244.72 3985.70  -0.05  -0.12  22.094  0.020  22.107  21.722  22.049   4.142   0.819 -42.062   4.332   0.721 -43.833   8.199   0.674 -45.163   0.036 0 0 1 
1236 25  41321 1067.55 4061.45   0.09   0.03  21.775  0.019  21.935  21.354  23.708   4.955   0.903  19.402   5.702   0.861  18.432  14.061   0.840  14.339   0.316 0 2 1 
1236 25 183127 1132.09 3661.30   0.03  -0.06  20.655  0.018  20.658  20.228  20.657   5.675   0.614 -56.653   6.595   0.488 -57.275  14.252   0.411 -57.562   0.000 0 0 1 
1236 25  64747  312.21 2484.46   0.02  -0.16  21.024  0.018  21.023  20.371  21.008   5.771   0.803 -63.482   6.971   0.740 -62.605  19.566   0.686 -62.825   0.000 1061823289755022 0 1 
1236 25 129304   42.14  988.68   0.86   0.32  21.964  0.020  22.242  21.643  22.146   5.169   0.736  58.202   6.080   0.661  60.202  15.387   0.629  62.957   0.527 0 0 1 
1236 25 169107 1296.18 3252.03   0.25  -0.50  22.912  0.027  22.915  22.739     nan   3.799   0.783 -47.944   3.508   0.621 -51.939   4.724   0.537 -55.329   0.000 0 0 1 
1236 25 173160 1712.31 2718.77   0.11   0.06  22.084  0.020  22.203  21.771  22.176   5.402   0.577 -22.219   6.128   0.446 -23.463  12.867   0.382 -24.976   0.303 0 2 1 
1236 25 149675  151.79 2717.47   0.05  -0.20  21.992  0.019  21.991  21.338  21.970   4.873   0.922  62.908   5.572   0.894  63.079  15.238   0.866  64.059   0.000 0 0 1 
1236 25  98233 1888.30  781.11   0.09   0.67     nan    nan     nan     nan  22.043   4.176   0.872 -77.626     nan     nan     nan     nan     nan     nan     nan 1061823289753983 0 1 
1236 25 190375  696.00  598.32  -0.03  -0.02  20.234  0.018  20.261  19.861  20.236   5.414   0.606 -66.813   6.297   0.471 -67.112  12.812   0.402 -67.019   0.076 0 0 1 
1236 25 189453 1698.11 1407.26  -0.08  -0.00  20.202  0.018  20.205  19.673  20.191   6.022   0.662 -51.121   7.289   0.574 -51.647  17.881   0.511 -51.970   0.008 0 0 1 
1236 25  91220 1697.11 3440.98  -0.18  -0.10  22.142  0.020  22.145  21.705  22.165   4.579   0.800 -32.636   4.909   0.715 -34.336  10.228   0.658 -36.125   0.000 0 0 1 
1236 25   1485 1229.65 1574.85   0.03   0.01  22.206  0.021  22.213  21.953  22.215   3.588   0.853  -3.295   3.424   0.757  -4.683   5.216   0.698  -2.845   0.026 0 0 1 
1236 25  63827  169.38 3872.51  -0.16  -0.12  22.724  0.024  22.848  22.595     nan   4.924   0.549  71.455   5.128   0.380  71.847   8.074   0.301  72.578   0.503 0 2 1 
1236 25  93111 1993.43 2432.36   0.57  -0.36     nan    nan     nan     nan     nan  11.219   0.345  -6.423     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 25  17185  661.27 2909.14   0.43  -0.45  22.894  0.024  22.896  22.258  22.587   5.906   0.657 -20.439   6.714   0.591 -23.894  18.023   0.572 -26.017   0.000 0 0 1 
1236 25 163562  301.45 1425.70  -0.17  -0.10  20.784  0.018  20.782  20.285  20.779   5.849   0.619  49.906   6.935   0.515  50.317  16.409   0.445  50.616   0.000 0 0 1 
1236 25  19942  140.94   61.62   0.02  -0.04  20.903  0.018  20.905  20.485  20.890   4.366   0.856 -71.205   4.750   0.785 -70.600   9.611   0.733 -69.974   0.010 0 0 1 
1236 25  42435 1641.79 1105.53  -0.07  -0.04  20.011  0.018  20.033  19.687  19.990   4.693   0.690 -77.792   5.188   0.554 -78.462   9.387   0.501 -78.966   0.069 0 3 1 
1236 25 126765 1769.45 1811.09   0.09  -0.01     nan    nan     nan     nan  21.949   4.041   0.876  21.754     nan     nan     nan     nan     nan     nan     nan 1061823289754624 0 1 
1236 25  20250 1144.82 1986.66   0.02  -0.10  22.962  0.026  22.963  22.554  23.050   4.330   0.785 -23.519   4.604   0.647 -23.917   9.710   0.526 -24.315   0.000 0 0 1 
1236 25 136591  572.97 2952.76  -0.12   0.14  21.561  0.019  21.582  21.031  21.547   6.266   0.573 -82.409   7.578   0.456 -82.255  19.113   0.393 -82.197   0.044 1061823289755291 0 1 
1236 25  70791 1478.63 2694.85   0.02  -0.50  22.773  0.025  23.010  22.635  22.907   3.874   0.795  -3.583   3.941   0.677  -2.896   7.282   0.608  -2.486   0.656 0 0 1 
