# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24 152619  728.48  392.40   0.60  -0.87  21.907  0.021  22.027  21.705  21.996   4.200   0.752 -20.044   4.501   0.599 -19.192   7.903   0.509 -19.589   0.392 0 0 1 
1236 24  43892  106.60  262.61  -1.49   0.08  21.748  0.020  21.747  21.068  22.283   6.623   0.644   0.459   8.209   0.550   1.473  24.269   0.491   2.076   0.000 0 2 1 
1236 24  75262  703.90 3231.22  -0.35  -0.29     nan    nan     nan     nan     nan   3.029   0.869 -24.943     nan     nan     nan     nan     nan     nan     nan 0 3 1 
1236 24 165890  647.00 1265.50   0.30   0.05  23.114  0.030  23.114  22.705     nan   3.965   0.791 -88.140   4.040   0.691  89.717   7.788   0.666  85.651   0.000 0 0 1 
1236 24  20502  696.75 2289.30  -0.04  -0.10  21.620  0.020  21.620  21.140  21.628   5.025   0.746  -3.778   5.608   0.658  -4.470  12.584   0.595  -4.980   0.000 0 0 1 
1236 24  67860 1517.05  160.53  -0.14  -0.28  22.289  0.022  22.300  21.990  22.341   3.611   0.945 -72.458   3.364   0.936 -73.434   5.351   0.955 -71.974   0.037 0 0 1 
1236 24   9848 1157.07 1199.63   0.15  -0.04  22.090  0.021  22.228  21.801  22.173   4.024   0.932 -12.308   4.212   0.884 -12.995   8.390   0.840 -16.962   0.357 0 0 1 
1236 24 106406  632.40 2597.03  -0.47  -0.22     nan    nan     nan     nan     nan   3.224   0.943  14.988     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24  12865 1604.04 3595.60  -0.17  -0.37  22.745  0.025  22.744  22.378  22.731   4.336   0.697  53.448   4.670   0.539  52.570   9.035   0.439  52.720   0.000 1061818994788370 0 1 
1236 24  76293  488.24 3622.54  -0.68   0.17  22.701  0.023  22.700  22.127  22.806   5.060   0.841 -35.425   5.587   0.776 -37.740  14.239   0.707 -39.825   0.000 0 0 1 
1236 24 131687 1635.13 3273.74   0.80   0.17     nan    nan     nan     nan     nan   2.982   0.971  50.935     nan     nan     nan     nan     nan     nan     nan 1061818994788195 0 1 
1236 24 128443 1386.82 2443.81  -0.03   0.01  19.837  0.019  20.104  19.471  19.994   5.685   0.852  38.687   7.037   0.850  42.295  18.426   0.857  45.283   0.478 0 3 1 
1236 24 148551 1094.41 3113.77  -0.08  -0.03  21.211  0.020  21.257  20.827  21.223   4.202   0.944 -86.246   4.474   0.912 -89.259   8.970   0.888 -89.325   0.121 0 0 1 
1236 24 108539  596.32  122.51  -0.21  -0.09  22.442  0.022  22.442  22.019     nan   5.255   0.623  81.235   5.968   0.481  80.559  12.911   0.373  80.133   0.000 0 0 1 
1236 24  43939 1027.47 3634.98  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24 171235 1752.69 3797.75   0.01  -0.01  21.673  0.020  21.752  21.142  21.660   5.137   0.832  -0.470   5.959   0.787  -1.001  15.618   0.736  -1.627   0.159 0 0 1 
1236 24 189093  291.62 2974.07  -0.21   0.27  21.925  0.021  21.948  21.447  21.920   5.145   0.764  -8.854   5.767   0.689  -8.095  13.265   0.626  -7.056   0.056 0 0 1 
1236 24  99852  576.41 1020.70  -0.01  -0.03  20.434  0.019  20.498  20.224  20.449   3.559   0.909  89.855   3.448   0.841 -88.438   5.275   0.804 -87.155   0.243 1061818994786913 0 1 
1236 24 150686 1985.71 2423.96  -0.01   0.03  22.146  0.021  22.321  21.854  22.210   4.614   0.707  38.075   5.138   0.586  39.227  11.075   0.529  39.327   0.415 0 0 1 
1236 24 106554 1084.63 2571.32  -0.89  -1.36  22.987  0.026  22.987  22.386  22.920   5.237   0.612  87.279   6.170   0.481  87.119  16.501   0.412  86.469   0.000 1061818994787789 0 1 
1236 24  14426 1875.81  658.85   0.03  -0.22  22.379  0.022  22.436  21.926  22.497   4.746   0.812  12.255   5.086   0.779   8.271  11.348   0.760   3.593   0.134 0 0 1 
1236 24 180472  869.52 3631.34   0.01  -0.03  20.893  0.019  21.038  20.438  20.996   6.031   0.658  22.922   7.452   0.565  22.157  19.823   0.503  20.542   0.285 0 2 1 
1236 24 101578  710.37 2158.94   1.11   0.94  22.104  0.021  22.104  21.558     nan   5.376   0.748  47.682   6.042   0.663  45.656  15.611   0.561  44.581   0.000 0 0 1 
1236 24  89445 1467.05 1517.76  -0.03  -0.09  20.179  0.019  20.179  19.664  20.171   5.286   0.858  68.756   6.138   0.814  69.005  14.190   0.787  69.636   0.000 0 0 1 
1236 24  56863 1398.62 2091.37   0.02  -0.18  22.241  0.022  22.240  21.921  22.222   3.773   0.879  49.383   3.677   0.814  50.312   6.150   0.782  52.333   0.000 0 0 1 
1236 24 194870  401.39  786.05  -0.12   0.00  22.761  0.025  22.761  22.426  22.737   3.904   0.812 -17.842   3.971   0.682 -15.766   7.094   0.595 -14.864   0.000 0 0 1 
1236 24  93374 1942.89 1641.23  -0.03   0.09  20.671  0.019  20.734  20.209  20.696   5.155   0.812  44.206   5.920   0.753  43.598  13.746   0.729  41.491   0.143 0 2 1 
1236 24 188577 1324.50 3145.06   0.07  -0.25  20.984  0.019  20.984  20.412  20.985   5.208   0.917  51.391   6.015   0.889  56.995  14.952   0.866  56.415   0.000 1061818994788113 0 1 
1236 24  28008  664.14 2063.05   0.81  -0.50  22.742  0.025  22.915  22.400  22.552   4.270   0.809  -0.502   4.539   0.768  -4.040   9.983   0.768  -8.932   0.382 0 0 1 
1236 24 185552 1784.47  234.66  -0.11   0.08  20.990  0.019  21.271  20.798  21.205   4.519   0.696  -4.644   4.912   0.539  -4.839  11.198   0.426   1.495   0.630 0 3 1 
1236 24 193532  912.41 3825.32   0.15  -0.10     nan    nan     nan     nan     nan   9.693   0.260  11.087     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 24  32710 1856.96 3706.76   0.26  -0.04  22.303  0.022  22.328  21.989  22.377   5.225   0.554  35.825   5.639   0.402  36.280  10.418   0.331  36.712   0.084 0 0 1 
1236 24  79320  555.88 1241.46  -0.03  -0.28  22.153  0.021  22.505  22.037  22.358   4.108   0.895 -55.663   4.622   0.812 -51.242   9.631   0.775 -53.431   0.781 0 2 1 
1236 24 146620 1822.09 1607.55   0.13  -0.13  21.366  0.020  21.712  21.162  21.559   4.198   0.917 -40.700   4.536   0.844 -40.415  12.201   0.604 -37.352   0.672 0 2 1 
1236 24 104184 1833.86 1859.99  -0.01  -0.15  20.386  0.019  20.403  19.814  20.379   5.955   0.782  81.486   7.206   0.719  82.232  18.732   0.671  83.291   0.036 0 0 1 
1236 24  45673  360.71 1034.59  -0.15  -0.28     nan    nan     nan     nan     nan   3.362   0.763  59.096     nan     nan     nan     nan     nan     nan     nan 1061818994786909 0 1 
1236 24  32932 1984.54 1797.25   0.21  -0.05  22.451  0.023  22.797  22.265  22.535   5.255   0.688  50.584   5.919   0.594  49.954  13.703   0.552  49.661   0.696 0 0 1 
1236 24  74195 1433.66 3376.39  -0.02  -0.03  20.139  0.019  20.170  19.886  20.134   3.696   0.929  -4.267   3.627   0.895  -5.709   5.641   0.879  -8.140   0.116 0 0 1 
1236 24  35536  395.10 2609.39   0.02   0.01  21.556  0.020  21.556  21.235  21.553   4.680   0.623  64.472   5.046   0.458  64.898   9.109   0.376  65.092   0.000 1061818994787811 0 1 
1236 24  15485 1327.55  731.47  -0.03   0.24  22.556  0.024  22.600  22.254  22.602   4.187   0.795  47.569   4.332   0.687  47.240   7.799   0.617  47.982   0.140 0 0 1 
1236 24 129494 1346.13 2462.32   0.33  -0.21  22.629  0.023  22.784  22.138  22.703   4.459   0.971  56.961   5.164   0.883  76.069  14.179   0.802  79.685   0.291 0 0 1 
1236 24 112612 1085.95 1531.70  -0.16  -0.14  22.166  0.021  22.221  21.792  22.241   5.224   0.609  17.897   5.949   0.465  17.831  12.646   0.385  17.431   0.148 0 0 1 
1236 24  75672 1334.46 1662.10  -0.05   0.08  21.812  0.020  21.852  21.184  21.894   7.025   0.562  19.857   8.566   0.482  19.823  24.612   0.434  19.223   0.078 1061818994787278 0 1 
1236 24  79115 1346.90 3331.30   0.12  -0.06     nan    nan     nan     nan     nan   3.136   0.883  89.542     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24  62007   82.19  520.57  -0.03   0.15  21.590  0.020  22.073  21.428  21.677   4.772   0.873 -88.937   5.765   0.818  87.890  15.231   0.789  89.819   0.795 0 0 1 
1236 24 137828   70.94 2750.93   0.24   0.26  22.682  0.024  22.774  22.370  22.695   4.834   0.627  80.566   5.258   0.484  79.545  10.397   0.429  78.215   0.255 0 0 1 
1236 24 134358  277.20 1058.59   0.17  -0.36  21.338  0.020  21.471  21.069  21.408   4.261   0.852 -37.347   4.573   0.772 -37.308   8.870   0.721 -38.320   0.358 1061818994786933 0 1 
1236 24  29004  354.54  771.87   0.62   0.45  19.511  0.019  19.581  19.191  19.535   4.277   0.943 -20.669   4.672   0.913 -22.603   8.788   0.893 -22.320   0.194 0 0 1 
1236 24 149363  503.54   53.95   0.19   0.12  22.366  0.022  22.365  22.014     nan   4.427   0.804  24.246   4.632   0.694  22.027   8.850   0.591  20.281   0.000 0 0 1 
1236 24 185179  602.57  736.64   0.12  -0.17  21.611  0.020  21.726  21.224  21.650   4.929   0.754  83.641   5.571   0.674  84.566  12.558   0.633  86.123   0.263 0 0 1 
# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 25 152619  728.48  392.40   0.60   0.00  22.879  0.025  22.879  22.421     nan   5.332   0.529 -11.280   5.923   0.390 -13.717  12.917   0.336 -16.306   0.000 1061823289753808 0 1 
1236 25  43892  106.60  262.61   0.20   0.06  22.020  0.020  22.092  21.540  22.086   4.624   0.846  14.033   5.264   0.784  11.717  12.676   0.743   9.621   0.161 0 0 1 
1236 25  75262  703.90 3231.22  -0.15   0.07  22.188  0.020  22.276  21.698  22.225   5.524   0.626 -19.593   6.460   0.521 -19.641  16.529   0.459 -19.930   0.180 0 0 1 
1236 25 165890  647.00 1265.50  -0.55   0.00  23.151  0.030  23.151  22.797     nan   3.767   0.877  55.582   3.657   0.803  54.037   6.641   0.735  49.763   0.000 0 0 1 
1236 25  20502  696.75 2289.30   0.02  -0.04  21.563  0.019  21.581  21.065  21.580   4.946   0.765  -7.487   5.660   0.683  -6.378  13.252   0.623  -6.569   0.041 0 0 1 
1236 25  67860 1517.05  160.53   0.11   0.28  22.178  0.021  22.207  21.833  22.147   3.945   0.885 -72.630   4.055   0.808 -77.556   7.470   0.770 -79.970   0.089 0 0 1 
1236 25   9848 1157.07 1199.63  -0.03  -0.11  22.168  0.020  22.206  21.824  22.174   3.946   0.928 -26.239   3.994   0.891 -26.558   7.444   0.851 -23.614   0.108 0 0 1 
1236 25 106406  632.40 2597.03  -0.16  -1.23  23.072  0.026  23.073  22.387     nan   5.688   0.663  16.502   6.610   0.590  19.237  18.971   0.558  22.055   0.000 0 0 1 
1236 25  12865 1604.04 3595.60   0.12   0.09  22.615  0.023  22.679  22.278  22.640   4.354   0.714  49.111   4.796   0.562  48.429   9.758   0.458  47.188   0.172 0 0 1 
1236 25  76293  488.24 3622.54   0.01   0.06     nan    nan     nan     nan     nan   3.158   0.904 -28.541     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 25 131687 1635.13 3273.74   0.24   0.20  23.287  0.033  23.290  22.933     nan   3.811   0.826  16.774   3.814   0.703  14.579   7.369   0.567  11.835   0.000 0 0 1 
1236 25 128443 1386.82 2443.81  -0.02  -0.12  20.186  0.018  20.187  19.611  20.175   5.614   0.847  33.512   6.681   0.807  35.096  16.818   0.780  36.434   0.000 0 0 1 
1236 25 148551 1094.41 3113.77   0.01   0.04  21.192  0.018  21.247  20.798  21.220   4.237   0.970  69.151   4.535   0.947  76.392   9.255   0.942  81.558   0.135 0 0 1 
1236 25 108539  596.32  122.51  -0.17  -0.16  22.247  0.021  22.250  21.770  22.236   5.210   0.669 -83.525   5.837   0.558 -84.509  13.094   0.495 -85.526   0.008 0 0 1 
1236 25  43939 1027.47 3634.98  -0.37  -0.66  22.580  0.022  22.583  22.078  22.620   4.483   0.901 -86.390   4.866   0.843 -78.700  11.141   0.785 -77.212   0.000 1061823289755689 0 1 
1236 25 171235 1752.69 3797.75  -0.07  -0.01  21.910  0.020  21.913  21.422  22.554   4.830   0.799  -5.373   5.307   0.736  -8.382  12.010   0.676 -11.231   0.000 0 0 1 
1236 25 189093  291.62 2974.07   0.07  -0.48  23.056  0.030  23.069  22.875  23.038   3.323   0.729 -13.100   2.966   0.507 -14.457   4.006   0.435 -14.086   0.071 1061823289755370 0 1 
1236 25  99852  576.41 1020.70  -0.04  -0.04  20.509  0.018  20.512  20.251  20.491   3.513   0.930 -87.832   3.364   0.864 -86.321   5.035   0.835 -84.764   0.015 0 0 1 
1236 25 150686 1985.71 2423.96   0.06   0.11  22.299  0.021  22.300  21.918  22.327   4.542   0.673  33.524   4.782   0.541  32.919   9.291   0.475  31.546   0.000 1061823289754998 0 1 
1236 25 106554 1084.63 2571.32   0.19  -0.61  22.857  0.024  22.859  22.347  23.487   5.833   0.623 -87.449   6.639   0.490 -87.270  16.095   0.411 -85.738   0.000 1061823289755077 0 1 
1236 25  14426 1875.81  658.85  -0.23  -0.15  22.219  0.020  22.292  21.645  22.156   5.131   0.799  10.323   5.995   0.731  12.394  16.420   0.677  12.115   0.146 0 0 1 
1236 25 180472  869.52 3631.34   0.75   0.71  21.035  0.018  21.037  20.524  21.029   5.829   0.630  27.826   6.933   0.521  28.067  16.842   0.442  28.144   0.000 0 0 1 
1236 25 101578  710.37 2158.94   0.06   0.14  22.235  0.021  22.351  21.938  22.376   4.327   0.814 -58.870   4.614   0.722 -61.193   9.042   0.678 -61.441   0.309 0 0 1 
1236 25  89445 1467.05 1517.76  -0.04  -0.06  20.197  0.018  20.197  19.685  20.181   5.142   0.878  66.099   6.008   0.825  66.698  13.921   0.794  66.746   0.000 1061823289754421 0 1 
1236 25  56863 1398.62 2091.37  -0.17  -0.10  22.270  0.021  22.282  21.991  22.260   3.526   0.907  42.373   3.304   0.857  46.887   5.121   0.860  50.651   0.038 0 0 1 
1236 25 194870  401.39  786.05  -0.30  -0.07  22.421  0.021  22.420  21.780  22.232   5.275   0.768  -1.162   5.934   0.734  -3.592  15.886   0.716  -6.460   0.000 0 0 1 
1236 25  93374 1942.89 1641.23  -0.03  -0.01  20.461  0.018  20.684  20.091  20.604   5.429   0.787  35.927   6.505   0.718  37.127  16.057   0.729  39.966   0.430 0 2 1 
1236 25 188577 1324.50 3145.06   0.03  -0.07  20.952  0.018  21.019  20.444  20.987   5.239   0.856  67.484   6.131   0.807  71.092  15.399   0.763  73.127   0.136 0 0 1 
1236 25  28008  664.14 2063.05  -0.57  -0.10  22.923  0.026  22.944  22.549  22.935   4.033   0.865   9.797   3.949   0.850   8.063   7.237   0.871   2.592   0.062 0 0 1 
