# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 59   2817  710.48 3968.68   0.45   0.33     nan    nan     nan     nan     nan   3.033   0.880  45.086     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 59   1070 1383.58 2665.79  -0.46  -1.46  22.523  0.031  22.677  22.324  22.633   3.822   0.845  60.953   3.786   0.771  64.207   6.534   0.761  75.761   0.462 0 0 1 
1236 59    979 1297.56  742.58  -0.10  -0.23  22.659  0.031  23.043  22.648  22.755   3.328   0.848 -74.016   3.134   0.797 -72.253   5.351   0.884 -56.285   0.977 0 0 1 
1236 59   4148  865.62 1864.92  -0.10  -0.18  22.678  0.032  22.951  22.659  22.751   3.198   0.870  54.009   2.931   0.780  48.242   4.253   0.844  41.197   0.940 1061969318642833 0 1 
1236 59   3423  286.59 3127.69  -0.44   0.36     nan    nan     nan     nan     nan   9.725   0.408  42.785     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 59   4402  220.47 3772.64  -0.56  -0.14  22.701  0.032  23.232  22.618  22.755   5.511   0.731 -19.772   6.286   0.677 -17.812  15.782   0.664 -17.996   0.891 0 0 1 
1236 59   4203 1732.91 2899.03   0.11  -0.05  21.296  0.028  21.784  21.225  21.541   5.235   0.737  21.201   6.083   0.719  18.705  14.128   0.721  16.913   0.893 1061969318643433 0 1 
1236 59   1403  933.55 1861.70   0.05  -0.05  20.209  0.028  20.727  20.191  20.508   4.271   0.982 -49.645   5.213   0.971 -53.599  11.732   0.952 -49.909   0.972 1061969318642800 0 1 
1236 59   2809  404.96 3737.61  -0.04  -0.16  22.620  0.032  22.873  22.566  22.695   3.356   0.886  51.159   3.216   0.771  48.555   5.250   0.694  51.890   0.839 0 0 1 
1236 59   2323  136.61 1280.62  -0.14  -0.07  22.326  0.030  22.583  22.327  22.432   3.005   0.929 -46.040   2.663   0.857 -43.837   3.879   0.790 -51.511   1.000 1061969318642432 0 1 
1236 59   3762 1479.60 1345.86   0.03  -0.15  20.898  0.028  21.284  20.898  21.066   3.398   0.972  49.453   3.517   0.962  37.957   6.147   0.975  12.342   1.000 1061969318642469 0 1 
1236 59   2965  597.72 3147.24  -0.16   0.08  21.333  0.028  21.831  21.333  21.651   8.331   0.428  68.333   9.031   0.408  68.696  18.973   0.413  69.246   1.000 0 2 1 
1236 59   2873  685.42  466.85   0.04  -0.18  22.916  0.034  23.094  22.845  22.911   2.993   0.931  34.697   2.585   0.852  30.461   3.778   0.770  19.980   0.724 0 0 1 
1236 59   4155  403.61 1119.32  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 59    815 1624.04 1609.93  -0.03  -0.11  19.982  0.028  20.292  19.982  20.070   3.014   0.973  76.225   2.857   0.968  78.729   4.399   0.952 -81.206   1.000 0 3 1 
1236 59   3176  377.44 2158.47  -0.00  -0.24  22.017  0.029  22.331  22.004  22.171   3.293   0.918  63.030   3.221   0.854  58.984   5.140   0.864  51.003   0.961 0 0 1 
1236 59   4970 1185.81 1234.36  -0.19  -0.26  23.741  0.050  23.912  23.722  23.457   3.175   0.679 -85.737   2.844   0.369 -85.347   3.571   0.371 -85.126   0.898 1061969318642399 0 1 
1236 59   2371  161.59  317.75  -1.11  -0.23  23.247  0.037  23.719  23.216  23.463   5.691   0.601  40.625   5.756   0.544  39.682  12.821   0.488  35.509   0.949 0 0 1 
1236 59   3780  571.39 3240.51  -0.17  -0.36  23.635  0.051  23.636  23.626  23.603   2.267   0.829  83.260   1.177   0.264  84.848   0.822   0.278  84.776   0.072 1061969318643727 0 1 
1236 59    178 1454.87 1049.42  -0.04  -0.08  20.788  0.028  21.046  20.786  20.874   2.963   0.989  58.325   2.693   0.969   6.739   3.870   0.930  -8.186   0.989 0 0 1 
1236 59    337 2007.96  988.01   0.04  -0.01  20.830  0.028  21.260  20.830  21.044   3.653   0.964  66.959   4.032   0.953  52.036   7.629   0.957  40.863   1.000 0 0 1 
1236 59   1000 1903.56   23.41   0.44  -0.41  22.572  0.031  22.798  22.398  22.834   3.967   0.861  10.171   4.176   0.748  11.621   8.079   0.674  12.387   0.599 0 0 1 
1236 59   4293  423.33 2255.39   0.02   0.10  21.712  0.029  22.049  21.636  21.838   3.692   0.912 -13.146   3.996   0.814  -8.663   7.786   0.742  -5.211   0.834 1061969318643035 0 1 
1236 59   1334  931.44  820.74  -0.00  -0.07  20.365  0.028  20.823  20.365  20.602   3.598   0.960  71.868   3.963   0.934  62.323   7.871   0.910  49.341   1.000 0 3 1 
1236 59   3293 1892.52  544.71   0.46  -0.17     nan    nan     nan     nan     nan   3.097   0.812  20.103     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 59   3955  973.37 3190.15  -0.04  -0.09  20.284  0.028  20.783  20.253  20.574   4.302   0.985  15.987   5.226   0.971  28.747  11.536   0.978   8.566   0.950 1061969318643614 0 1 
1236 59   1792  910.13 2224.75   0.42   0.08  22.316  0.030  22.615  22.194  22.415   3.523   0.924 -60.695   3.439   0.893 -42.543   6.692   0.842 -24.347   0.737 1061969318642955 0 1 
1236 59   3768  589.26 1526.20   0.04  -0.01  20.725  0.028  21.130  20.725  20.891   3.484   0.969 -63.501   3.702   0.968 -64.292   6.773   0.951 -66.383   1.000 0 2 1 
1236 59    776 1126.39 1352.96   0.12   0.46  23.846  0.051  23.846  23.506  23.866   3.431   0.923 -49.323   3.212   0.837 -33.830   5.842   0.710 -23.583   0.000 0 0 1 
1236 59   3043  790.07 3948.70  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 59   4192  741.69 3491.53  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 59   3868 1649.02 1793.19  -0.17   0.01  20.902  0.028  21.461  20.903  21.214   4.349   0.952 -27.527   5.362   0.960 -38.482  12.164   0.979 -42.428   1.000 1061969318642757 0 1 
