# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 57   3479 1690.75 2438.70   0.20   0.01  22.398  0.019  22.417  21.984  22.363   4.014   0.890  75.103   4.167   0.846  76.881   8.435   0.804  77.843   0.051 0 0 1 
1236 57   4162 1776.55  691.80   0.01  -0.12  20.652  0.016  20.769  20.328  20.735   4.131   0.985 -79.419   4.461   0.982 -80.340   8.984   0.973 -72.561   0.292 1061960728707522 0 1 
1236 57   3195  263.64 3753.61   1.38  -0.23  22.476  0.020  23.053  22.461  22.481   3.778   0.844  72.620   4.095   0.765  65.777  10.152   0.718  52.364   0.979 1061960728709513 0 1 
1236 57   1372 1189.38  819.65  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 57   3627 1712.89   63.58  -0.09  -0.03  21.549  0.017  21.707  21.097  21.686   5.189   0.929  46.108   5.971   0.927  59.078  15.316   0.914  78.397   0.306 1061960728707127 0 1 
1236 57     15  388.59  777.03  -0.03   0.02  20.881  0.016  21.009  20.568  20.963   4.334   0.942 -84.423   4.739   0.921 -74.998   9.639   0.900 -67.539   0.319 0 0 1 
1236 57   2476  910.88 3509.15   0.28  -0.06  22.436  0.020  22.435  22.119     nan   3.655   0.890  45.778   3.515   0.847  43.910   5.875   0.820  44.382   0.000 0 0 1 
1236 57   3375 1725.90 2680.94   0.00  -0.11  20.526  0.016  20.693  20.234  20.626   4.316   0.963 -76.719   4.764   0.956 -74.835   9.801   0.956 -67.232   0.397 0 0 1 
1236 57   4347 1677.83 3582.82   0.25  -0.53  22.926  0.023  22.926  22.507     nan   4.047   0.854 -10.820   4.290   0.767 -15.850   8.887   0.687 -21.847   0.000 1061960728709325 0 1 
1236 57   1851  848.38 2429.20   0.03  -0.01  21.132  0.016  21.132  20.615  21.109   4.724   0.939  -6.731   5.308   0.916 -11.387  12.193   0.893 -15.713   0.000 0 0 1 
1236 57   1126 1650.12  532.72  -0.01  -0.09  20.741  0.016  20.828  20.433  20.783   3.866   0.986  70.375   3.979   0.994 -75.207   7.506   0.972 -52.260   0.240 0 0 1 
