# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24   3479 1690.75 2438.70  -0.03   0.11  22.391  0.023  22.417  22.019  22.432   4.086   0.917  15.574   4.085   0.911  20.860   7.663   0.907  30.511   0.076 0 0 1 
1236 24   4162 1776.55  691.80   0.05  -0.06  20.619  0.019  20.761  20.361  20.715   4.191   0.974  20.163   4.448   0.960  16.026   8.381   0.950   6.629   0.383 0 0 1 
1236 24   3195  263.64 3753.61  -0.60   0.56  22.684  0.023  22.801  22.198  22.583   4.623   0.974   7.832   5.075   0.959 -60.587  13.322   0.869 -73.637   0.234 1061818994788460 0 1 
1236 24   1372 1189.38  819.65  -0.34   0.13  22.793  0.024  22.793  22.099  24.108   5.558   0.836  50.173   6.320   0.851  52.460  17.886   0.846  57.167   0.000 0 0 1 
1236 24   3627 1712.89   63.58  -0.06  -0.07  21.837  0.020  21.893  21.365  21.884   4.740   0.881 -71.221   5.217   0.863 -71.001  11.854   0.860 -72.330   0.126 0 0 1 
1236 24     15  388.59  777.03  -0.09   0.03  20.865  0.019  21.004  20.566  20.950   4.300   0.948   5.806   4.655   0.932  12.856   9.337   0.920  14.647   0.347 1061818994786766 0 1 
1236 24   2476  910.88 3509.15  -0.09  -0.22  22.344  0.022  22.343  22.016  22.350   3.865   0.847  -8.488   3.821   0.752  -7.651   6.628   0.693  -3.620   0.000 0 0 1 
1236 24   3375 1725.90 2680.94  -0.12  -0.15  20.486  0.019  20.668  20.220  20.624   4.682   0.883  54.557   5.233   0.840  54.707  10.695   0.825  53.725   0.438 0 0 1 
1236 24   4347 1677.83 3582.82   1.05  -0.88     nan    nan     nan     nan     nan   3.319   0.863 -54.571     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24   1851  848.38 2429.20   0.02   0.12  21.085  0.020  21.084  20.572  21.094   4.765   0.970 -34.586   5.306   0.944 -39.542  12.241   0.911 -40.186   0.000 0 0 1 
1236 24   1126 1650.12  532.72   0.01   0.03  20.772  0.019  20.785  20.404  20.766   3.985   0.991  48.859   4.074   0.985  52.719   7.483   0.982  85.701   0.039 0 0 1 
1236 24   4238 1979.49 1901.23  -0.02  -0.01  20.629  0.020  20.739  20.306  20.684   4.325   0.977  31.215   4.662   0.967  44.438   9.266   0.968  51.031   0.282 0 0 1 
1236 24   2530  400.92 2150.35   0.03  -0.03  20.026  0.019  20.153  19.756  20.100   4.175   0.983  15.789   4.486   0.982   7.046   8.432   0.975  -5.904   0.344 0 0 1 
1236 24   4232  501.66 3439.54   0.00  -0.04  22.202  0.021  22.214  21.841  22.192   3.910   0.929  44.028   3.935   0.893  48.989   7.248   0.856  55.625   0.039 1061818994788267 0 1 
1236 24   1479 1377.27 1028.13  -0.18  -0.45  20.439  0.019  20.475  19.955  20.444   5.297   0.807 -70.066   6.104   0.758 -69.311  14.316   0.715 -67.979   0.082 0 2 1 
1236 24   3393 2015.14 1278.94  -0.14   0.06  20.422  0.019  20.480  20.187  20.434   3.593   0.987  26.043   3.430   0.992   9.518   5.367   0.985 -40.241   0.208 0 0 1 
1236 24   1480  496.57 2364.95  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24   3768   50.20  736.41   0.19  -0.32  22.858  0.026  22.857  22.559     nan   4.139   0.774  16.238   4.142   0.662  15.673   7.084   0.586  17.090   0.000 1061818994786746 0 1 
1236 24   2929 1172.31 3410.18  -0.01  -0.03  20.320  0.019  20.346  20.048  20.312   3.643   0.980  31.312   3.553   0.973  38.023   5.595   0.982  43.565   0.091 0 0 1 
1236 24    344 1977.88 1007.12  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24    921 1010.95 1923.29  -0.02   0.17  22.338  0.022  22.379  21.899  22.279   4.165   0.943 -28.748   4.381   0.918 -32.087   9.401   0.893 -34.001   0.102 0 0 1 
1236 24   4410 1893.60 2889.27  -0.05   0.00  21.419  0.020  21.560  21.146  21.514   4.109   0.953  86.686   4.316   0.936 -88.109   8.243   0.942 -79.143   0.371 0 0 1 
1236 24   1366  438.25  113.04   0.02  -0.06  21.345  0.019  21.345  20.825  21.381   4.683   0.962 -61.762   5.186   0.951 -70.423  11.883   0.932 -74.682   0.000 0 0 1 
1236 24   1688  206.59 2136.36  -0.07  -0.18  22.265  0.022  22.282  21.788  22.286   4.521   0.927  -8.070   4.791   0.910  -7.750  10.447   0.901  -9.830   0.043 0 0 1 
1236 24   2408  480.31 2182.46  -0.59  -0.53  22.386  0.022  22.726  22.140     nan   4.862   0.838  65.009   5.495   0.766  67.247  13.560   0.731  68.543   0.637 0 0 1 
1236 24    588 1114.64  329.00   0.17   0.41  23.167  0.029  23.167  22.539     nan   4.877   0.838 -22.386   5.316   0.768 -19.526  14.239   0.736 -18.253   0.000 0 0 1 
1236 24   2609  395.45 3952.10  -0.46  -0.19  23.051  0.028  23.050  22.699  23.077   4.000   0.908  89.794   3.863   0.890 -75.180   6.878   0.856 -46.619   0.000 1061818994788585 0 1 
1236 24   2916  700.95 3302.13  -0.03   0.07  20.256  0.019  20.345  19.843  20.315   4.832   0.944 -33.574   5.539   0.921 -37.058  12.447   0.898 -37.973   0.205 0 0 1 
1236 24   3880 1082.75 2697.86  -0.09   0.04  20.565  0.019  20.657  20.148  20.615   4.716   0.964  -2.560   5.304   0.966   2.534  11.861   0.963   2.010   0.209 0 2 1 
1236 24    464   83.33 3944.75  -0.34   0.19  24.489  0.094  24.487  24.489  24.506   1.890   0.965   7.981   0.304   0.352 -40.842   0.182   0.160 -38.388   1.000 1061818994788602 0 0 
1236 24   4241 1982.00 4058.47   0.03   0.36  22.667  0.024  22.666  22.156  22.591   4.519   0.898  74.736   4.858   0.843  73.836  11.236   0.782  75.278   0.000 1061818994788627 0 1 
1236 24   2586 1089.77  458.85   0.07  -0.21  20.114  0.019  20.114  19.589  20.102   4.960   0.958 -61.907   5.646   0.960 -56.298  13.075   0.947 -53.204   0.000 1061818994786578 0 1 
1236 24   4200   30.29 1438.15  -0.29  -0.15  22.668  0.023  22.667  21.949     nan   5.779   0.774  22.129   6.571   0.764  21.698  19.022   0.769  19.698   0.000 0 0 1 
1236 24   4281   52.02 3833.05   0.03  -0.06  21.163  0.020  21.236  20.781  21.201   4.376   0.959 -23.402   4.752   0.937 -31.234   9.922   0.911 -33.955   0.183 0 0 1 
1236 24   3170 1848.27 2633.47  -0.01  -0.02  21.216  0.020  21.215  20.754  21.198   4.354   0.977  24.814   4.586   0.974  28.193   9.522   0.983  24.543   0.000 1061818994787829 0 1 
1236 24   1054 1811.60 2544.12   0.22  -0.01  22.294  0.022  22.354  21.922     nan   4.228   0.928 -85.146   4.382   0.892 -86.791   8.767   0.866 -88.967   0.160 0 0 1 
1236 24   1098 1698.93 1589.95  -0.03   0.10  21.855  0.020  21.855  21.352  21.890   4.554   0.940  -0.968   4.932   0.913  -0.793  10.993   0.894   0.765   0.000 0 0 1 
