# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 66   3146  392.26  224.88   0.06  -0.03  21.525  0.023  21.668  21.291  21.606   3.716   0.995  36.531   3.753   0.993  31.890   6.747   0.994  14.139   0.407 0 0 1 
1236 66   4891 1854.28 1973.04  -1.05   1.17  23.840  0.048  23.839  23.490     nan   4.182   0.619 -57.583   4.291   0.394 -59.057   7.819   0.349 -60.320   0.000 0 0 1 
1236 66   1727  420.46 4072.35   0.37  -0.04  22.573  0.027  22.876  22.505  22.816   3.387   0.889 -63.707   3.401   0.797 -58.029   6.245   0.710 -58.911   0.834 0 0 1 
1236 66   2994  973.08 1316.30   0.06  -0.02  19.649  0.023  20.147  19.567  19.965   4.852   0.957  -0.701   6.180   0.957   2.308  14.741   0.960  -5.555   0.879 1061999383413556 0 1 
1236 66   2492  165.64  650.05  -0.00  -0.04  19.264  0.023  19.726  19.174  19.588   4.164   0.988  82.397   4.839   0.985  86.725  11.688   0.876 -32.315   0.859 0 2 1 
1236 66   1688  150.48  134.38   0.01  -0.17  21.662  0.024  21.877  21.503  21.775   3.659   0.940  33.123   3.770   0.878  29.008   6.875   0.825  26.577   0.602 0 0 1 
1236 66   1132 1210.00 3014.59   0.06  -0.07  20.146  0.023  20.482  20.011  20.342   4.088   0.996  68.045   4.690   0.986  47.444   9.664   0.987  23.999   0.740 0 0 1 
1236 66   4691  656.83 2940.63  -0.02  -0.09  19.638  0.023  20.256  19.586  20.102   4.628   0.965  28.320   5.723   0.929  31.438  15.911   0.850 -15.363   0.936 0 3 1 
1236 66   3830  722.97 3509.99   0.04  -0.08  21.767  0.024  21.767  21.279  21.775   4.541   0.889  17.341   5.005   0.827  15.936  11.142   0.784  14.891   0.000 0 0 1 
1236 66   3330  894.47 2349.88   0.34  -0.13  21.206  0.023  21.448  21.133  21.313   3.676   0.778  58.341   3.780   0.661  59.420   6.021   0.658  60.759   0.782 1061999383414314 0 1 
1236 66   2780 1849.15 1472.53  -0.06   0.03  21.041  0.023  21.339  20.953  21.189   3.625   0.960  78.699   3.777   0.957  85.119   6.764   0.957 -77.085   0.792 0 0 1 
1236 66    120 1814.76 1046.75   0.07  -0.12  21.211  0.023  21.597  20.987  21.505   4.960   0.956 -29.113   5.879   0.952 -32.336  15.095   0.913 -36.065   0.685 1061999383413374 0 1 
1236 66   3573  297.91 3313.61  -0.07   0.04  20.928  0.023  21.272  20.544  21.113   5.648   0.894  70.418   6.874   0.871  68.464  20.137   0.867  69.666   0.548 1061999383414941 0 1 
1236 66   4722  358.77 3542.67   0.03  -0.07  21.306  0.023  21.703  21.239  21.494   3.723   0.976  -9.676   4.083   0.970 -29.545   8.289   0.958 -44.030   0.873 0 0 1 
1236 66   4800 1955.10 2973.29  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 66    923 1794.38   98.51   0.03  -0.20  20.235  0.023  20.676  20.178  20.488   4.300   0.948 -76.126   5.113   0.936 -75.129  10.880   0.931 -68.101   0.900 1061999383412788 0 1 
1236 66    872 1861.90 2039.07   0.46  -0.36  23.799  0.051  23.990  23.800  23.766   3.085   0.824 -28.393   2.782   0.577 -34.345   3.753   0.429 -39.831   1.000 0 0 1 
1236 66   4003  623.59 3091.73  -0.04  -0.32  21.293  0.023  21.863  21.168  21.664   5.050   0.915  33.334   6.243   0.875  34.097  17.596   0.843  33.088   0.857 0 0 1 
1236 66    582 1775.26  926.66  -0.08  -0.22  21.027  0.023  21.091  20.628  21.101   4.572   0.885  47.983   5.048   0.849  45.099  10.643   0.834  42.884   0.157 0 0 1 
1236 66   2107  377.14 2652.09   0.04  -0.07  19.436  0.023  19.627  19.084  19.563   4.980   0.997  64.842   6.004   0.996  -0.932  14.201   0.984 -20.251   0.393 0 0 1 
1236 66   2391  881.28 1040.03   0.05  -0.08  19.937  0.023  19.968  19.567  19.937   4.145   0.990  -4.017   4.501   0.970 -12.128   8.647   0.957 -13.454   0.086 0 0 1 
1236 66   3962  324.37  615.11   0.12  -0.13  21.768  0.024  21.992  21.680  21.837   3.184   0.956 -71.414   3.017   0.903 -62.102   4.831   0.873 -55.947   0.734 0 0 1 
1236 66   2867  798.88 1506.73   0.02  -0.06  19.483  0.023  19.796  19.474  19.618   3.222   0.976  57.802   3.301   0.964  54.303   5.126   0.978  42.745   0.974 0 0 1 
1236 66   2335  817.32 3186.97  -0.50  -1.08  22.716  0.027  23.166  22.646     nan   4.797   0.788  59.963   5.135   0.710  54.129  11.800   0.634  49.270   0.887 0 0 1 
1236 66    445 1950.81 1564.05   0.10   0.06  19.724  0.023  20.185  19.601  20.036   4.948   0.977  84.258   6.382   0.950 -85.370  15.495   0.944 -76.326   0.819 0 2 1 
1236 66   2176 1694.55 2569.95   0.65  -0.60     nan    nan     nan     nan     nan   3.208   0.950  52.413     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 66   2842 1373.58 1063.51  -0.08  -0.29  22.012  0.024  22.413  21.880  22.253   4.035   0.970 -55.103   4.416   0.986   8.174  10.151   0.936  15.799   0.787 0 0 1 
1236 66   2078  684.84 3035.06   0.04  -0.03  21.677  0.024  21.945  21.534  21.821   3.762   0.891 -20.865   4.042   0.817 -24.553   7.769   0.775 -25.463   0.682 1061999383414781 0 1 
1236 66   1931 1704.80 1473.83   0.03  -0.30  23.258  0.035  23.433  23.143  23.366   3.481   0.868  10.853   3.314   0.752   7.352   5.217   0.696   5.331   0.624 0 0 1 
1236 66   2756  106.21  512.79  -0.06  -0.20  20.807  0.023  21.144  20.645  21.033   4.286   0.959  37.398   4.871   0.955  27.809  10.396   0.973  17.356   0.711 1061999383413056 0 1 
1236 66   2995  393.11 2980.89   0.38   0.03  21.291  0.023  21.580  21.042  21.436   4.358   0.907  25.400   5.029   0.867  28.367  11.659   0.839  28.140   0.586 0 0 1 
1236 66   4887 1600.95 3519.43  -0.06   0.06  21.860  0.024  22.258  21.860  21.962   3.614   0.855  68.995   3.815   0.781  71.444   6.881   0.786  69.224   1.000 1061999383415073 0 1 
