# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 43 163818   59.04 2850.65  -0.01  -0.15  19.590  0.020  19.713  19.233  19.667   5.202   0.815 -81.987   6.188   0.756 -81.207  13.604   0.720 -80.042   0.286 0 0 1 
1236 43 164323 1564.00  679.70  -0.36   0.07  20.710  0.020  20.929  20.187  20.880   8.881   0.473 -63.501  11.490   0.406 -63.181  36.280   0.364 -63.156   0.361 1061900599165241 0 1 
1236 43   3052 1123.24  746.79  -0.00  -0.14  19.579  0.020  19.692  19.162  19.650   6.134   0.683 -65.395   7.545   0.605 -64.913  18.347   0.545 -64.274   0.245 0 0 1 
1236 43 123946 1225.05 1495.46  -0.06  -0.09  20.232  0.021  20.294  19.732  20.263   5.379   0.826 -79.030   6.353   0.779 -77.781  15.711   0.739 -76.427   0.132 1061900599165653 0 1 
1236 43 158210 1426.21 2190.78  -0.00  -0.10  18.890  0.021  19.158  18.613  19.097   5.574   0.758   4.025   6.810   0.685   2.697  16.702   0.612  -3.669   0.534 0 2 1 
1236 43 150241 1742.29 1634.43   0.03  -0.33  19.259  0.021  19.339  18.825  19.316   5.924   0.752  83.785   7.201   0.698  84.858  16.843   0.660  85.857   0.179 0 0 1 
1236 43  60964  696.41 2471.92  -0.11   0.03  20.447  0.021  20.447  19.652  20.457   9.419   0.526  -3.028  12.308   0.460  -3.082  42.448   0.400  -3.037   0.000 0 0 1 
1236 43  31922  626.55 3546.47  -0.20  -0.06  20.390  0.021  20.471  19.752  20.429   8.986   0.468  21.040  11.720   0.392  20.706  37.186   0.332  20.350   0.146 0 2 1 
1236 43 106613  850.52 3484.92   0.39   0.31  21.871  0.021  21.871  21.107  21.925   7.937   0.538  36.467  10.021   0.459  35.959  32.514   0.411  35.705   0.000 0 0 1 
1236 43 192864 1508.61 1482.20  -0.03  -0.10     nan    nan     nan     nan  19.550   4.993   0.834  79.791     nan     nan     nan     nan     nan     nan     nan 1061900599165710 0 1 
1236 43  11424  868.07 2666.97  -0.78  -0.61  21.802  0.022  21.964  21.196  21.956   6.685   0.642 -74.411   8.261   0.589 -75.351  25.788   0.571 -76.347   0.267 0 0 1 
1236 43  23429  323.28 1436.99  -0.03  -0.14  19.597  0.021  19.706  19.217  19.657   5.151   0.848 -88.988   6.056   0.814 -88.634  13.369   0.793 -87.276   0.250 1061900599165624 0 1 
1236 43  83800  454.56 2803.75  -0.03  -0.01  19.753  0.021  19.758  19.013  19.732   9.327   0.489 -86.244  12.228   0.429 -86.066  39.791   0.375 -86.000   0.010 1061900599166333 0 1 
1236 43  59677  802.19  655.90   0.08  -0.07     nan    nan     nan     nan  19.339   5.077   0.802  26.516     nan     nan     nan     nan     nan     nan     nan 1061900599165197 0 1 
1236 43  87206 1884.80 3977.69  -0.14  -0.25  19.179  0.020  19.373  18.962  19.297   4.222   0.956  61.073   4.675   0.959  51.683   8.859   0.969  31.380   0.495 1061900599167074 0 1 
1236 43  72526  368.04 3677.97  -0.16   0.33  20.317  0.020  20.316  19.633  20.331   7.963   0.540  82.814  10.014   0.475  82.884  30.121   0.418  82.989   0.000 0 0 1 
1236 43  26876 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   5.176   0.833 -64.664     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 43  99930 1728.58 4116.63   0.04  -0.13  19.538  0.020  19.631  18.995  19.603   7.165   0.636  25.786   9.140   0.570  25.271  25.610   0.517  24.763   0.177 0 2 1 
1236 43 183838  924.68 3351.98   0.13  -0.17  20.773  0.021  20.799  20.032  20.772   8.293   0.564  13.555  10.738   0.489  13.543  35.516   0.430  13.503   0.047 1061900599166663 0 1 
1236 43  87410   29.50 1538.71   0.50   0.29  20.820  0.021  20.868  20.256     nan   6.279   0.703 -24.507   7.586   0.634 -23.687  20.514   0.570 -23.295   0.098 0 0 1 
1236 43   2599  770.72  160.40   0.31   0.37  21.009  0.020  21.244  20.404  21.174   9.321   0.497  85.903  12.290   0.441  85.467  42.703   0.411  85.091   0.354 0 0 1 
1236 43  71268 1514.65 2413.38  -0.02  -0.05  19.517  0.021  19.894  19.269  19.797   5.155   0.862 -26.156   6.195   0.813 -25.450  16.955   0.715 -16.435   0.655 0 2 1 
1236 43 166562 1513.69  828.80  -0.00  -0.07  19.409  0.020  19.530  19.048  19.493   5.354   0.789 -56.652   6.425   0.721 -55.809  14.394   0.666 -54.848   0.279 0 0 1 
1236 43  33528 1182.22 2757.13   0.04  -0.05  20.279  0.021  20.343  19.699  20.311   7.353   0.594 -24.758   9.259   0.514 -24.924  26.442   0.450 -25.023   0.122 0 0 1 
1236 43 120169 1903.08 1234.99   0.64  -0.47     nan    nan     nan     nan     nan   3.297   0.821 -31.622     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 43  53680  182.05 1780.21  -0.15   0.05  20.556  0.021  20.664  20.061  20.640   5.723   0.773   5.826   6.922   0.711   4.872  18.138   0.663   3.988   0.214 0 0 1 
1236 43 107901 1083.86 4009.87   0.17  -0.44  21.031  0.021  21.030  20.248  21.039   8.960   0.509 -74.102  11.554   0.440 -73.821  39.212   0.384 -73.526   0.000 0 0 1 
1236 43 137748 2015.06 1550.77  -0.06   0.23  19.326  0.020  19.382  18.785     nan   6.758   0.681 -19.528   8.540   0.611 -20.020  22.962   0.544 -19.788   0.115 0 0 1 
1236 43  92867  158.41 3424.84  -1.65  -0.81  19.414  0.020  19.413  18.679  19.435   8.997   0.538  21.006  11.589   0.482  20.023  37.699   0.421  19.560   0.000 1061900599166714 0 1 
1236 43 184173 1653.72 2208.02   0.01  -0.05  20.123  0.021  20.253  19.763  20.197   4.858   0.883   5.804   5.666   0.833   4.528  12.610   0.790   2.306   0.298 0 0 1 
1236 43 191864  688.02 2738.31  -0.03  -0.07  19.499  0.021  19.600  19.158  19.547   4.601   0.948 -61.856   5.225   0.924 -55.274  10.742   0.900 -50.934   0.251 0 0 1 
1236 43 177536  990.64 3606.44  -0.02  -0.03  19.926  0.021  19.946  19.282  19.929   7.967   0.560  14.351  10.230   0.486  13.958  30.197   0.425  13.725   0.040 0 0 1 
1236 43 178036  401.00 2275.62  -0.17  -0.12  20.049  0.021  20.081  19.337  20.055   9.292   0.482  20.024  12.184   0.417  20.126  39.626   0.361  19.931   0.056 1061900599166070 0 1 
1236 43  49997  149.23 3418.16  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 43  61151 1792.33   76.45  -0.33  -0.45  19.447  0.020  19.597  18.916  19.576   7.822   0.591 -31.504  10.160   0.532 -31.454  30.232   0.476 -31.693   0.267 0 2 1 
1236 43  12708  988.52 1981.45  -0.04  -0.08  19.795  0.021  19.911  19.452  19.854   4.596   0.956 -24.400   5.235   0.931 -24.802  11.028   0.906 -26.407   0.279 0 0 1 
1236 43  74398  530.63 2872.57  -0.04  -0.07  19.287  0.021  19.374  18.907  19.332   5.226   0.833  68.114   6.149   0.792  67.982  13.225   0.768  68.359   0.208 0 2 1 
1236 43 137065  424.07  695.21   0.01  -0.04  19.117  0.020  19.225  18.706  19.183   5.941   0.732  46.563   7.328   0.669  46.334  17.219   0.629  46.105   0.236 0 0 1 
1236 43 109461  208.04 1005.52   0.01   0.02     nan    nan     nan     nan  20.174   4.440   0.841 -42.409     nan     nan     nan     nan     nan     nan     nan 1061900599165397 0 1 
1236 43 331253 1793.21 2146.04  -0.47  -0.18  21.915  0.022  22.713  21.917  21.969   4.899   0.760  -7.112   6.743   0.639  -8.332  21.268   0.599  -8.001   1.000 1061900599165991 0 1 
1236 43 194343 1089.14 1261.51  -0.02  -0.07  19.398  0.021  19.499  18.982  19.460   5.534   0.794 -72.682   6.650   0.739 -71.739  15.563   0.696 -70.838   0.225 1061900599165538 0 1 
1236 43  53107 1468.78  499.80  -0.06  -0.09  19.063  0.020  19.193  18.724  19.153   5.439   0.780 -34.416   6.641   0.701 -34.409  14.687   0.640 -34.216   0.303 1061900599165153 0 1 
1236 43 187448  180.57 2553.62  -0.06  -0.06  20.356  0.021  20.431  19.865  20.401   5.720   0.765 -36.840   6.936   0.690 -36.224  17.562   0.631 -36.552   0.158 0 2 1 
1236 43  29224  441.19 1111.46   0.41   0.09  22.061  0.022  22.459  21.731  22.426   7.292   0.522  12.348   9.154   0.431  13.300  28.333   0.372  14.514   0.621 0 0 1 
1236 43  37022  841.00 1773.96   0.72  -0.08  19.497  0.021  20.001  19.216  19.792   7.869   0.621  54.865  10.497   0.585  54.910  33.364   0.573  54.423   0.706 1061900599165811 0 1 
1236 43 184103 1042.44 2670.30   0.40  -1.02     nan    nan     nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 43 158806 1455.56 3562.94  -1.41   1.14     nan    nan     nan     nan     nan   3.927   0.563 -39.672     nan     nan     nan     nan     nan     nan     nan 1061900599166795 0 1 
1236 43  81304 1987.51  702.59  -0.04  -0.34  20.807  0.020  20.814  20.143  20.811   6.328   0.714  65.524   7.751   0.660  66.971  22.354   0.609  67.240   0.014 0 0 1 
1236 43  64101 1768.29 3640.45  -0.01  -0.09  19.179  0.020  19.276  18.794  19.241   5.516   0.780 -67.333   6.648   0.720 -65.331  14.874   0.673 -63.816   0.226 0 0 1 
1236 43 103865   41.68  820.27   0.32  -0.27  19.488  0.020  19.604  19.170  19.559   4.813   0.865 -43.540   5.590   0.809 -41.686  11.521   0.760 -40.969   0.291 0 0 1 
