# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24 163818   59.04 2850.65  -0.05  -0.02  19.610  0.019  19.720  19.242  19.670   5.237   0.822 -81.930   6.188   0.763 -81.921  13.570   0.728 -80.898   0.259 0 0 1 
1236 24 164323 1564.00  679.70  -0.04   0.09  20.823  0.019  20.994  20.285  20.921   8.409   0.519 -62.690  10.760   0.445 -63.043  33.033   0.388 -63.324   0.296 0 0 1 
1236 24   3052 1123.24  746.79   0.07  -0.10  19.575  0.019  19.694  19.193  19.657   6.060   0.689 -66.052   7.442   0.611 -65.929  17.282   0.555 -65.732   0.267 0 0 1 
1236 24 123946 1225.05 1495.46   0.06  -0.06  19.687  0.019  20.191  19.529  19.999   5.590   0.806 -79.005   7.371   0.695 -79.305  21.751   0.563 -76.911   0.800 0 3 1 
1236 24 158210 1426.21 2190.78  -0.02  -0.05  19.040  0.019  19.145  18.694  19.100   5.595   0.755   5.740   6.734   0.689   5.782  14.356   0.643   5.011   0.254 0 0 1 
1236 24 150241 1742.29 1634.43   0.05  -0.12  19.254  0.019  19.355  18.866  19.315   5.753   0.779  81.107   7.002   0.714  80.791  15.767   0.676  82.038   0.232 1061818994787244 0 1 
1236 24  60964  696.41 2471.92  -0.13  -0.11  20.343  0.019  20.511  19.778  20.514   9.244   0.495  -1.211  12.291   0.418  -1.493  39.539   0.360  -1.633   0.284 0 2 1 
1236 24  31922  626.55 3546.47  -0.15   0.06  20.231  0.019  20.425  19.701  20.379   9.110   0.477  20.056  11.911   0.408  20.544  37.613   0.352  20.699   0.327 0 0 1 
1236 24 106613  850.52 3484.92  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24 192864 1508.61 1482.20  -0.03   0.00  19.363  0.019  19.472  19.014  19.430   5.161   0.843  78.699   6.088   0.790  78.522  12.913   0.762  79.545   0.263 0 0 1 
1236 24  11424  868.07 2666.97   0.72  -0.09     nan    nan     nan     nan     nan   3.396   0.871 -57.802     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 24  23429  323.28 1436.99   0.04  -0.11  19.619  0.019  19.692  19.219  19.655   5.178   0.853 -86.745   6.071   0.805 -86.690  13.236   0.770 -85.612   0.174 0 0 1 
1236 24  83800  454.56 2803.75  -0.08   0.02  19.594  0.019  19.701  18.981  19.667   9.561   0.493 -86.519  12.702   0.427 -86.644  40.162   0.375 -86.572   0.187 0 5 1 
1236 24  59677  802.19  655.90   0.05  -0.05  19.156  0.019  19.259  18.803  19.229   5.486   0.780  27.626   6.612   0.709  27.261  14.165   0.668  26.603   0.250 0 0 1 
1236 24  87206 1884.80 3977.69  -0.07  -0.09  19.011  0.019  19.103  18.710  19.060   4.630   0.927  73.391   5.275   0.894  73.274   9.998   0.876  74.436   0.250 0 0 1 
1236 24  72526  368.04 3677.97  -0.01  -0.34  19.765  0.019  20.272  19.423  20.143   7.662   0.623  83.599   9.981   0.555  82.396  35.201   0.507  75.291   0.676 0 2 1 
1236 24  26876 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   5.357   0.806 -64.860     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 24  99930 1728.58 4116.63  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24 183838  924.68 3351.98   0.00   0.01  20.660  0.019  20.848  20.114  20.813   8.454   0.511  15.509  10.906   0.442  15.890  34.414   0.390  16.044   0.315 1061818994788212 0 1 
1236 24  87410   29.50 1538.71  -0.50   0.29  20.634  0.020  20.838  20.219     nan   6.426   0.649 -23.381   8.073   0.559 -23.394  22.194   0.484 -23.132   0.383 0 2 1 
1236 24   2599  770.72  160.40   0.08   0.14     nan    nan     nan     nan     nan   3.049   0.944  78.911     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24  71268 1514.65 2413.38  -0.05  -0.05  19.836  0.019  19.917  19.448  19.881   5.165   0.848 -23.467   6.002   0.807 -24.222  12.993   0.776 -25.509   0.195 1061818994787694 0 1 
1236 24 166562 1513.69  828.80   0.02  -0.06  19.419  0.019  19.530  19.074  19.500   5.387   0.784 -55.102   6.387   0.717 -54.535  13.703   0.665 -54.138   0.267 0 0 1 
1236 24  33528 1182.22 2757.13  -0.04   0.01  20.274  0.019  20.309  19.669  20.295   7.132   0.631 -26.797   8.932   0.559 -26.946  25.301   0.496 -27.120   0.070 0 0 1 
1236 24 120169 1903.08 1234.99  -0.05  -0.50  21.273  0.019  21.273  20.466  21.260   8.774   0.536 -35.683  11.427   0.460 -36.246  39.403   0.405 -36.622   0.000 0 0 1 
1236 24  53680  182.05 1780.21  -0.02   0.01  20.592  0.020  20.660  20.078  20.625   5.870   0.747   9.488   7.054   0.685   9.599  18.078   0.638   9.499   0.141 0 0 1 
1236 24 107901 1083.86 4009.87  -0.13  -0.35  20.987  0.019  20.987  20.214  20.985   9.130   0.516 -74.728  11.825   0.452 -74.304  39.512   0.399 -73.925   0.000 1061818994788577 0 1 
1236 24 137748 2015.06 1550.77  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24  92867  158.41 3424.84  -1.74  -0.74     nan    nan     nan     nan  19.409   9.117   0.535  21.778     nan     nan     nan     nan     nan     nan     nan 1061818994788248 0 1 
1236 24 184173 1653.72 2208.02   0.03  -0.08  20.113  0.019  20.239  19.760  20.189   4.933   0.883   4.495   5.665   0.849   3.189  12.295   0.823   1.316   0.293 0 0 1 
1236 24 191864  688.02 2738.31  -0.04  -0.02  19.496  0.019  19.591  19.170  19.550   4.567   0.950 -59.947   5.153   0.928 -61.872  10.236   0.907 -58.667   0.246 1061818994787875 0 1 
1236 24 177536  990.64 3606.44  -0.03  -0.01  19.834  0.019  19.915  19.257  19.887   8.047   0.554  14.409  10.363   0.484  14.454  30.133   0.428  14.386   0.152 1061818994788391 0 1 
1236 24 178036  401.00 2275.62   0.13  -0.03  20.040  0.019  20.110  19.411  20.108   8.942   0.504  20.091  11.650   0.433  20.131  35.952   0.375  19.809   0.128 0 2 1 
1236 24  49997  149.23 3418.16  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24  61151 1792.33   76.45  -0.33   0.55  19.588  0.019  19.645  19.016  19.627   7.944   0.571 -32.409  10.205   0.499 -32.211  28.772   0.437 -32.250   0.112 0 0 1 
1236 24  12708  988.52 1981.45  -0.12  -0.06  19.780  0.019  19.883  19.441  19.841   4.612   0.943 -15.371   5.172   0.929 -15.612  10.589   0.910 -18.174   0.257 0 0 1 
1236 24  74398  530.63 2872.57  -0.02  -0.05  19.285  0.019  19.371  18.919  19.332   5.215   0.831  64.986   6.153   0.779  65.404  13.013   0.748  65.775   0.210 0 0 1 
1236 24 137065  424.07  695.21   0.00   0.02  19.134  0.019  19.225  18.732  19.194   5.945   0.738  45.832   7.283   0.672  45.183  16.587   0.631  44.981   0.208 0 0 1 
1236 24 109461  208.04 1005.52  -0.02  -0.01  19.796  0.019  19.910  19.454  19.863   5.006   0.838 -44.609   5.827   0.777 -44.111  12.431   0.729 -43.744   0.278 0 0 1 
1236 24 331253 1793.21 2146.04  -0.23   0.27  22.721  0.024  22.824  22.248  22.840   5.639   0.688 -40.877   6.400   0.604 -40.837  15.882   0.568 -40.834   0.215 0 2 1 
1236 24 194343 1089.14 1261.51   0.01  -0.03  19.392  0.019  19.483  19.010  19.452   5.597   0.779 -73.641   6.702   0.715 -73.750  14.811   0.670 -73.238   0.216 0 2 1 
1236 24  53107 1468.78  499.80  -0.01  -0.04  18.964  0.019  19.133  18.666  19.077   5.476   0.798 -37.564   6.660   0.745 -37.585  14.355   0.705 -37.517   0.390 1061818994786590 0 1 
