# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24   5957  597.78  514.47  -0.17  -0.05  22.869  0.025  22.869  22.319  22.901   5.171   0.708 -31.731   5.845   0.596 -32.523  14.473   0.521 -34.489   0.000 0 0 1 
1236 24 114618 1843.14  418.08  -0.34  -0.07  22.285  0.022  22.308  21.834     nan   4.805   0.767 -28.112   5.252   0.681 -28.424  11.500   0.621 -29.151   0.060 0 0 1 
1236 24 114998  918.97 1960.33  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24  34328 1521.32 1254.48   0.01  -0.04  19.995  0.019  20.128  19.754  20.065   4.070   0.945  50.229   4.363   0.911  52.205   7.882   0.898  53.435   0.379 1061818994787014 0 1 
1236 24 198276 1525.29 2600.24  -0.05   0.06  20.403  0.019  20.519  20.102  20.458   4.760   0.780 -68.735   5.430   0.678 -68.503  10.978   0.618 -68.369   0.304 1061818994787796 0 1 
1236 24  63254   57.19  161.76   0.02  -0.38     nan    nan     nan     nan  21.309   4.267   0.825 -64.347     nan     nan     nan     nan     nan     nan     nan 1061818994786414 0 1 
1236 24  16563 1397.62 3258.72  -0.02  -0.12  21.368  0.020  21.577  21.170  21.490   4.837   0.654   8.257   5.529   0.522   8.565  10.999   0.459   8.083   0.544 0 0 1 
1236 24 144198 1408.40 1217.83  -0.07  -0.22  22.025  0.021  22.425  22.025  22.118   3.460   0.934  69.025   3.503   0.859  67.561   6.479   0.818  66.194   1.000 0 0 1 
1236 24  21686 1090.03  837.17   0.17   0.11  21.176  0.019  21.259  20.524  21.250   8.068   0.543  71.553  10.153   0.475  71.342  31.642   0.431  71.250   0.146 1061818994786793 0 1 
1236 24  55699  217.78 2472.23  -0.11   0.03  21.450  0.020  21.512  21.207  21.459   3.937   0.796 -71.993   4.007   0.674 -72.200   6.627   0.620 -71.574   0.219 0 0 1 
1236 24 185605 1782.05 2792.46   0.45   0.51  23.040  0.028  23.039  22.586  23.121   4.760   0.751  55.628   4.952   0.678  56.498  10.407   0.651  56.634   0.000 0 0 1 
1236 24 191866  361.18  265.41  -0.01   0.09  22.470  0.022  22.479  22.011  22.433   5.410   0.593  66.731   6.201   0.452  65.913  14.075   0.364  65.180   0.022 0 0 1 
1236 24  89214   98.84 1149.29  -0.38  -0.20  23.014  0.028  23.173  22.818     nan   4.976   0.567  12.634   5.321   0.408  11.825   9.969   0.328  10.981   0.477 0 0 1 
1236 24 171163  191.10 3450.08   0.41  -0.27  21.790  0.020  22.077  21.348  21.947   6.635   0.688  79.102   8.216   0.611  79.104  25.052   0.560  78.903   0.466 0 0 1 
1236 24  45132 1815.08 3448.19  -0.11  -0.06  21.103  0.020  21.421  21.029  21.236   4.062   0.762  34.820   4.547   0.634  34.926   8.429   0.600  32.648   0.828 0 0 1 
1236 24  10258 1778.54 3596.49   0.06  -0.33  23.027  0.027  23.026  22.462     nan   5.660   0.862 -17.933   6.505   0.759 -13.906  16.762   0.660 -10.339   0.000 0 0 1 
1236 24 128279 1409.30 2162.54   0.46  -0.40  22.896  0.027  22.896  22.598  23.055   4.529   0.641   0.411   4.779   0.467  -0.080   8.260   0.387   0.086   0.000 1061818994787572 0 1 
1236 24  23713  302.12 3902.85  -0.19  -0.04  21.948  0.020  22.349  21.800  22.178   4.829   0.750 -65.566   5.947   0.619 -65.270  14.304   0.559 -63.861   0.769 0 2 1 
1236 24 165477 1141.23 1801.01   0.21  -0.02  22.564  0.023  22.564  22.163  25.218   5.170   0.592  42.155   5.709   0.443  41.757  11.964   0.350  40.822   0.000 0 0 1 
1236 24 117019  857.61 1910.59  -0.02  -0.58  20.889  0.019  21.068  20.324  21.016   7.923   0.626  54.927  10.041   0.575  54.431  31.467   0.534  53.915   0.297 1061818994787448 0 1 
1236 24  97425 1365.46 3798.82  -0.03  -0.05  20.331  0.019  20.510  20.116  20.426   4.673   0.722 -74.146   5.348   0.601 -74.321  10.305   0.549 -73.857   0.483 0 0 1 
1236 24  30597 1782.00  969.57  -0.00  -0.37     nan    nan     nan     nan  22.356  10.968   0.414 -39.946     nan     nan     nan     nan     nan     nan     nan 1061818994786917 0 1 
1236 24 187042  430.63 1853.73  -0.00  -0.12  21.481  0.020  21.596  21.260  21.545   3.742   0.874  14.534   3.733   0.795  14.311   6.494   0.730  19.081   0.364 0 2 1 
1236 24 188844  227.57  323.79   0.03  -0.07  20.392  0.019  20.425  19.962  20.396   5.349   0.703  25.621   6.263   0.604  25.453  13.794   0.544  24.963   0.083 0 0 1 
1236 24 197245 1395.05 2188.98  -0.08  -0.14     nan    nan     nan     nan     nan   3.110   0.889 -11.161     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24 122357  816.42 3888.02   0.12  -0.14  22.072  0.021  22.159  21.834  22.124   4.431   0.606  65.418   4.806   0.400  64.703   8.582   0.326  62.492   0.288 0 2 1 
1236 24  91872  205.73 1659.96  -1.77   0.07     nan    nan     nan     nan     nan   3.169   0.887 -69.253     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24   2147  314.89  996.49   0.16  -0.18  21.488  0.020  21.779  21.398  21.598   3.973   0.804  27.897   4.398   0.662  30.378   8.171   0.601  30.655   0.783 0 0 1 
1236 24 122997  626.98 4150.53   0.02   0.47  21.829  0.020  21.877  21.459     nan   4.574   0.772  32.726   5.064   0.664  32.501  10.428   0.584  32.101   0.133 0 0 1 
1236 24 199845 1465.47 3875.69  -0.03  -0.03  21.112  0.020  21.174  20.856  21.118   4.391   0.669  37.272   4.767   0.510  37.965   8.249   0.449  37.990   0.210 0 0 1 
1236 24  85787 1626.79 2980.32  -0.14   0.02  21.741  0.020  21.955  21.496  21.967   4.503   0.828   2.232   4.919   0.775   4.467  10.185   0.750   5.463   0.505 0 0 1 
1236 24  66808  857.05 4142.86  -0.05   0.14  20.617  0.019  21.076  20.621  21.051   4.085   0.834 -22.273  10.433   0.413  42.889  19.781   0.474  41.567   1.000 0 3 1 
1236 24 200412 2004.15 2751.57   0.85  -0.57  22.572  0.023  22.572  22.016  22.619   6.090   0.564  -7.950   7.216   0.434  -7.675  18.517   0.357  -7.338   0.000 0 0 1 
1236 24 123284 1942.03 1722.83   0.25   0.09  22.344  0.023  22.789  22.344  22.491   3.678   0.920  -6.856   3.821   0.886  -7.003   7.415   0.882 -10.677   1.000 0 0 1 
1236 24   9034  861.40 1315.57   0.08   0.19  21.812  0.020  21.852  21.466  21.800   4.943   0.636  30.134   5.585   0.486  30.479  11.064   0.409  31.227   0.117 0 0 1 
1236 24 189752  417.89 3238.36  -0.06  -0.12  21.292  0.020  21.722  21.211  21.593   4.595   0.837  51.409   5.562   0.746  57.220  12.349   0.712  57.724   0.862 0 0 1 
1236 24  19993  609.49 3755.03  -0.21   0.11  22.434  0.022  22.433  21.961  22.364   4.107   0.924 -76.745   4.341   0.880 -75.028   9.277   0.843 -71.985   0.000 0 0 1 
1236 24   2995 1603.79  938.76   0.21   0.15  21.430  0.020  21.757  21.430  21.556   3.378   0.915  46.202   3.297   0.856  46.149   5.120   0.905  46.415   1.000 0 0 1 
