# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 59  91901  358.00 1927.93  -0.25  -0.18  22.702  0.027  22.975  22.568  22.819   4.017   0.743   2.149   4.106   0.657   5.366   7.690   0.646  11.927   0.700 1061969318642844 0 1 
1236 59 191114  761.90 1254.11  -0.06   0.29  22.605  0.026  22.605  22.209     nan   4.705   0.698 -69.376   4.954   0.599 -69.341   9.774   0.537 -70.241   0.000 0 0 1 
1236 59  38878  180.47  944.51  -0.09  -0.02  21.966  0.024  22.067  21.722  22.001   3.777   0.886  46.865   3.858   0.823  44.161   6.682   0.800  45.136   0.315 0 0 1 
1236 59  33967 1540.10 3113.59  -0.10   0.03  21.992  0.024  22.311  21.828  22.213   4.309   0.846  56.026   4.766   0.787  52.766  10.141   0.760  50.901   0.698 0 0 1 
1236 59 200348 1000.38 3725.72  -0.03  -0.04  19.744  0.023  20.147  19.616  19.977   5.990   0.621 -61.606   7.861   0.522 -61.215  18.535   0.472 -60.607   0.786 0 2 1 
1236 59 173671  204.25 2742.26  -0.12  -0.14  22.396  0.025  22.396  21.851     nan   5.146   0.761 -38.753   5.791   0.699 -38.054  13.904   0.657 -38.300   0.000 1061969318643331 0 1 
1236 59  24717 1852.99 3892.96   0.09  -0.13  21.308  0.023  21.612  21.304  21.420   3.369   0.851 -17.257   3.432   0.690 -17.679   5.487   0.644 -19.199   0.986 0 0 1 
1236 59  63178 1526.54 1495.88  -0.12  -0.24  22.131  0.024  22.156  21.617  22.118   5.506   0.639 -34.103   6.563   0.507 -32.423  16.519   0.412 -31.389   0.057 0 0 1 
1236 59  57875 2018.45  382.73  -0.45   0.27  22.272  0.025  22.609  22.134  22.451   4.141   0.787  23.496   4.706   0.680  24.124  10.184   0.610  25.044   0.744 0 0 1 
1236 59 189852 1574.35 2129.72   0.00  -0.10  22.937  0.029  22.937  22.609     nan   4.731   0.704  25.053   4.865   0.581  24.382   8.858   0.486  25.081   0.000 0 0 1 
1236 59 144597 1925.55 2320.12  -0.14  -0.11  22.159  0.025  22.256  22.006  22.203   3.592   0.749 -12.862   3.604   0.538 -12.174   5.446   0.462 -12.117   0.402 0 0 1 
1236 59 140704  543.92 2054.82   0.02  -0.22  21.126  0.023  21.510  20.870  21.404   6.019   0.714  76.541   7.606   0.636  77.048  20.410   0.604  75.801   0.657 0 0 1 
1236 59 104577 1255.51 1274.96  -0.26   0.16  23.249  0.032  23.249  22.774     nan   5.326   0.610 -35.908   5.870   0.490 -36.720  13.326   0.416 -37.224   0.000 0 0 1 
1236 59 138052  446.77 3987.53   0.05  -0.21  22.365  0.025  22.364  21.919     nan   4.798   0.742  40.363   5.157   0.646  37.630  11.089   0.586  36.438   0.000 0 0 1 
1236 59 191360 2011.96 3598.38   0.04  -0.38  21.042  0.023  21.233  20.728  21.179   4.686   0.851   1.483   5.403   0.783  -0.503  12.169   0.742  -2.740   0.421 0 0 1 
1236 59 111109 2008.91 3970.28  -0.91   0.72  22.220  0.025  22.409  21.864  22.286   4.526   0.771  -3.251   5.106   0.710  -5.371  12.046   0.677  -8.508   0.396 0 0 1 
1236 59  92136 1718.22 4005.91  -0.10   0.16  21.009  0.023  21.245  20.392  21.148   8.214   0.636  83.634  10.748   0.588  83.570  37.548   0.561  83.722   0.352 0 0 1 
1236 59 155178 1701.35 1354.54  -0.10  -0.04     nan    nan     nan     nan  21.324   3.981   0.910  43.013     nan     nan     nan     nan     nan     nan     nan 1061969318642493 0 1 
1236 59 166142  753.47 1710.70   0.14  -0.15  23.143  0.030  23.143  22.575  23.159   5.250   0.715 -24.855   6.179   0.576 -23.747  15.947   0.486 -23.256   0.000 0 0 1 
1236 59  89463 1947.96 2165.22  -0.19  -0.00  20.493  0.023  20.701  20.120  20.666   5.348   0.834  22.049   6.490   0.785  21.092  16.235   0.755  20.319   0.407 0 0 1 
1236 59 147205  639.52 1940.01  -0.30  -0.25  21.813  0.024  22.140  21.617  22.024   4.572   0.790  17.545   5.219   0.711  15.465  11.905   0.671  13.674   0.670 1061969318642839 0 1 
1236 59 113770 1547.48  925.75  -0.02   0.06  22.444  0.025  22.457  21.921  22.292   4.236   0.917   1.718   4.483   0.916  -9.373  10.157   0.931 -26.790   0.030 1061969318642179 0 1 
1236 59  55301 1702.07 2081.21  -0.09  -0.04  21.137  0.023  21.300  20.882  21.259   3.916   0.975  16.654   4.213   0.945   3.191   8.193   0.924  -7.064   0.423 0 0 1 
1236 59 150481 1421.48 2713.54   0.02  -0.42  20.966  0.023  21.014  20.340  21.034   8.048   0.536 -88.047  10.191   0.461 -87.904  30.493   0.396 -87.163   0.091 1061969318643309 0 1 
1236 59 101478 1954.46 3434.00  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 59 134040 1556.97 3707.13  -0.18  -0.24  21.496  0.023  21.681  21.301  21.605   4.276   0.779  22.533   4.753   0.649  18.659   9.075   0.570  18.128   0.516 0 0 1 
1236 59  81567  450.86 1300.27  -0.09  -0.03  21.071  0.023  21.357  20.948  21.216   3.818   0.914  35.440   4.073   0.870  32.697   7.654   0.858  30.834   0.724 0 0 1 
1236 59 112019 1579.20 1968.46  -0.02   0.06  21.545  0.023  21.618  21.056  21.635   5.235   0.772  20.607   6.088   0.710  20.231  15.017   0.667  18.110   0.155 1061969318642857 0 1 
1236 59  13208  336.52 3371.75  -0.05   0.04     nan    nan     nan     nan  20.704   2.753   0.892  43.950     nan     nan     nan     nan     nan     nan     nan 1061969318643691 0 1 
1236 59 118814  203.59 1302.32   0.26   0.23  22.013  0.024  22.013  21.469  24.009   5.792   0.625  55.857   6.817   0.512  55.403  17.557   0.420  55.379   0.000 0 0 1 
