# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 49    472  530.63 2872.57  -0.01  -0.07  17.233  0.026  17.262  17.125  17.222   3.562   0.987  56.211   3.523   0.996  30.139   3.991   0.990 -26.673   0.172 0 0 1 
1236 49   2327  208.04 1005.52  -0.00  -0.03  17.759  0.026  17.853  17.565  17.798   4.177   0.993  31.580   4.727   0.989   7.215   7.318   0.983  -8.571   0.316 1061926368969290 0 1 
1236 49   3648  149.23 3418.16  -0.17  -0.15  18.252  0.026  18.365  18.091  18.309   3.951   0.954 -65.290   4.366   0.937 -63.805   6.554   0.927 -57.971   0.407 1061926368970753 0 1 
1236 49   4419 1768.29 3640.45   0.02  -0.05  18.570  0.025  18.606  18.363  18.575   3.626   0.990  53.048   3.610   0.997  39.502   5.139   0.990 -27.710   0.147 1061926368970885 0 1 
1236 49   4621  401.00 2275.62  -0.05  -0.01  18.179  0.026  18.301  17.996  18.233   4.026   0.995 -60.093   4.484   0.992 -36.754   7.111   0.985 -24.254   0.398 0 3 1 
1236 49   2836  323.28 1436.99  -0.44   0.12  17.035  0.026  17.074  16.914  17.025   4.011   0.905  65.328   4.255   0.911  65.234   5.228   0.902  66.142   0.200 1061926368969556 0 1 
1236 49    895  180.57 2553.62  -0.00  -0.06  16.917  0.026  17.000  16.705  16.961   4.592   0.993  57.309   5.291   0.999  80.670   8.836   0.936 -67.289   0.265 0 10 1 
1236 49   2912 1123.24  746.79   0.01  -0.05  17.224  0.025  17.256  17.009  17.227   4.376   0.990  51.354   4.878   0.994  32.513   7.248   0.992 -12.727   0.120 0 0 1 
1236 49   2878 1225.05 1495.46   0.06  -0.05     nan    nan     nan     nan  18.249   3.602   0.967  21.262     nan     nan     nan     nan     nan     nan     nan 1061926368969543 0 1 
1236 49   1523 1089.14 1261.51  -0.00  -0.04  16.764  0.026  16.833  16.637  16.787   4.072   0.997  58.915   4.679   0.997 -25.469   6.049   0.986 -26.133   0.301 1061926368969433 0 1 
1236 49   1457 1508.61 1482.20  -0.01  -0.02  18.469  0.026  18.562  18.239  18.514   4.162   0.994 -50.207   4.649   0.984 -40.685   7.731   0.970 -38.209   0.293 0 0 1 
1236 49   2965  454.56 2803.75  -0.01  -0.07  18.845  0.026  18.881  18.537  18.840   4.207   0.990  40.436   4.559   0.991  25.082   7.956   0.987  -3.737   0.111 0 0 1 
1236 49   2121 1455.56 3562.94  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 49   1932 1468.78  499.80  -0.02  -0.05  18.052  0.025  18.158  17.869  18.115   4.038   0.994  64.559   4.512   0.996 -65.036   6.978   0.984 -41.867   0.362 0 0 1 
1236 49   4436  158.41 3424.84  -0.29  -0.40  18.772  0.026  18.859  18.515  18.807   4.635   0.898  46.050   5.090   0.904  48.237   8.838   0.911  48.219   0.260 1061926368970753 0 1 
1236 49   2339  424.07  695.21   0.00  -0.01  17.418  0.026  17.584  17.267  17.523   4.046   0.994  31.937   4.639   0.991  24.209   7.617   0.934  47.512   0.516 0 9 1 
1236 49   4813  368.04 3677.97   0.03  -0.10  17.356  0.025  17.420  17.149  17.389   4.377   0.991 -77.004   4.992   0.987 -51.960   7.642   0.977 -38.029   0.222 0 2 1 
1236 49   2321 1653.72 2208.02  -0.02  -0.05  18.095  0.026  18.194  17.891  18.141   4.127   0.997  74.214   4.628   0.995 -45.195   7.391   0.984 -33.481   0.325 0 2 1 
1236 49   4669 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   4.013   0.993  42.968     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 49   1570  990.64 3606.44  -0.00  -0.07  17.703  0.026  17.799  17.534  17.753   4.024   0.995 -39.067   4.534   0.988 -36.822   6.707   0.974 -36.360   0.348 1061926368970893 0 1 
1236 49   4595 1728.58 4116.63   0.01  -0.10  16.659  0.025  16.723  16.537  16.700   4.044   0.996 -22.598   4.655   0.994 -27.371   5.890   0.986 -27.494   0.295 0 0 1 
1236 49   2318   29.50 1538.71  -0.50   0.29  17.623  0.026  17.686  17.378  17.635   4.454   0.997  -9.286   5.078   0.996  -1.048   8.363   0.979 -16.634   0.201 0 0 1 
1236 49   3655  841.00 1773.96  -0.01   0.00  18.423  0.026  18.470  18.244  18.419   3.556   0.990  33.156   3.492   0.984  -4.221   4.832   0.962 -15.943   0.201 1061926368969721 0 1 
1236 49   4075  924.68 3351.98  -0.00  -0.08  18.490  0.026  18.606  18.301  18.550   3.969   0.994 -43.676   4.378   0.984 -37.699   6.982   0.969 -36.073   0.384 1061926368970719 0 1 
1236 49    520  988.52 1981.45  -0.01  -0.04  17.197  0.026  17.278  17.048  17.224   4.026   0.996  66.296   4.569   0.996 -72.908   6.267   0.991 -37.110   0.324 1061926368969833 0 1 
1236 49    242  770.72  160.40  -0.02  -0.02  16.644  0.025  16.715  16.518  16.683   4.099   0.996  39.800   4.712   0.995  -0.399   6.152   0.978 -19.848   0.308 0 4 1 
1236 49   2973 1514.65 2413.38  -0.02  -0.03  17.801  0.026  17.904  17.632  17.848   4.008   0.993 -87.149   4.530   0.987 -79.501   6.738   0.981 -62.057   0.365 1061926368970072 0 1 
1236 49   3439 1182.22 2757.13   0.01  -0.04  17.495  0.026  17.587  17.337  17.534   4.004   0.999  57.052   4.537   0.996 -28.531   6.482   0.983 -29.884   0.347 0 2 1 
1236 49    351  626.55 3546.47  -0.02  -0.04     nan    nan     nan     nan  18.009   3.663   0.990  61.711     nan     nan     nan     nan     nan     nan     nan 0 20 1 
1236 49   4557 1903.08 1234.99   0.01  -0.02  16.520  0.025  16.572  16.385  16.543   4.223   0.993  61.186   4.851   0.999 -84.080   6.270   0.991 -35.578   0.232 1061926368969417 0 1 
1236 49   4339  182.05 1780.21   0.02  -0.02  18.364  0.026  18.457  18.132  18.401   4.199   0.997  36.104   4.687   0.993 -18.769   7.836   0.979 -29.459   0.291 0 0 1 
1236 49   2585 1083.86 4009.87   0.01  -0.09  17.918  0.025  17.946  17.584  17.931   4.812   0.999 -13.744   5.582   0.990 -23.728  10.249   0.981 -28.278   0.081 0 0 1 
1236 49   1377  441.19 1111.46   0.01  -0.02  17.413  0.026  17.473  17.193  17.430   4.404   0.993  46.719   5.016   0.995  20.418   7.804   0.990 -15.726   0.208 1061926368969343 0 1 
1236 49   2097 1792.33   76.45   0.01  -0.03  16.524  0.025  16.541  16.315  16.540   4.826   0.988  58.352   5.578   0.993  63.260   8.219   0.996 -48.972   0.068 0 0 1 
1236 49     21 1742.29 1634.43   0.01  -0.03  17.218  0.025  17.294  17.048  17.252   4.207   0.993  59.204   4.816   0.994  84.888   6.928   0.990 -61.988   0.286 1061926368969669 0 1 
1236 49    850  850.52 3484.92  -0.00  -0.07  17.839  0.026  17.873  17.627  17.841   3.987   0.993  69.753   4.225   0.995 -42.400   6.175   0.982 -37.194   0.131 0 0 1 
1236 49   3698  696.41 2471.92   0.01  -0.06  16.482  0.026  16.539  16.364  16.495   4.127   0.998  59.759   4.761   0.996 -25.181   5.970   0.986 -31.231   0.264 0 0 1 
1236 49   4189  868.07 2666.97  -0.00  -0.05  18.537  0.026  18.650  18.323  18.589   4.097   0.997  41.229   4.543   0.997 -17.985   7.567   0.985 -29.287   0.349 0 0 1 
1236 49    980   41.68  820.27   0.32  -0.27  18.739  0.026  18.775  18.378  18.737   4.589   0.989  23.878   5.189   0.983   7.168   9.951   0.976  -3.050   0.097 0 0 1 
1236 49   2677 1987.51  702.59  -0.00  -0.04  17.416  0.025  17.501  17.252  17.471   4.059   0.995  57.220   4.593   0.995 -40.035   6.598   0.982 -34.244   0.326 1061926368969112 0 1 
1236 49    262 1426.21 2190.78   0.01  -0.06  17.382  0.026  17.468  17.225  17.417   4.028   0.997  30.538   4.578   0.993 -18.029   6.478   0.979 -25.941   0.332 1061926368969972 0 1 
