# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24    472  530.63 2872.57  -0.03  -0.05  17.223  0.019  17.250  17.114  17.217   3.573   0.989  27.458   3.517   0.989  29.195   3.957   0.989  15.108   0.166 0 0 1 
1236 24   2327  208.04 1005.52  -0.01  -0.02  17.773  0.019  17.858  17.574  17.814   4.180   0.996  78.253   4.661   0.996  76.302   7.175   0.991 -47.343   0.296 0 0 1 
1236 24   3648  149.23 3418.16  -0.22  -0.10     nan    nan     nan     nan  18.271   3.967   0.962 -68.377     nan     nan     nan     nan     nan     nan     nan 1061818994788234 0 1 
1236 24   4419 1768.29 3640.45  -0.01  -0.05  18.573  0.019  18.606  18.370  18.570   3.673   0.989  28.419   3.639   0.985  45.874   5.083   0.992  55.718   0.137 1061818994788354 0 1 
1236 24   4621  401.00 2275.62  -0.01  -0.04  18.200  0.019  18.304  18.006  18.251   4.069   0.997  25.189   4.482   0.996 -89.487   7.049   0.988 -55.550   0.348 0 0 1 
1236 24   2836  323.28 1436.99   0.01  -0.04  16.890  0.019  16.919  16.738  16.888   4.036   0.995  42.952   4.307   0.993  39.630   5.499   0.998  32.663   0.135 0 0 1 
1236 24    895  180.57 2553.62  -0.04  -0.04  16.949  0.019  16.994  16.735  16.959   4.622   0.988  25.939   5.307   0.988  23.754   8.058   0.988   0.179   0.161 1061818994787755 0 1 
1236 24   2912 1123.24  746.79   0.03  -0.06  17.221  0.019  17.247  17.001  17.229   4.392   0.994  79.985   4.834   0.994  67.617   7.125   0.996  86.654   0.098 0 0 1 
1236 24   2878 1225.05 1495.46   0.00  -0.05  18.302  0.019  18.345  18.138  18.309   3.538   0.990  36.469   3.401   0.991  39.319   4.474   0.982 -79.795   0.200 0 3 1 
1236 24   1523 1089.14 1261.51   0.02  -0.04  16.752  0.019  16.822  16.628  16.787   4.071   0.998  62.292   4.627   0.995  60.217   5.898   0.997 -54.776   0.310 0 2 1 
1236 24   1457 1508.61 1482.20  -0.01  -0.02  18.449  0.019  18.554  18.232  18.505   4.175   0.994  22.688   4.594   0.989  33.532   7.537   0.994   3.768   0.333 0 0 1 
1236 24   2965  454.56 2803.75  -0.04  -0.05  18.818  0.019  18.862  18.517  18.826   4.231   0.988  26.935   4.561   0.987  28.020   7.930   0.990  16.383   0.135 0 3 1 
1236 24   2121 1455.56 3562.94  -0.02  -0.05  17.258  0.019  17.325  17.076  17.290   4.267   0.996   5.000   4.810   0.997  42.438   6.979   0.997 -56.340   0.250 0 2 1 
1236 24   1932 1468.78  499.80   0.01  -0.05  18.004  0.019  18.133  17.838  18.082   4.085   0.987  86.427   4.554   0.986  74.011   7.015   0.988 -88.512   0.433 1061818994786588 0 1 
1236 24   4436  158.41 3424.84  -0.37  -0.37     nan    nan     nan     nan  18.837   4.586   0.889  46.971     nan     nan     nan     nan     nan     nan     nan 1061818994788234 0 1 
1236 24   2339  424.07  695.21   0.02   0.00  17.494  0.019  17.591  17.337  17.548   4.029   0.994  89.132   4.511   0.996  56.950   6.462   0.991 -20.102   0.367 0 2 1 
1236 24   4813  368.04 3677.97  -0.03  -0.05  17.346  0.019  17.414  17.142  17.380   4.364   0.995  19.726   4.942   0.999  69.713   7.552   0.995 -52.361   0.240 0 2 1 
1236 24   2321 1653.72 2208.02  -0.02  -0.05  18.093  0.019  18.193  17.896  18.141   4.152   0.993   6.241   4.571   0.998 -21.536   7.194   0.988 -41.595   0.333 0 0 1 
1236 24   4669 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   4.016   0.988 -82.661     nan     nan     nan     nan     nan     nan     nan 0 2 1 
1236 24   1570  990.64 3606.44  -0.03  -0.04  17.690  0.019  17.796  17.533  17.749   3.994   0.999 -10.513   4.466   0.997 -81.405   6.533   0.987 -44.544   0.391 0 5 1 
1236 24   4595 1728.58 4116.63  -0.10  -0.14  16.618  0.019  16.689  16.495  16.651   4.246   0.949  54.505   4.974   0.916  57.108   6.374   0.910  57.408   0.316 0 0 1 
