# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 35 198301  609.49 3755.03  -0.02  -0.19  21.026  0.018  21.299  21.005  21.114   3.150   0.960  58.887   2.885   0.964  45.234   4.419   0.936  33.560   0.931 0 0 0 1061866239428647 0 1 
1236 35  73401  918.97 1960.33  -0.08   0.62  22.690  0.024  22.763  22.513  22.691   3.424   0.819 -85.193   3.300   0.649 -81.224   4.935   0.574 -78.707   0.304 0 0 0 0 0 1 
1236 35  39202  227.57  323.79  -0.56  -0.75  20.455  0.017  20.860  20.433  20.622   3.771   0.873  52.757   4.058   0.835  54.846   7.581   0.854  60.671   0.955 0 0 0 0 2 1 
1236 35 114766  597.78  514.47  -0.03  -0.04  23.039  0.030  23.201  23.039  23.025   2.738   0.879  -9.253   2.113   0.737 -21.194   2.350   0.789 -32.156   1.000 0 0 0 0 0 1 
1236 35 132300  583.07 1864.82  -0.06  -0.09  19.944  0.017  20.372  19.944  20.138   3.603   0.952  71.916   3.937   0.946  71.376   7.294   0.968  59.329   1.000 0 0 0 0 3 1 
1236 35  79959 1521.32 1254.48  -0.01   0.31     nan    nan     nan     nan  22.709   2.715   0.909 -42.050     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061866239427280 0 1 
1236 35  21645 1397.62 3258.72  -0.67  -0.05  22.290  0.020  22.371  21.897  22.249   4.414   0.777 -10.605   4.818   0.676 -14.847  10.452   0.624 -18.475   0.200 0 0 0 0 0 1 
1236 35  62523  653.42  608.02  -0.19   0.07  20.530  0.017  20.924  20.524  20.724   3.687   0.947 -38.386   4.046   0.897 -38.177   7.444   0.867 -34.442   0.987 0 0 0 0 0 1 
1236 35  71231  217.78 2472.23   0.04  -0.39  22.991  0.029  23.015  22.878  23.089   2.962   0.925   1.542   2.504   0.779  -7.454   3.011   0.654  -6.163   0.175 0 0 0 1061866239427946 0 1 
1236 35  99168   98.84 1149.29   0.02   0.04  22.396  0.021  22.810  22.397  22.541   3.494   0.886  -2.802   3.499   0.840  -8.375   6.241   0.889 -15.844   1.000 0 0 0 1061866239427194 0 1 
1236 35  77900 1815.08 3448.19  -0.00  -0.12  19.941  0.017  20.224  19.942  20.043   3.023   0.944  49.704   2.694   0.959  40.821   3.930   0.958  17.904   1.000 0 0 0 0 3 1 
1236 35 175936 1409.30 2162.54   0.04  -0.65  23.322  0.035  23.483  23.216  23.351   3.172   0.850  79.952   2.748   0.793 -87.914   3.987   0.790 -66.488   0.622 0 0 0 0 0 1 
1236 35  75251  417.89 3238.36  -0.02  -0.19  22.035  0.020  22.284  21.886  22.003   3.489   0.984  52.601   3.448   0.962 -12.543   6.430   0.923 -17.560   0.656 0 0 0 1061866239428345 0 1 
1236 35 132496  302.12 3902.85  -1.08  -1.31  21.046  0.018  21.045  20.785  20.942   3.824   0.630  49.500   3.758   0.431  49.001   5.648   0.415  49.542   0.000 0 0 0 1061866239428760 0 1 
1236 35 153660 1141.23 1801.01   0.03   0.01  22.549  0.023  22.626  22.493  22.528   2.750   0.940  49.698   2.012   0.963  37.224   2.266   0.882  -3.853   0.576 0 0 0 0 0 1 
1236 35 105659 1365.46 3798.82  -0.08  -0.16  22.375  0.022  22.492  22.327  22.396   2.780   0.942  65.421   2.083   0.949 -79.420   2.463   0.919 -49.851   0.713 0 0 0 0 0 1 
1236 35  88853   75.44 2229.77   0.36  -0.09  22.653  0.024  22.853  22.579  22.650   3.096   0.933  27.199   2.683   0.895  22.360   3.835   0.940  25.839   0.746 0 0 0 0 0 1 
1236 35  47496 1782.00  969.57  -0.03  -0.13  20.671  0.018  20.906  20.672  20.728   2.834   0.973  53.811   2.307   0.983 -69.398   3.141   0.944 -39.069   1.000 0 0 0 1061866239427081 0 1 
1236 35  62714  430.63 1853.73   0.19  -0.12  21.495  0.018  21.949  21.495  21.722   3.735   0.955 -56.761   4.185   0.895 -51.859   8.444   0.847 -45.050   1.000 0 0 0 0 0 1 
1236 35 164860 1395.05 2188.98   0.23   0.08  23.565  0.043  23.596  23.438  23.583   3.094   0.865  82.910   2.494   0.742 -87.185   2.881   0.756 -78.482   0.198 0 0 0 0 0 1 
1236 35 158584  281.34 2190.02   0.01  -0.09  20.258  0.017  20.558  20.259  20.351   3.108   0.959  58.908   2.869   0.983  75.404   4.383   0.957 -43.408   1.000 0 0 0 0 0 1 
1236 35  80700  861.40 1315.57   0.01  -0.03  21.691  0.019  21.847  21.685  21.735   2.720   0.968  31.776   2.081   0.951 -15.853   2.494   0.867 -19.506   0.956 0 0 0 0 0 1 
1236 35 140782 1101.37 3519.15   0.06  -0.17  20.877  0.018  21.432  20.878  21.155   4.266   0.883  56.968   5.192   0.861  61.046  11.690   0.870  63.726   1.000 0 0 0 1061866239428531 0 1 
1236 35  47914  713.70 2789.23  -0.05  -0.07  20.072  0.017  20.321  20.072  20.142   2.969   0.949  58.911   2.593   0.961  65.140   3.519   0.978  71.397   1.000 0 0 0 1061866239428109 0 1 
1236 35  65392 1782.05 2792.46  -0.25   0.11     nan    nan     nan     nan     nan   5.372   0.744 -81.700     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 2 1 
1236 35  78944  205.73 1659.96  -0.01  -0.01  20.191  0.017  20.401  20.192  20.226   2.810   0.964  58.403   2.293   0.984  87.272   2.910   0.969 -60.840   1.000 0 0 0 1061866239427489 0 1 
1236 35 186196   20.73  550.17   0.27  -0.17     nan    nan     nan     nan  20.458   2.767   0.980  28.850     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 2 1 
1236 35  83830  361.18  265.41  -0.13  -0.04  20.226  0.017  20.614  20.225  20.420   3.959   0.877 -27.058   4.348   0.823 -29.030   7.890   0.783 -28.350   0.997 0 0 0 1061866239426712 0 1 
1236 35  43213 1465.47 3875.69  -0.14  -0.17  21.230  0.018  21.524  21.212  21.358   3.320   0.926  43.293   3.137   0.931  35.517   4.863   0.944  15.693   0.944 0 0 0 0 0 1 
1236 35 181804  857.05 4142.86   0.17   0.30  23.308  0.037  23.384  23.253  23.166   2.679   0.787   7.591   2.042   0.406   2.028   2.217   0.426  -3.570   0.580 0 0 0 1061866239428910 0 1 
1236 35 175974 1626.79 2980.32  -0.02  -0.07  19.462  0.017  19.924  19.460  19.700   3.995   0.948  52.864   4.730   0.939  53.266   9.303   0.959  41.465   0.995 0 0 0 1061866239428210 0 1 
1236 35  39953  816.42 3888.02   0.03  -0.05  21.634  0.019  21.912  21.635  21.715   3.065   0.950  78.910   2.737   0.943 -76.938   3.997   0.941 -58.833   1.000 0 0 0 0 0 1 
1236 35  74031  649.23  404.14   0.01   0.02  20.720  0.018  20.949  20.720  20.780   2.899   0.954  47.083   2.430   0.962  56.264   3.203   0.963  72.762   1.000 0 0 0 0 0 1 
1236 35  70428 1942.03 1722.83  -0.08   0.01  20.314  0.017  21.548  20.195  20.907   3.169   0.943 -84.121   3.803   0.720 -82.448  40.090   0.175 -89.654   0.934 0 0 0 0 4 1 
1236 35 114826  314.89  996.49   0.08  -0.25  23.049  0.030  23.245  23.049  23.066   2.778   0.966  88.982   2.287   0.854 -79.021   2.994   0.755 -77.899   1.000 0 0 0 0 0 1 
1236 35  39511  626.98 4150.53   0.02  -0.53     nan    nan     nan     nan     nan   4.396   0.948  62.210     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 2 1 
1236 35  78921  394.14 1624.12  -0.03   0.19  21.815  0.019  22.141  21.815  21.911   3.285   0.859  37.521   3.363   0.766  32.936   5.298   0.773  26.017   1.000 0 0 0 1061866239427464 0 1 
1236 35 183725   57.19  161.76  -0.06  -0.07  22.406  0.022  22.648  22.406  22.460   2.944   0.927  45.996   2.408   0.937  31.077   3.371   0.882  -9.806   1.000 0 0 0 0 0 1 
1236 35  30626 1090.03  837.17  -0.03   0.01  22.141  0.020  22.328  22.142  22.177   2.656   0.964 -80.765   2.032   0.889 -61.312   2.435   0.913 -59.182   1.000 0 0 0 0 0 1 
1236 35  70429 1778.54 3596.49   0.03   0.00  21.872  0.019  22.274  21.809  22.079   3.998   0.898  37.636   4.320   0.864  22.270   8.835   0.842  12.225   0.883 0 0 0 0 0 1 
