# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24 116685  281.34 2190.02  -0.36  -0.13  22.927  0.028  22.981  22.796  22.948   2.924   0.964  38.199   2.351   0.917  18.364   3.293   0.698   4.325   0.294 0 0 0 0 0 1 
1236 24  29377  609.49 3755.03  -0.10   0.03  20.851  0.019  20.938  20.365  20.887   4.833   0.953  31.664   5.548   0.942  31.079  13.475   0.947  29.435   0.183 0 0 0 1061818994788465 0 1 
1236 24 130459 1843.14  418.08  -0.09  -0.13  22.016  0.021  22.016  21.819  22.038   3.154   0.981 -69.476   2.685   0.951 -67.596   3.526   0.913 -78.487   0.000 0 0 0 0 0 1 
1236 24 167926 1603.79  938.76   0.50   0.54  22.515  0.024  22.756  22.419  22.752   3.449   0.959  52.869   3.210   0.956  59.537   5.319   0.944 -50.205   0.737 0 0 0 0 0 1 
1236 24  28880 1521.32 1254.48  -0.01  -0.03  20.061  0.019  20.175  19.715  20.137   4.562   0.986 -85.738   5.119   0.976  85.655  10.686   0.970 -85.368   0.276 0 0 0 1061818994787016 0 1 
1236 24  58088 2004.15 2751.57  -0.15   0.43  22.720  0.026  22.720  22.613  22.717   2.808   0.962 -43.137   2.140   0.887 -48.914   2.290   0.838 -33.556   0.000 0 0 0 0 0 1 
1236 24  71791   57.19  161.76  -0.20  -0.39  23.203  0.033  23.203  23.032  23.200   3.054   0.892   9.553   2.639   0.768   9.688   3.280   0.727  15.788   0.000 0 0 0 1061818994786414 0 1 
1236 24 189496 1694.76 1725.94  -0.14   0.09  21.650  0.020  21.728  21.126  21.691   4.946   0.957  61.033   5.775   0.902  75.548  14.891   0.859  78.127   0.158 0 0 0 0 2 1 
1236 24  64119 1397.62 3258.72  -0.03  -0.09  21.199  0.020  21.201  21.086  21.185   2.821   0.968  12.178   2.129   0.962   3.144   2.232   0.958  -4.369   0.017 0 0 0 0 0 1 
1236 24  54528  653.42  608.02   0.01  -0.07  22.026  0.021  22.026  21.780  22.018   3.352   0.990  89.524   3.023   0.974  89.321   4.405   0.944  85.247   0.000 0 0 0 0 0 1 
1236 24 163164 1408.40 1217.83   0.00  -0.10  20.408  0.019  20.477  20.133  20.425   3.743   0.994  49.969   3.734   0.992  57.983   6.396   0.987 -70.607   0.217 0 0 0 0 2 1 
1236 24 163144 1942.03 1722.83   0.06   0.00  21.855  0.021  21.940  21.730  21.861   3.028   0.973 -66.126   2.543   0.921 -63.746   3.359   0.894 -59.659   0.415 0 0 0 0 0 1 
1236 24 111723  865.24 2797.12   0.12   0.06  22.366  0.022  22.366  22.071  22.362   3.615   0.969  48.084   3.384   0.966  55.937   5.376   0.971  65.548   0.000 0 0 0 1061818994787922 0 1 
1236 24 188934  217.78 2472.23  -0.59   0.21  22.726  0.025  23.081  22.537     nan   4.589   0.945  19.381   4.750   0.949  16.443  10.821   0.944  19.823   0.700 0 0 0 0 0 1 
1236 24 160920 1782.05 2792.46   0.17   0.21  21.782  0.020  21.782  21.218  21.737   4.773   0.958 -77.195   5.290   0.941 -69.097  12.757   0.934 -63.997   0.000 0 0 0 0 0 1 
1236 24 111939  361.18  265.41  -0.03   0.03  22.636  0.024  22.636  22.330  22.627   3.655   0.916  78.678   3.495   0.859  78.261   5.865   0.786  74.989   0.000 0 0 0 0 0 1 
1236 24 160119   98.84 1149.29  -0.36  -0.16  22.553  0.023  22.553  22.036     nan   5.057   0.816   6.859   5.495   0.740   5.985  13.075   0.676   6.330   0.000 0 0 0 0 0 1 
1236 24 134117  227.57  323.79   0.05  -0.28  22.994  0.027  22.994  22.473  23.018   4.463   0.912 -35.544   4.680   0.882 -30.159  10.698   0.858 -24.354   0.000 0 0 0 0 0 1 
1236 24  10982  191.10 3450.08   0.76  -0.36     nan    nan     nan     nan     nan   3.141   0.930  33.881     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 24 180277 1815.08 3448.19  -0.27  -0.04  22.671  0.025  22.670  22.390  22.596   3.293   0.874  25.957   2.998   0.774  22.575   4.800   0.684  13.699   0.000 0 0 0 0 0 1 
1236 24 159581 1778.54 3596.49  -0.03  -0.09  22.085  0.021  22.136  21.867  22.119   3.376   0.966 -64.307   3.219   0.893 -74.489   4.951   0.836 -72.501   0.202 0 0 0 0 0 1 
1236 24 201000 1409.30 2162.54   0.11  -0.30  22.195  0.022  22.194  21.788  22.184   4.093   0.926  27.412   4.197   0.873  25.620   8.231   0.824  31.038   0.000 0 0 0 1061818994787583 0 1 
1236 24  96693  649.23  404.14   0.09   0.06  21.769  0.020  21.928  21.555  21.882   4.114   0.841  89.602   4.323   0.750  87.172   7.922   0.708  84.484   0.452 0 0 0 1061818994786548 0 1 
1236 24   7654 1962.83 3339.10  -0.24  -0.22  22.994  0.029  22.994  22.877  23.639   2.948   0.942 -21.415   2.349   0.868 -22.467   2.637   0.799 -10.909   0.000 0 0 0 0 0 1 
1236 24 113106 1626.79 2980.32  -0.07   0.00  20.875  0.019  20.922  20.369  20.891   5.086   0.931   9.855   5.806   0.916   9.556  13.893   0.907   3.662   0.103 0 0 0 0 0 1 
1236 24  17934  417.89 3238.36   0.02   0.13  23.173  0.030  23.173  22.831     nan   3.639   0.928 -54.540   3.512   0.857 -59.944   6.149   0.831 -68.613   0.000 0 0 0 1061818994788167 0 1 
1236 24  98881  857.61 1910.59   0.11   0.02  22.684  0.025  22.927  22.632  22.628   3.234   0.854  40.012   3.012   0.697  46.898   5.434   0.457  52.866   0.828 0 0 0 1061818994787434 0 1 
1236 24  48270 1365.46 3798.82  -0.24  -0.03  22.900  0.027  22.899  22.629  22.886   3.483   0.974 -28.302   3.164   0.937 -21.422   5.008   0.869  -4.832   0.000 0 0 0 0 0 1 
1236 24 107637 1782.00  969.57   0.21   0.42  24.637  0.114  24.637  24.637  24.699   1.988   0.904  55.918   0.465   0.140  58.901   0.283   0.138  61.430   0.000 0 0 0 1061818994786918 0 0 
1236 24 152619  430.63 1853.73   0.03  -0.28  22.673  0.024  22.673  22.225     nan   4.551   0.824  40.983   4.829   0.735  41.694  10.681   0.639  44.414   0.000 0 0 0 0 0 1 
1236 24  84182 1395.05 2188.98  -0.02  -0.08  21.457  0.020  21.456  20.747  21.428   4.514   0.986 -25.705   5.013   0.959 -23.757  14.491   0.919  64.603   0.000 0 0 0 1061818994787583 0 1 
