# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 48 107318  358.00 1927.93  -0.11  -0.40  22.078  0.020  22.087  21.671     nan   4.154   0.916  10.814   4.360   0.873   9.802   8.635   0.834   9.824   0.025 0 0 0 0 0 1 
1236 48  32672   56.53 3472.48  -0.01  -0.16  20.639  0.018  20.760  20.297  20.708   4.411   0.960 -52.131   4.918   0.936 -47.469  10.309   0.921 -44.440   0.291 0 0 0 0 0 1 
1236 48 147468 1574.35 2129.72   0.09  -0.01  21.642  0.019  21.695  21.293  21.735   4.026   0.967  -3.522   4.160   0.940 -15.099   7.948   0.920 -26.945   0.148 0 0 0 0 0 1 
1236 48 117392 1006.56 1245.15   0.46  -0.01  22.634  0.023  22.951  22.432  22.753   5.077   0.830   3.922   5.619   0.775   6.427  12.432   0.778   8.215   0.655 0 0 0 1061922074002221 0 1 
1236 48  43237 1452.11 1721.26  -0.15  -0.01  21.852  0.019  22.210  21.713  22.097   4.521   0.790 -65.706   5.508   0.652 -60.856  12.248   0.595 -58.318   0.755 0 0 0 0 2 1 
1236 48 174970  180.47  944.51  -0.23   0.50  23.225  0.031  23.225  22.941     nan   3.701   0.890 -56.801   3.539   0.799 -55.160   5.744   0.748 -60.527   0.000 0 0 0 1061922074002020 0 1 
1236 48 168048  204.25 2742.26   0.09   0.18  22.547  0.021  22.547  21.927  22.628   5.034   0.863 -45.900   5.732   0.816 -42.181  15.511   0.754 -43.076   0.000 0 0 0 1061922074003132 0 1 
1236 48 101708  727.64 1089.22  -0.26   0.00  22.091  0.020  22.628  21.988  22.489   5.628   0.720  19.769   7.466   0.567  14.076  20.378   0.503  12.643   0.869 0 0 0 0 2 1 
1236 48 151607 1526.54 1495.88   0.04  -0.08  21.537  0.019  21.767  21.186  21.693   4.665   0.937 -54.443   5.298   0.925 -41.543  12.936   0.910 -33.483   0.450 0 0 0 1061922074002383 0 1 
1236 48 139903 1925.55 2320.12  -0.01   0.02     nan    nan     nan     nan  21.966   3.441   0.902 -84.864     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061922074002843 0 1 
1236 48  14360 1254.20 3602.62   0.04   0.04  22.972  0.027  22.971  22.703  22.715   3.509   0.950 -89.658   3.213   0.930 -83.700   4.925   0.916  87.176   0.000 0 0 0 0 0 1 
1236 48 128574  336.52 3371.75   0.06  -0.12  23.010  0.027  23.010  22.770  23.775   3.575   0.825  55.108   3.347   0.716  52.403   5.017   0.638  50.009   0.000 0 0 0 0 0 1 
1236 48 130087 2011.96 3598.38   0.04  -0.38  21.817  0.019  21.896  21.331  21.886   4.610   0.937  88.363   5.096   0.934 -82.691  12.239   0.923 -73.324   0.168 0 0 0 0 0 1 
1236 48  87005 1577.54 2342.31   0.06  -0.04  21.263  0.019  21.310  21.090  21.260   3.085   0.978  36.136   2.643   0.973   3.510   3.559   0.963 -13.359   0.218 0 0 0 1061922074002883 0 1 
1236 48  11067 1376.95 3972.26   0.48  -0.41  22.415  0.021  22.437  21.849  22.408   4.733   0.923  49.949   5.194   0.908  56.877  12.937   0.883  62.556   0.048 0 0 0 0 0 1 
1236 48 186858 1701.35 1354.54   1.28  -1.23     nan    nan     nan     nan     nan   3.263   0.946  79.955     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 48  34257 1947.96 2165.22  -0.11   0.21  21.089  0.018  21.480  20.923  21.485   8.733   0.460 -46.843   9.472   0.459 -46.208  22.225   0.465 -45.699   0.738 0 0 0 0 2 1 
1236 48  28621  639.52 1940.01  -0.58   0.45  22.135  0.020  22.134  21.562  22.106   4.924   0.852 -51.242   5.550   0.788 -53.290  13.951   0.727 -54.402   0.000 0 0 0 0 0 1 
1236 48 100970 1547.48  925.75   0.13   0.21  22.719  0.024  22.719  22.346  23.998   3.834   0.910 -88.313   3.736   0.866 -80.243   6.959   0.814 -72.759   0.000 0 0 0 1061922074002014 0 1 
1236 48 157903 2008.91 3970.28   0.09  -0.28  22.044  0.019  22.044  21.540  22.006   4.259   0.896  67.815   4.594   0.861  64.865  10.293   0.831  61.363   0.000 0 0 0 0 0 1 
1236 48  13278 1421.48 2713.54   0.04   0.03  21.747  0.019  21.964  21.308  21.901   4.766   0.986 -82.184   5.487   0.988 -54.302  14.812   0.969 -41.480   0.392 0 0 0 0 0 1 
