# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 40  91406  530.63 2872.57  -0.16  -0.02  22.840  0.034  22.935  22.590  22.831   3.810   0.847 -48.317   3.793   0.757 -46.802   6.648   0.708 -46.971   0.298 0 0 0 1061887714264789 0 1 
1236 40 188343 1768.29 3640.45   0.22   0.03  21.251  0.031  21.251  20.796  21.209   4.789   0.812   0.676   5.338   0.734   0.003  11.498   0.675  -0.361   0.000 0 0 0 0 0 1 
1236 40 117586  441.19 1111.46  -0.00   0.02  21.173  0.030  21.296  21.003  21.223   3.483   0.930 -17.517   3.403   0.857 -17.984   5.346   0.826 -18.539   0.438 0 0 0 0 0 1 
1236 40 133703   59.04 2850.65  -0.04  -0.09  20.670  0.029  20.952  20.670  20.781   3.252   0.861  36.454   3.193   0.748  34.456   4.752   0.721  32.718   1.000 0 0 0 0 0 1 
1236 40 113494 1564.00  679.70  -0.06   0.11     nan    nan     nan     nan  21.849   4.209   0.744  62.391     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061887714263455 0 1 
1236 40   5957  180.57 2553.62  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 40  38039 1123.24  746.79   0.41  -0.43  22.454  0.031  22.933  22.322  22.885   5.078   0.651 -85.497   5.683   0.547 -84.542  13.841   0.573 -88.375   0.822 0 0 0 0 2 1 
1236 40  13989 1225.05 1495.46  -0.00   0.02  22.630  0.033  22.804  22.622  22.684   3.330   0.672 -71.629   3.176   0.365 -70.331   4.083   0.313 -70.712   0.954 0 0 0 0 0 1 
1236 40 161539 1089.14 1261.51  -0.03  -0.01  21.549  0.030  21.727  21.443  21.598   3.484   0.815  68.220   3.380   0.690  69.142   5.209   0.650  68.992   0.646 0 0 0 0 0 1 
1236 40  75224  696.41 2471.92  -0.63   0.32  22.333  0.031  22.618  22.178  22.455   4.317   0.653  49.170   4.660   0.523  50.328   9.258   0.507  52.177   0.684 0 0 0 1061887714264560 0 1 
1236 40 186203  626.55 3546.47   0.12   0.19  22.631  0.032  22.630  22.202  22.696   5.267   0.538  29.279   5.953   0.370  28.986  12.938   0.290  29.075   0.000 0 0 0 0 0 1 
1236 40 176089 1742.29 1634.43   0.52   0.56     nan    nan     nan     nan     nan   3.238   0.910  35.164     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061887714264021 0 1 
1236 40  30397 1508.61 1482.20  -0.01   0.01  21.417  0.030  21.742  21.357  21.560   4.046   0.783  79.402   4.532   0.654  78.484   8.387   0.604  78.321   0.859 0 0 0 0 2 1 
1236 40  38878  149.23 3418.16   0.22  -0.46  21.631  0.029  21.884  21.434  21.772   4.078   0.928 -19.314   4.401   0.889 -22.292   9.112   0.829 -23.387   0.598 0 0 0 1061887714265125 0 1 
1236 40 190008  454.56 2803.75   0.02   0.01  21.961  0.030  22.036  21.682  21.966   3.861   0.888 -70.239   3.926   0.826 -64.080   6.956   0.792 -59.801   0.229 0 0 0 0 0 1 
1236 40 128740 1042.44 2670.30   0.06  -0.29  21.524  0.030  21.523  21.114  21.484   4.493   0.762   5.714   4.887   0.664   5.242   9.652   0.624   4.663   0.000 0 0 0 1061887714264667 0 1 
1236 40  46093 1455.56 3562.94   0.00   0.11  21.560  0.030  21.611  21.089  21.550   5.368   0.716  13.745   6.214   0.639  11.571  14.714   0.582  10.407   0.115 0 0 0 0 0 1 
1236 40 195576  158.41 3424.84   0.12   0.06  21.730  0.030  22.024  21.709  21.877   3.381   0.909  73.293   3.270   0.867  69.884   5.055   0.900  75.997   0.937 0 0 0 1061887714265125 0 1 
1236 40  14825  802.19  655.90  -0.03  -0.11  21.659  0.030  21.864  21.502  21.739   4.509   0.647 -25.596   5.033   0.474 -25.940   9.227   0.420 -26.181   0.592 0 0 0 1061887714263449 0 1 
1236 40 135023 1792.33   76.45   0.04  -0.07  20.423  0.029  20.707  20.407  20.541   3.229   0.971 -73.272   3.106   0.935 -65.882   4.768   0.917 -61.194   0.948 0 0 0 1061887714263092 0 1 
1236 40  92771  990.64 3606.44  -0.02  -0.05  20.812  0.030  21.211  20.734  21.021   4.176   0.899  22.412   4.773   0.863  20.321   9.945   0.846  17.103   0.856 0 0 0 0 0 1 
1236 40  58133 1884.80 3977.69   0.05  -0.04  20.095  0.031  20.131  19.672  20.058   4.806   0.875  53.792   5.400   0.838  56.056  11.447   0.817  57.015   0.090 0 0 0 0 2 1 
1236 40  30102  368.04 3677.97  -0.28   0.03  21.722  0.029  22.122  21.293  21.978   8.527   0.579 -89.217  11.060   0.517 -89.350  37.760   0.479 -89.674   0.568 0 0 0 0 0 1 
