# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 33 116685  281.34 2190.02   0.19  -0.03  22.828  0.026  22.864  22.577     nan   3.528   0.929  38.891   3.346   0.874  52.274   5.308   0.826  59.429   0.133 0 0 0 0 2 1 
1236 33  29377  609.49 3755.03  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 33 130459 1843.14  418.08  -0.08   0.07  22.023  0.021  22.065  21.833  22.029   3.108   0.989  43.601   2.713   0.972 -80.175   3.826   0.923 -75.255   0.188 0 0 0 0 0 1 
1236 33 167926 1603.79  938.76   0.21  -0.57  23.131  0.028  23.131  22.554  23.120   4.956   0.739 -40.991   5.506   0.653 -41.562  13.923   0.602 -41.632   0.000 0 0 0 0 0 1 
1236 33  28880 1521.32 1254.48  -0.14  -0.08  20.212  0.020  20.212  19.418  20.205   6.457   0.974  69.070   8.063   0.967  74.204  26.188   0.964  72.131   0.000 0 0 0 0 0 1 
1236 33  58088 2004.15 2751.57   0.85   0.43  22.546  0.024  22.594  22.313  22.495   3.383   0.902  54.624   3.201   0.812  61.436   5.013   0.755  67.637   0.183 0 0 0 0 0 1 
1236 33  71791   57.19  161.76   0.53   0.08  23.014  0.027  23.014  22.717     nan   3.729   0.849 -30.677   3.592   0.757 -33.990   5.867   0.716 -38.448   0.000 0 0 0 0 0 1 
1236 33 189496 1694.76 1725.94   0.15  -0.80  21.632  0.020  21.632  20.907  22.533   6.120   0.790 -81.144   7.257   0.755 -81.499  22.019   0.721 -82.149   0.000 0 0 0 0 0 1 
1236 33  64119 1397.62 3258.72  -0.06  -0.06  21.147  0.020  21.210  21.030  21.147   2.863   0.969 -24.374   2.350   0.909 -38.614   2.980   0.834 -41.663   0.356 0 0 0 1061857649493892 0 1 
1236 33  54528  653.42  608.02   0.17   0.38  21.808  0.020  21.874  21.449  21.820   4.079   0.866  78.135   4.273   0.825  77.997   8.394   0.816  78.014   0.176 0 0 0 1061857649492290 0 1 
1236 33 163164 1408.40 1217.83  -0.06  -0.01  20.447  0.020  20.498  20.033  20.467   4.349   0.984  20.309   4.772   0.985  26.541   9.990   0.992  19.407   0.126 0 0 0 1061857649492671 0 1 
1236 33 163144 1942.03 1722.83   0.04  -0.10  21.915  0.021  21.953  21.759  21.902   2.992   0.967  13.696   2.461   0.957  20.249   3.133   0.941  32.581   0.198 0 0 0 1061857649492953 0 1 
1236 33 111723  865.24 2797.12  -0.06  -0.19  21.900  0.020  22.159  21.540  21.953   4.663   0.918  18.557   5.337   0.905  25.140  13.637   0.894  26.252   0.480 0 0 0 0 0 1 
