# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40   -0.06  -0.07  20.12   0.018 20.405  20.125  20.236   3.485   0.780  21.483   3.621   0.624  23.011   5.414   0.593  22.805   1.000 1061823289753831 1
  1442  520.57    0.03  -0.02  20.13   0.018 20.535  20.130  20.320   3.654   0.909  10.345   4.085   0.870  10.553   7.445   0.859   2.414   1.000 1061823289753888 1
  1356 1859.99    0.12  -0.53  24.17   0.068 24.307  24.130  24.140   3.388   0.705 -47.553   3.281   0.355 -48.138   4.872   0.135 -48.306   0.779 0 1
  2972 3595.60    0.01  -0.04  20.70   0.018 21.262  20.700  21.001   5.055   0.626  38.270   6.455   0.474  38.721  15.682   0.411  35.634   1.000 0 1
  2983 1531.70   -0.03  -0.02  20.28   0.018 20.540  20.282  20.333   3.441   0.712  19.041   3.517   0.491  19.821   5.142   0.438  19.725   1.000 1061823289754431 1
   349 3622.54    0.01  -0.10  20.81   0.018 21.274  20.810  21.012   4.426   0.736  21.004   5.394   0.631  25.813  11.061   0.595  27.430   1.000 0 1
  1217 3273.74    0.01  -0.07  21.32   0.019 21.533  21.270  21.363   3.183   0.897   6.026   2.842   0.843   7.464   4.088   0.831   5.604   0.822 1061823289755489 1
  3290 3113.77   -0.00  -0.00  20.94   0.018 21.408  20.946  21.142   4.407   0.742  14.687   5.243   0.641  16.147  10.727   0.604  14.402   1.000 0 1
  1214  122.51   -0.47  -0.28  22.86   0.026 23.353  22.850  23.300   4.914   0.712 -51.685   5.272   0.621 -46.603  11.588   0.576 -42.531   0.976 0 1
  3186 1058.59   -0.17  -0.41  22.69   0.024 22.941  22.567  22.859   4.062   0.727  24.916   4.358   0.561  25.869   8.232   0.475  25.853   0.702 1061823289754172 1
  2776  731.47   -0.02  -0.03  20.13   0.018 20.607  20.129  20.360   4.939   0.646  35.061   6.397   0.507  36.707  13.576   0.463  37.382   1.000 0 1
