# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
    34 1040.12    0.01   0.07  21.83   0.019 22.116  21.634  22.045   4.354   0.825  17.760   4.822   0.737  18.660  10.430   0.686  18.378   0.625 1061930663936698 1
    34 1040.12   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24 2941.96   -0.01  -0.13  20.56   0.018 21.101  20.463  20.935   5.497   0.802  35.515   7.171   0.729  36.448  19.104   0.686  35.940   0.875 0 1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   472 2872.57   -0.11  -0.11  20.13   0.018 20.385  19.715  20.334   6.373   0.785  20.583   8.020   0.742  20.098  22.667   0.708  18.591   0.445 0 1
  2327 1005.52   -0.07  -0.06  21.06   0.018 21.110  20.824  21.074   3.757   0.859  11.237   3.773   0.764   9.355   6.070   0.702   9.325   0.177 0 1
  2327 1005.52   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 3640.45    0.07   0.11  21.70   0.019 22.049  21.571  21.825   3.901   0.926   3.882   4.267   0.861  -1.684   9.231   0.782  -4.791   0.763 1061930663938247 1
  4621 2275.62   -0.13  -0.15  23.02   0.027 23.439  23.016  23.361   5.329   0.633  79.917   5.484   0.511  82.419  11.071   0.428  82.569   1.000 0 1
  2836 1436.99   -0.03   0.40  23.63   0.040 23.941  23.497  23.672   3.754   0.732  48.956   3.723   0.573  50.863   7.710   0.509  53.109   0.743 1061930663936925 1
   895 2553.62    0.19  -0.24  22.43   0.021 22.798  22.214  22.463   4.225   0.888  -0.693   4.757   0.811   0.815  11.827   0.758   6.409   0.679 1061930663937564 1
  2912  746.79    0.06  -0.31  22.35   0.020 22.352  21.576  22.318   6.685   0.641   6.404   8.431   0.554   5.549  27.672   0.499   5.073   0.000 0 1
  2878 1495.46   -0.85  -1.10  23.13   0.026 23.131  22.553  23.170   4.936   0.708  57.953   5.614   0.603  55.020  14.489   0.534  52.692   0.000 0 1
  1523 1261.51    0.02  -0.12  20.85   0.018 21.104  20.320  21.057   6.452   0.810  48.110   8.022   0.790  48.334  25.334   0.783  47.301   0.397 0 1
  1457 1482.20   -0.02   0.01  20.12   0.018 20.729  20.013  20.531   6.730   0.726   2.145   8.809   0.685   0.473  25.703   0.656  -0.891   0.879 1061930663936942 1
  2965 2803.75    0.02  -0.10  20.41   0.018 20.839  20.200  20.718   5.345   0.910  15.359   6.682   0.882  13.151  17.845   0.847  11.336   0.714 0 1
  2121 3562.94    0.44   0.02  22.70   0.023 22.699  22.211     nan   4.949   0.675  46.515   5.453   0.577  44.835  12.406   0.511  43.258   0.000 0 1
  1932  499.80    0.26   0.02  21.40   0.018 21.451  20.860  21.396   6.168   0.693  -1.040   7.584   0.610  -2.680  19.995   0.552  -3.917   0.114 1061930663936363 1
  4436 3424.84   -1.59  -1.65    nan     nan    nan     nan     nan   3.318   0.905  37.581     nan     nan     nan     nan     nan     nan     nan 0 1
  2339  695.21    0.51  -0.42  21.44   0.018 21.878  21.025  21.764   6.694   0.912  29.573   8.529   0.881  28.516  29.249   0.858  27.503   0.604 0 1
  4813 3677.97    0.03  -0.22    nan     nan    nan     nan     nan   2.837   0.928 -18.873     nan     nan     nan     nan     nan     nan     nan 0 1
  2321 2208.02   -0.06  -0.16  21.83   0.019 22.470  21.832  22.087   5.230   0.761  22.870   6.639   0.659  23.133  17.491   0.603  22.352   1.000 0 1
  2321 2208.02   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4669   20.85    0.16   0.15    nan     nan    nan     nan     nan   5.403   0.727  35.063     nan     nan     nan     nan     nan     nan     nan 0 1
  4595 4116.63    0.01  -0.24  22.23   0.020 22.707  22.097  22.771   6.324   0.546  37.108   7.695   0.430  37.944  20.344   0.371  38.547   0.816 0 1
  2318 1538.71    0.50   0.29  21.58   0.018 21.981  21.181     nan   6.399   0.759  21.825   8.065   0.725  19.589  25.746   0.718  17.349   0.589 0 1
  3655 1773.96   -0.12  -0.12  21.41   0.018 21.735  21.199  21.612   4.902   0.804  35.857   5.847   0.718  35.030  13.716   0.672  34.989   0.654 0 1
  4075 3351.98   -0.02  -0.07  20.01   0.018 20.163  19.875  20.073   3.489   0.908  26.814   3.476   0.846  23.097   5.331   0.828  20.379   0.528 0 1
   520 1981.45   -0.20  -0.01  22.72   0.023 23.242  22.706  22.954   3.989   0.846  44.175   4.359   0.778  38.996   9.861   0.750  35.339   0.974 0 1
