# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71    -0.26    -0.40   25.030   0.143    single  isolate  1 
1171.30   1266.32     0.48    -0.70   24.737   0.110    single  isolate  1 
1832.68   3210.27    -0.32     0.94   24.982   0.136    single  isolate  1 
 495.98   3174.41    -0.37     0.61   24.976   0.137    single  isolate  0 
 839.22   1590.61    -0.02     0.31   25.051   0.145    single  isolate  1 
1180.75   3914.05     0.80     0.28   25.027   0.141    single  isolate  1 
1267.62    325.56     0.20    -0.24   25.066   0.148    single  isolate  1 
1267.62    325.56    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1267.62    325.56    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 720.39   3175.70    -0.12    -0.41   24.969   0.135    single  isolate  0 
 720.39   3175.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1792.41   2873.81    -0.08     0.22   24.893   0.126    single  isolate  0 
1476.85    542.69     0.53    -0.46   25.080   0.150    single  isolate  1 
 352.20   2717.10    -0.22    -0.12   24.968   0.137    single  isolate  0 
 352.20   2717.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 352.20   2717.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1197.13   3671.34    -0.02    -0.45   25.306   0.184    single  deblend  0 
1197.13   3671.34    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70     0.66     1.19   24.315   0.077    single  isolate  1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 225.78   2225.78    -0.37     0.94   25.062   0.149    single  isolate  1 
  26.26   3215.00    -0.26    -0.00   25.037   0.148    single  isolate  1 
  26.26   3215.00    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1202.65   1099.39    -0.45     0.46   25.111   0.153    single  isolate  1 
1202.65   1099.39    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1172.18   2558.52    -0.11    -0.12   25.023   0.141    single  isolate  0 
1172.18   2558.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1172.18   2558.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  59.35    366.20     0.59    -0.02   24.935   0.132    single  deblend  1 
 597.78    514.47     0.04    -0.40   24.956   0.133    single  isolate  0 
1843.14    418.08     1.62     1.02   24.211   0.070    single  isolate  1 
1843.14    418.08    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 227.57    323.79    -0.28    -0.39   25.078   0.150    single  isolate  1 
1603.79    938.76     0.75     0.54   24.608   0.098    single  isolate  1 
1521.32   1254.48     0.03     0.45   25.104   0.153    single  isolate  1 
2004.15   2751.57    -0.15     1.43   25.000   0.139    single  isolate  1 
  57.19    161.76     0.40    -0.18   24.699   0.107    single  isolate  0 
  57.19    161.76    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1397.62   3258.72    -0.21    -0.25   25.016   0.140    single  isolate  0 
1397.62   3258.72    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1397.62   3258.72    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1397.62   3258.72    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1397.62   3258.72    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 865.24   2797.12    -0.39    -0.56   25.112   0.153    single  deblend  0 
 865.24   2797.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 361.18    265.41     0.02    -0.34   25.004   0.139    single  isolate  0 
  98.84   1149.29    -0.11     0.01   25.051   0.148    single  deblend  1 
 191.10   3450.08    -0.20    -0.61   24.971   0.139    single  deblend  0 
 191.10   3450.08    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1409.30   2162.54     0.13     0.62   25.033   0.143    single  isolate  0 
 649.23    404.14    -0.13    -0.85   25.096   0.151    single  isolate  0 
1626.79   2980.32     0.34    -0.24   24.846   0.120    single  isolate  1 
 417.89   3238.36     0.39     0.38   24.821   0.120    single  isolate  0 
 302.12   3902.85    -0.18     0.41   24.886   0.128    single  isolate  1 
 302.12   3902.85    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  75.44   2229.77     0.25    -0.15   24.900   0.130    single  isolate  0 
 816.42   3888.02     0.07     0.16   24.597   0.097    single  isolate  0 
 713.70   2789.23    -0.43     0.24   24.949   0.133    single  isolate  0 
 314.89    996.49    -0.44     0.07   24.902   0.128    single  isolate  0 
  20.73    550.17    -0.73    -0.17   25.286   0.183    single  deblend  0 
 923.02   1489.35    -1.12    -0.34   24.582   0.095    single  deblend  1 
 923.02   1489.35    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 923.02   1489.35    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1815.08   3448.19    -0.08    -0.31   24.988   0.137    single  isolate  0 
1382.24   3810.80    -0.19    -0.25   25.006   0.138    single  isolate  0 
 553.19   1256.28     0.02     0.14   24.976   0.136    single  isolate  0 
1271.59   2698.30     0.30    -0.16   24.898   0.126    single  isolate  0 
 583.07   1864.82    -0.83    -0.80   24.332   0.077    single  isolate  1 
1962.83   3339.10     0.43    -0.33   24.988   0.137    single  isolate  0 
1962.83   3339.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1526.63   2657.32     0.32     0.39   24.965   0.134    single  isolate  0 
 851.10   3947.54     0.23    -0.57   24.877   0.124    single  isolate  0 
 205.73   1659.96    -0.38    -0.15   24.973   0.138    single  isolate  0 
1640.13   1581.43     1.15     0.43   25.117   0.155    single  isolate  1 
1640.13   1581.43    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1101.37   3519.15    -0.48     0.14   24.941   0.131    single  deblend  0 
 217.78   2472.23    -0.42    -0.19   25.024   0.145    single  isolate  1 
 250.68   3273.76    -0.03    -0.30   25.160   0.164    single  isolate  1 
