# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  SincMag  Matched   Deblend   Extended   nChild  Visit  CCD
1258.49    652.71    -0.17     0.93   24.520   0.093   23.840    single  deblend  1  0  1236  42 
1171.30   1266.32     0.62     0.19   25.137   0.160   24.903    single  isolate  1  0  1236  42 
1832.68   3210.27    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 495.98   3174.41     0.54     0.01   25.114   0.160   25.831    single  isolate  1  0  1236  42 
 839.22   1590.61    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1180.75   3914.05    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1267.62    325.56    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1351.36   2079.68    -0.63    -0.28   24.736   0.113   24.649    single  isolate  1  0  1236  42 
1817.65   3132.53    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 720.39   3175.70    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1526.89   1483.68     0.05     0.31   25.237   0.175   25.667    single  deblend  0  0  1236  42 
1792.41   2873.81     0.95     0.37   25.080   0.155   27.947    single  isolate  1  0  1236  42 
1476.85    542.69    -0.00     0.27   24.840   0.122   24.704    single  isolate  1  0  1236  42 
 352.20   2717.10    -0.05    -0.55   24.980   0.140   25.407    single  isolate  0  0  1236  42 
 299.89   3708.59     0.61     0.34   25.058   0.152   25.152    single  isolate  0  0  1236  42 
1832.72   2256.12    -0.55     0.94   25.054   0.150   25.481    single  isolate  1  0  1236  42 
1197.13   3671.34    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 718.12   2381.05     0.24    -0.30   25.043   0.149   25.809    single  isolate  0  0  1236  42 
1915.36    143.70    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1095.51    207.96    -0.15    -0.58   24.911   0.130   24.892    single  isolate  1  0  1236  42 
 851.34   2255.34    -0.11     0.46   24.951   0.137   26.797    single  isolate  0  0  1236  42 
 225.78   2225.78    -0.37     0.29   24.919   0.132   24.811    single  isolate  1  0  1236  42 
  26.26   3215.00     0.26    -0.19   24.911   0.132   26.126    single  isolate  0  0  1236  42 
1424.21    975.52     0.87    -0.35   24.904   0.130   25.024    single  isolate  1  0  1236  42 
1202.65   1099.39     0.29     0.03   24.967   0.138   26.062    single  isolate  0  0  1236  42 
 314.84   3974.82     0.29    -0.13   25.064   0.154   26.143    single  isolate  0  0  1236  42 
1172.18   2558.52     0.19     0.30   25.066   0.153   25.627    single  isolate  1  0  1236  42 
 127.55   2359.98    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1006.60   2436.36    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
  59.35    366.20    -0.07    -0.02   25.014   0.141   26.714    single  isolate  0  0  1236  42 
 597.78    514.47    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1843.14    418.08    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 918.97   1960.33     0.08     0.31   24.888   0.129   25.623    single  isolate  0  0  1236  42 
 227.57    323.79     0.07     0.37   24.970   0.136   25.126    single  isolate  1  0  1236  42 
1603.79    938.76     0.08    -0.77   24.945   0.134   24.681    single  isolate  1  0  1236  42 
1521.32   1254.48    -0.20    -1.15   25.112   0.156   27.028    single  isolate  0  0  1236  42 
2004.15   2751.57     0.61     0.01   24.913   0.133   25.530    single  isolate  0  0  1236  42 
  57.19    161.76    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1694.76   1725.94    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1397.62   3258.72     0.30     0.10   24.723   0.114   23.833    single  deblend  1  0  1236  42 
1955.97     68.74     0.12     0.07   25.189   0.164   26.493    single  isolate  1  0  1236  42 
 653.42    608.02    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1408.40   1217.83     0.22     0.06   24.881   0.128   26.375    single  isolate  1  0  1236  42 
1942.03   1722.83    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 865.24   2797.12     0.04    -0.23   24.920   0.134      nan    single  isolate  0  0  1236  42 
1782.05   2792.46    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 361.18    265.41    -0.26     0.52   24.965   0.136   24.396    single  isolate  1  0  1236  42 
  98.84   1149.29    -0.39     0.52   25.136   0.158   25.080    single  isolate  1  0  1236  42 
 191.10   3450.08    -0.30    -0.52   25.068   0.153   25.102    single  isolate  1  0  1236  42 
1778.54   3596.49    -0.28     0.28   25.029   0.150   26.405    single  deblend  0  0  1236  42 
1409.30   2162.54     0.22     0.36   24.819   0.122   24.305    single  deblend  1  0  1236  42 
 649.23    404.14     0.21     0.19   24.909   0.130   25.351    single  isolate  0  0  1236  42 
1626.79   2980.32     0.08    -0.27   24.897   0.132   25.915    single  isolate  0  0  1236  42 
 417.89   3238.36     0.16    -0.17   24.996   0.143   25.336    single  isolate  0  0  1236  42 
 302.12   3902.85    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1365.46   3798.82     0.04     0.59   24.963   0.142   25.960    single  isolate  0  0  1236  42 
  75.44   2229.77    -0.98     0.18   25.223   0.173   24.408    single  deblend  0  0  1236  42 
 816.42   3888.02     0.37     0.60   25.046   0.153   24.862    single  isolate  0  0  1236  42 
 713.70   2789.23    -0.19     0.22   25.118   0.160      nan    single  isolate  0  0  1236  42 
 314.89    996.49    -1.04     0.78   25.083   0.151   27.566    single  isolate  0  0  1236  42 
  20.73    550.17     0.27    -0.17   25.022   0.142   25.788    single  isolate  1  0  1236  42 
 923.02   1489.35     0.16    -0.41   25.037   0.147   32.654    single  isolate  0  0  1236  42 
 609.49   3755.03     0.45    -0.29   24.874   0.130   25.018    single  isolate  0  0  1236  42 
 857.05   4142.86    -0.06     0.31   25.035   0.152   26.213    single  isolate  0  0  1236  42 
1815.08   3448.19     0.88    -0.94   24.743   0.116   24.259    single  isolate  1  0  1236  42 
1382.24   3810.80     0.05     0.47   24.956   0.141   24.726    single  isolate  0  0  1236  42 
 553.19   1256.28    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1271.59   2698.30     0.23     0.21   25.116   0.160   24.962    single  isolate  1  0  1236  42 
 583.07   1864.82    -0.09     0.15   24.819   0.121   24.455    single  isolate  1  0  1236  42 
1962.83   3339.10    -0.42     0.24   25.164   0.168   26.630    single  isolate  0  0  1236  42 
1413.47   2058.81    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1526.63   2657.32    -1.07     1.05   25.114   0.160   25.556    single  isolate  1  0  1236  42 
 851.10   3947.54     0.03    -0.25   25.076   0.157   24.817    single  isolate  1  0  1236  42 
 205.73   1659.96    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1640.13   1581.43    -0.95    -0.89   25.031   0.146   24.536    single  isolate  0  0  1236  42 
 445.03   3784.29    -0.10    -0.09   25.095   0.158   24.973    single  deblend  0  0  1236  42 
1101.37   3519.15    -0.36     0.15   24.851   0.128   24.636    single  deblend  1  0  1236  42 
 217.78   2472.23    -0.33    -0.44   25.075   0.152   26.288    single  isolate  1  0  1236  42 
 250.68   3273.76    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1525.29   2600.24    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 879.25   3663.97     0.96    -0.64   25.087   0.158   26.444    single  isolate  0  0  1236  42 
 818.24   2246.35     1.00    -0.63   24.543   0.096   25.404    single  isolate  0  0  1236  42 
 120.71   3185.01    -0.23    -0.10   25.039   0.148   25.893    single  isolate  0  0  1236  42 
 561.98   1494.40    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1881.08   1513.95    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 296.27   1872.45     0.46    -0.18   24.967   0.137   24.823    single  isolate  1  0  1236  42 
1925.17    285.35    -0.34    -0.17   24.998   0.139   24.808    single  isolate  1  0  1236  42 
 626.98   4150.53    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
 430.63   1853.73    -0.39    -0.21   25.036   0.146      nan    single  isolate  0  0  1236  42 
 281.34   2190.02     0.14    -0.33   24.746   0.113   23.907    single  isolate  1  0  1236  42 
 857.61   1910.59     0.75     0.10   24.852   0.125   25.832    single  isolate  0  0  1236  42 
 861.40   1315.57     0.43    -0.70   25.125   0.159   25.396    single  isolate  0  0  1236  42 
1141.23   1801.01    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1465.47   3875.69     0.03    -0.37   24.874   0.131   24.947    single  isolate  0  0  1236  42 
1352.07    599.12    -0.37    -0.08   25.093   0.153   25.276    single  isolate  1  0  1236  42 
1395.05   2188.98    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1053.37   3296.30     0.40     0.13   24.910   0.134   24.391    single  isolate  0  0  1236  42 
 394.14   1624.12     0.73    -0.04   25.051   0.148   25.403    single  isolate  0  0  1236  42 
1782.00    969.57    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  42 
1090.03    837.17     0.10    -0.02   24.775   0.116   24.735    single  isolate  0  0  1236  42 
