# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  SincMag  Matched   Deblend   Extended   nChild  Visit  CCD
 219.28    892.04    -0.03     0.05   23.986   0.062   23.939    single  isolate  0  0  1236  24 
1502.42   3065.69     0.04    -0.11   23.962   0.061   23.876    single  isolate  0  0  1236  24 
 241.60   4074.50    -0.01    -0.05   24.068   0.065   24.930    single  isolate  0  0  1236  24 
1522.23   1071.11     0.09     0.05   23.951   0.062   24.012    single  isolate  0  0  1236  24 
1297.20   2420.42     0.19     0.08   24.046   0.065   24.173    single  isolate  0  0  1236  24 
 277.01   2976.36    -0.21    -0.22   23.989   0.061   24.434    single  isolate  0  0  1236  24 
  45.24   1719.28     0.20     0.17   24.083   0.066   24.226    single  isolate  0  0  1236  24 
 618.57   2227.22    -0.06    -0.19   24.040   0.065   23.981    single  isolate  0  0  1236  24 
 676.04   2056.86    -0.15    -0.15   23.944   0.060   23.397    single  isolate  1  0  1236  24 
1011.92    157.67    -0.18    -0.02   23.911   0.060   24.047    single  isolate  1  0  1236  24 
1988.69   3811.11    -0.03     0.15   24.197   0.074   24.617    single  deblend  0  0  1236  24 
 898.52    447.77    -0.26     0.03   23.980   0.063   24.082    single  isolate  0  0  1236  24 
 314.10   3792.40    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  24 
 556.13     61.40    -0.25    -0.12   23.984   0.063   24.693    single  isolate  0  0  1236  24 
 741.32   2650.07     0.08     0.32   24.101   0.068   24.737    single  isolate  0  0  1236  24 
1048.28   1377.22     0.03    -0.28   24.054   0.066   24.482    single  isolate  0  0  1236  24 
1550.71   2979.70     0.15    -0.24   23.993   0.062   23.896    single  isolate  1  0  1236  24 
1312.04   1140.12    -0.03    -0.11   23.996   0.064   24.255    single  isolate  0  0  1236  24 
1956.44   3124.16    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  24 
1994.73   4144.10    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  24 
1286.76   1839.87     0.21     0.18   24.039   0.066   24.165    single  isolate  0  0  1236  24 
1057.43   2752.81    -0.04     0.15   24.042   0.065   24.083  multiple  deblend  0  0  1236  24 
1539.23    379.25    -0.17    -0.08   24.122   0.072   24.148    single  isolate  0  0  1236  24 
 313.08   3984.18     0.17    -0.04   24.052   0.065   24.368    single  isolate  0  0  1236  24 
1065.16    207.44    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  24 
 638.09   2430.54     0.33     0.18   24.091   0.067   24.382    single  isolate  0  0  1236  24 
1570.71     94.84    -0.01    -0.12   24.026   0.067   23.932  multiple  deblend  0  0  1236  24 
 235.41   1496.72     0.28    -0.13   23.906   0.058   23.689    single  isolate  1  0  1236  24 
 427.55   3257.93     0.02    -0.03   24.064   0.065   24.359    single  deblend  0  0  1236  24 
1324.40   3603.31    -0.13    -0.13   24.094   0.067   23.936  multiple  isolate  0  2  1236  24 
 483.32   1551.63     0.20     0.11   24.126   0.070   24.588    single  isolate  0  0  1236  24 
