# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  SincMag  Matched   Deblend   Extended   nChild  Visit  CCD
 888.51   1731.74    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 402.44   1142.83    -0.12     0.50   24.804   0.118   23.987    single  isolate  1  0  1236  50 
 343.54   1927.09    -0.73    -0.08   25.123   0.158   29.115    single  isolate  0  0  1236  50 
 165.59     92.32    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1873.27   3026.32    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1137.77   1033.68    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 736.52    339.18    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1572.10   3027.06    -1.32     0.26   24.931   0.134   25.587    single  isolate  1  0  1236  50 
1467.39   3983.15     0.19     0.16   24.723   0.113   24.032    single  isolate  0  0  1236  50 
1626.37   2228.27    -0.45    -0.02   24.628   0.101   23.597    single  isolate  1  0  1236  50 
1616.06    986.39     0.11    -0.03   25.083   0.150   27.388    single  isolate  0  0  1236  50 
1345.71   1914.82     0.45    -1.70   24.989   0.139   24.403    single  isolate  1  0  1236  50 
1121.71    553.74    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1218.06   3773.44     0.45     0.08   24.703   0.110   25.292    single  isolate  0  0  1236  50 
 221.69   3618.51    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1534.04   2345.90     0.88    -1.65   25.101   0.154   23.971    single  isolate  1  0  1236  50 
 709.09   3985.63     0.58    -0.02   24.834   0.124   25.456    single  isolate  0  0  1236  50 
 464.13   1793.43    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1421.10   3795.75     0.19     0.40   24.919   0.134   25.320    single  isolate  1  0  1236  50 
 722.85    377.08    -0.04    -0.38   24.922   0.130   26.260    single  isolate  1  0  1236  50 
1513.95    966.50    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 875.83    264.98    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
2011.47   4143.19    -0.58    -0.24   24.802   0.123   26.820    single  isolate  0  0  1236  50 
 710.48   3968.68     0.03     0.26   24.986   0.143   25.803    single  isolate  0  0  1236  50 
 910.13   2224.75     0.15     0.15   24.967   0.136   25.212    single  isolate  0  0  1236  50 
1383.58   2665.79     0.03    -0.23   24.891   0.128   24.884    single  deblend  0  0  1236  50 
1508.51   2854.89    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1297.56    742.58    -0.02     0.16   25.043   0.145   25.192    single  isolate  0  0  1236  50 
 865.62   1864.92    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 592.81   1303.84     0.15    -0.51   24.814   0.118   24.287    single  isolate  0  0  1236  50 
1540.17   3008.05     0.71    -0.48   24.793   0.119   25.245    single  isolate  0  0  1236  50 
1429.50   1951.78     0.23    -0.13   24.942   0.133   26.123    single  isolate  0  0  1236  50 
 404.96   3737.61    -0.10     0.08   25.009   0.145      nan    single  isolate  1  0  1236  50 
1782.68   4071.28    -0.17     0.72   25.097   0.159      nan    single  isolate  0  0  1236  50 
1495.16   2466.12    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1172.17   2594.64    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1479.60   1345.86    -0.32     0.51   25.142   0.159   27.488    single  isolate  0  0  1236  50 
 597.72   3147.24    -0.64     0.32   24.931   0.134   25.886    single  isolate  0  0  1236  50 
1724.68   3311.90    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 430.70   3175.73     0.94     0.40   25.087   0.155   25.880    single  isolate  1  0  1236  50 
1664.86    725.51     0.81    -1.73   24.294   0.075   23.399    single  isolate  1  0  1236  50 
 685.42    466.85    -0.55    -0.64   25.120   0.156      nan    single  isolate  0  0  1236  50 
 361.28   3137.89     0.28     0.57   24.762   0.116   25.025    single  deblend  0  0  1236  50 
 403.61   1119.32    -0.37     0.77   25.031   0.144   24.846    single  isolate  1  0  1236  50 
1624.04   1609.93    -0.34     0.31   24.834   0.121   24.960    single  isolate  1  0  1236  50 
 774.36   3190.33    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 377.44   2158.47     0.15    -0.25   25.053   0.148   24.893    single  isolate  1  0  1236  50 
1506.96   1190.96    -0.06     0.18   24.796   0.116   24.800    single  isolate  0  0  1236  50 
1185.81   1234.36     0.01    -0.09   25.015   0.141   25.732    single  isolate  0  0  1236  50 
 161.59    317.75     0.01     0.31   24.607   0.099   24.021    single  isolate  1  0  1236  50 
 656.85   1266.85     0.04    -0.52   25.111   0.154   25.240    single  isolate  0  0  1236  50 
1098.15    346.54    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 609.76   2865.65     0.06    -0.30   25.106   0.156   26.459    single  isolate  1  0  1236  50 
1454.87   1049.42     0.08    -0.07   24.868   0.124   23.975    single  isolate  1  0  1236  50 
2007.96    988.01    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 423.33   2255.39     0.29     0.39   24.862   0.125   24.150    single  isolate  0  0  1236  50 
 931.44    820.74    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 589.26   1526.20    -0.24    -0.10   24.916   0.130   24.673    single  deblend  1  0  1236  50 
1126.39   1352.96     0.01     0.02   24.926   0.130   25.472    single  isolate  0  0  1236  50 
1535.82   1624.60    -0.44    -0.24   25.069   0.149   27.404    single  isolate  0  0  1236  50 
1416.27   3833.92     1.46     1.10   24.908   0.133   25.546    single  isolate  1  0  1236  50 
1906.66   3748.58     1.43    -0.34   24.907   0.134   26.151    single  isolate  1  0  1236  50 
 933.55   1861.70    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 175.47   2901.70     0.18    -0.14   25.109   0.158   25.769    single  isolate  0  0  1236  50 
 851.70    965.39     0.03     0.29   24.972   0.136   26.216    single  isolate  1  0  1236  50 
 220.47   3772.64     0.39    -0.00   25.080   0.155   25.311    single  isolate  0  0  1236  50 
 286.59   3127.69    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1502.16   1561.29    -0.76    -0.08   24.966   0.136   25.119    single  isolate  1  0  1236  50 
 136.61   1280.62    -0.07     0.26   25.087   0.153   24.415    single  isolate  0  0  1236  50 
 571.39   3240.51    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 136.48   2841.70     0.22    -0.06   24.962   0.138   26.873    single  isolate  0  0  1236  50 
 798.27   2944.13     0.53    -0.39   24.797   0.119   23.906    single  isolate  0  0  1236  50 
1816.60    862.69    -0.31     0.26   24.510   0.090   23.516    single  isolate  1  0  1236  50 
 741.69   3491.53     0.35     0.51   24.767   0.116   24.630    single  isolate  1  0  1236  50 
 107.74   1375.33    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 540.20   2843.36     0.60    -0.06   25.084   0.153      nan    single  isolate  1  0  1236  50 
 973.37   3190.15    -0.09    -0.00   25.135   0.161   26.531    single  isolate  0  0  1236  50 
 288.76   2177.34    -0.59     0.55   25.129   0.159   25.851    single  isolate  0  0  1236  50 
1486.95   3707.64     0.25    -1.71   24.982   0.142   25.241    single  isolate  1  0  1236  50 
 122.71   3498.45     0.05     0.14   24.897   0.131   25.795    single  isolate  0  0  1236  50 
 753.27   2162.19    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1396.76   3367.97     0.37    -0.17   24.973   0.140   24.686    single  deblend  1  0  1236  50 
1816.43   3160.96    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1567.93   1458.56    -0.07     0.47   25.141   0.159   24.967    single  isolate  1  0  1236  50 
1300.43    991.91     0.08     0.34   25.141   0.158   26.579    single  isolate  0  0  1236  50 
 603.86   3973.74    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1040.40   2997.59    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1649.02   1793.19    -0.21     0.08   24.912   0.129   25.101    single  isolate  1  0  1236  50 
1178.36   3889.18    -0.06    -0.05   24.984   0.142   25.398    single  isolate  1  0  1236  50 
1732.91   2899.03     0.58    -0.33   24.975   0.139      nan    single  isolate  0  0  1236  50 
1903.56     23.41     0.10    -0.06   25.113   0.153   25.300    single  isolate  0  0  1236  50 
 802.11    153.97     0.31    -0.36   24.808   0.118   24.794    single  deblend  0  0  1236  50 
 860.21   1535.21     0.10     0.42   24.830   0.120   25.318    single  isolate  0  0  1236  50 
1486.99    880.51    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
 294.08    922.06    -1.00    -1.00    0.000   0.000   -1.000   nomatch  isolate  -1  -1  1236  50 
1786.95    714.26     0.74     0.13   24.553   0.094   23.982    single  deblend  1  0  1236  50 
 239.92   3029.57    -0.09    -1.22   24.956   0.137      nan    single  isolate  1  0  1236  50 
 790.07   3948.70     0.10    -0.44   24.990   0.143   25.187    single  isolate  0  0  1236  50 
1892.52    544.71    -0.05    -0.82   25.142   0.158   27.073    single  isolate  1  0  1236  50 
 465.45    600.96     0.01     0.44   25.148   0.160      nan    single  deblend  1  0  1236  50 
